year,en_PRON appellerais_VERB,en_PRON rappellerai_VERB
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,2.2378401354217203e-09
1803,0.0,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,8.528632911009026e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,4.680253518074551e-09
1811,0.0,1.0028307073639553e-08
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,4.6352077731626196e-09
1817,0.0,6.227493631882908e-09
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,6.015369535816717e-09
1823,9.882686891060644e-10,6.917880934764753e-09
1824,8.421112696055388e-10,8.421112696055388e-10
1825,8.805443041381977e-10,0.0
1826,0.0,1.7615968683770689e-09
1827,0.0,9.217273055917019e-10
1828,0.0,0.0
1829,8.57317605795771e-10,2.571952872898464e-09
1830,0.0,3.1310507520032616e-09
1831,0.0,3.1182412207897414e-09
1832,2.705993873419743e-09,8.117981842303834e-09
1833,0.0,4.6334514003376626e-09
1834,0.0,9.334530925997342e-10
1835,7.563087933704082e-10,1.5126175867408165e-09
1836,0.0,6.720750067579218e-10
1837,0.0,1.3915781860163179e-09
1838,1.2624323808552163e-09,6.312161904276081e-09
1839,0.0,3.4957374772659477e-09
1840,1.2739377330817092e-09,5.095750932326837e-09
1841,1.2841097074556274e-09,0.0
1842,0.0,0.0
1843,5.906911071384968e-10,0.0
1844,5.488561272137815e-10,1.097712254427563e-09
1845,0.0,5.580227946389016e-10
1846,0.0,1.7563503984519002e-09
1847,5.393223645455691e-10,2.1572894581822766e-09
1848,0.0,0.0
1849,0.0,2.513824481908955e-09
1850,1.3577992064028876e-09,6.788996032014438e-10
1851,0.0,7.094382858952031e-09
1852,2.6042181744401205e-09,0.0
1853,5.971931837933653e-10,5.971931837933653e-10
1854,5.195664454227256e-10,1.0391328908454511e-09
1855,0.0,2.653468555990912e-09
1856,5.177189232874468e-10,8.28350277259915e-09
1857,0.0,3.4170564155999728e-09
1858,1.468102750479261e-09,9.787352039936081e-10
1859,0.0,0.0
1860,4.577183909670879e-10,2.746310290291376e-09
1861,2.357981809808507e-09,5.659156698811785e-09
1862,9.035972525772706e-10,2.2589932147099034e-09
1863,1.9978483312144135e-09,1.9978483312144135e-09
1864,1.9178911792039344e-09,4.31525504218655e-09
1865,1.4120533631256649e-09,4.23615986733239e-09
1866,9.731225825149181e-10,4.379051787850585e-09
1867,9.7056229719783e-10,1.94112459439566e-09
1868,2.9639244392143382e-09,4.44588676984381e-09
1869,0.0,2.441759683335931e-09
1870,1.7202146374017957e-09,2.2936195165357276e-09
1871,1.0621177271019633e-09,1.0621177271019633e-09
1872,6.047339295989218e-10,6.652073114565837e-09
1873,1.7958012854535355e-09,5.387403856360606e-09
1874,0.0,9.559374625212058e-09
1875,1.716458086775674e-09,1.1443054281912168e-09
1876,6.04601479992084e-10,0.0
1877,1.2369631985365004e-09,3.0924081073635534e-09
1878,3.0195443923020093e-09,3.6234530931267273e-09
1879,1.832797580370027e-09,6.109325489944695e-09
1880,1.2835692508872398e-09,3.2089231272180996e-09
1881,1.3945015142624584e-09,2.7890030285249168e-09
1882,1.3310770263785798e-09,4.6587693702804245e-09
1883,6.319338941018771e-10,6.319338829996468e-09
1884,6.601696966868076e-10,3.300848483434038e-09
1885,6.445635691854079e-10,7.090199094506033e-09
1886,0.0,2.5813855497602844e-09
1887,6.528924623161458e-10,4.570247291724172e-09
1888,1.268122939990235e-09,1.268122939990235e-09
1889,0.0,5.012109394186837e-09
1890,1.3108772956016423e-09,7.209825181320184e-09
1891,1.2748440081367107e-09,5.736798147637501e-09
1892,1.2537024751679837e-09,6.268512375839919e-09
1893,1.2316833108982905e-09,1.1085149687062312e-08
1894,0.0,1.0082462864602348e-08
1895,3.611168697403855e-09,6.018614495673091e-09
1896,2.948514543632541e-09,5.897029087265082e-09
1897,5.826713556089658e-10,2.9133566670225264e-09
1898,0.0,3.960848538042683e-09
1899,5.527578395003729e-10,4.4220627160029835e-09
1900,0.0,1.5573159428683425e-09
1901,0.0,1.0059729937950124e-08
1902,0.0,5.892340837476695e-09
1903,0.0,4.860198021816586e-09
1904,5.374625189347171e-10,3.2247751136083025e-09
1905,1.0321518084666081e-09,8.257214467732865e-09
1906,5.144184522798412e-10,6.1730215383803966e-09
1907,2.5714217422034835e-09,1.0799970695529737e-08
1908,0.0,3.929111258571538e-09
1909,5.500983557560346e-10,4.400786846048277e-09
1910,2.137660271017694e-09,5.34415089958884e-09
1911,5.320374141248863e-10,5.852411444351446e-09
1912,1.0418842455450772e-09,1.5628263128064646e-09
1913,0.0,2.121195885607108e-09
1914,6.696743715117748e-10,4.018046340092951e-09
