year,en_ADP âmes_NOUN,en_ADP ames_NOUN,en_ADP rame_NOUN
1800,0.0,1.8864987794131594e-08,2.5153315874604232e-08
1801,0.0,2.3811825844433088e-09,6.429193177837078e-08
1802,0.0,8.951360541686881e-09,6.265952379180817e-08
1803,1.950339223455444e-09,1.755305234496518e-08,1.8723255834629526e-07
1804,0.0,7.4155526164076946e-09,5.1908870757344516e-08
1805,0.0,5.685755422035754e-09,9.950071699904584e-08
1806,0.0,2.881669125542885e-09,1.152667650217154e-08
1807,2.562259560079383e-08,1.4234775136401367e-08,4.555128185756985e-08
1808,2.2660739062985158e-08,0.0,1.4276265858370607e-07
1809,6.7770917766551975e-09,2.259030518203531e-09,1.1295152546608733e-07
1810,0.0,1.1700633351097167e-08,2.106114038724627e-08
1811,5.0141535368197765e-09,2.757784400841956e-08,1.504245972228091e-08
1812,1.600324850414836e-08,0.0,1.8670458068470452e-08
1813,0.0,1.1502966579257645e-08,3.4508900625951355e-08
1814,3.1466771410748606e-09,3.4613449884091096e-08,1.8880061958270744e-08
1815,2.697223555614414e-09,0.0,8.091670444798638e-09
1816,2.3176038865813098e-09,1.622322720606917e-08,6.952811659743929e-09
1817,2.0239355080775567e-08,1.556873407970727e-09,6.694555576558514e-08
1818,2.1458118837358597e-08,3.5763532135746345e-09,6.079800130009971e-08
1819,1.035105001712111e-09,7.24573512300708e-09,4.657972552113421e-08
1820,1.1866481131050932e-08,2.0173018810965004e-08,2.610625848831205e-08
1821,0.0,1.97229765852569e-09,2.2681422962023134e-08
1822,2.5064039732569654e-08,5.012807946513931e-09,2.7069162911175226e-08
1823,2.9648061783404955e-09,3.9530747564242574e-09,8.894418312976882e-09
1824,7.57900142644985e-09,5.052667617633233e-09,3.536867243525421e-08
1825,3.522177216552791e-09,1.1447076175841175e-08,2.7296874094417944e-08
1826,7.0463874735082754e-09,4.403992281964975e-09,1.673517047162676e-08
1827,2.7651818612639545e-09,0.0,4.516463647519231e-08
1828,8.255071293206129e-09,5.5033806956039655e-09,6.145441722171796e-08
