year,bien_ADV assuré_VERB,bien_ADV rassuré_VERB
1800,1.122466704472913e-06,2.2009151834367913e-08
1801,1.2786949969978423e-06,7.857902772911984e-08
1802,1.1703903908255597e-06,2.0140561218795483e-08
1803,1.4861584745062828e-06,1.755305234496518e-08
1804,1.5127727990282835e-06,2.4718509905596875e-08
1805,1.5607398458072907e-06,5.685755510853596e-08
1806,1.244881088879879e-06,1.4408345627714425e-08
1807,1.1017715912942094e-06,3.131650672116848e-08
1808,1.327919357585472e-06,1.5862518409903714e-08
1809,1.3621953769415995e-06,3.162642769893864e-08
1810,1.139641714331674e-06,3.978215445954447e-08
1811,1.0003236461386678e-06,3.760615285841595e-08
1812,1.0722176568833675e-06,6.934741048070237e-08
1813,1.3113382273388652e-06,8.627225156487839e-08
1814,1.1768572516501763e-06,3.4613449884091096e-08
1815,1.192172836894656e-06,3.506390555685357e-08
1816,1.3326222116916142e-06,3.244645441213834e-08
1817,1.22525941681495e-06,3.580808893843823e-08
1818,1.3196742889576285e-06,4.887682747423128e-08
1819,1.5184990758143613e-06,3.001804671498576e-08
1820,1.1783416242749922e-06,4.746592452420373e-08
1821,1.1952124134850806e-06,6.01550809165019e-08
1822,1.585049815844286e-06,2.7069162911175226e-08
1823,1.2975968188833065e-06,5.5343046589939604e-08
1824,1.4172732463180182e-06,3.873711662549795e-08
1825,1.1728849811376563e-06,2.905796137042671e-08
1826,1.2516145404539714e-06,5.108630984906881e-08
1827,1.3199135526775763e-06,5.7147091503395586e-08
1828,1.393272573979587e-06,3.944089616014779e-08
1829,1.2533983415607963e-06,4.286587973467704e-08
1830,1.204410871480377e-06,2.6092090266160994e-08
1831,8.731075249457376e-07,2.4945929544273326e-08
1832,9.565688030566122e-07,3.3824925083081325e-08
1833,7.147098859405787e-07,4.054269808762001e-08
1834,8.727786258155845e-07,2.3336327314993355e-08
1835,1.2169008343221321e-06,3.327758690829796e-08
1836,1.061206426289374e-06,6.25029770162655e-08
1837,1.1557057320032982e-06,2.3656828385121287e-08
1838,1.0755923973704284e-06,5.3653376852480505e-08
1839,1.138212208928735e-06,2.7266753299670654e-08
1840,1.0541834356558866e-06,4.1402977490889725e-08
1841,9.226328163691733e-07,2.8250413564023802e-08
1842,9.203739490537544e-07,3.4882976951422506e-08
1843,8.517765577309433e-07,1.653935144396712e-08
1844,7.338206184925866e-07,1.756339523817374e-08
1845,7.589110149197609e-07,3.1807299905040054e-08
1846,8.40120966794089e-07,3.2785209214125643e-08
1847,5.927152866291863e-07,3.4516630442738006e-08
1848,6.999342847535672e-07,2.1722098120235955e-08
1849,6.552702735973526e-07,3.9383248662261394e-08
1850,7.101289689614987e-07,3.530277936647508e-08
1851,7.70063009358779e-07,1.096404567135778e-08
1852,6.810030506176901e-07,2.3437962681782665e-08
1853,7.871006346693576e-07,1.851298847554972e-08
1854,7.538909152504658e-07,4.260444780301853e-08
1855,7.944484892163928e-07,2.600399184871094e-08
1856,8.081592373088142e-07,3.520488656150178e-08
1857,9.396904739333856e-07,3.8075771868761876e-08
1858,8.236056783239576e-07,3.572383611150087e-08
1859,7.179964689463247e-07,3.106225676674512e-08
1860,7.836138600225695e-07,3.524431591017674e-08
1861,7.201276490675923e-07,3.3483342321005694e-08
