year,rien_PRON abattre_VERB,rien_PRON rabattre_VERB
1800,6.288328968651058e-09,9.432493186523061e-08
1801,4.7623651688866175e-09,1.7858869227893592e-07
1802,0.0,1.3427040812530322e-07
1803,0.0,1.7748087088875764e-07
1804,4.943701892301533e-09,1.0628959046243835e-07
1805,8.528632911009026e-09,1.02343598484822e-07
1806,5.76333825108577e-09,2.3917854719002207e-07
1807,0.0,1.0533734240425474e-07
1808,0.0,9.970725756147658e-08
1809,0.0,5.6475762733043666e-08
1810,0.0,2.7613495490186324e-07
1811,0.0,1.6295999216708879e-07
1812,2.6672082320544632e-09,1.7870294755084615e-07
1813,0.0,4.888760685162197e-08
1814,0.0,2.643208745212178e-07
1815,0.0,1.591361922237411e-07
1816,4.6352077731626196e-09,1.1356259221884102e-07
1817,0.0,1.1676550570882682e-07
1818,4.768470951432846e-09,1.7524131123991538e-07
1819,0.0,1.759678553980848e-07
1820,0.0,1.7087732828713342e-07
1821,2.9584463767662328e-09,2.2188348225427035e-07
1822,3.0076847679083585e-09,2.1956098805731017e-07
1823,4.941343334508019e-09,2.3817275973669894e-07
1824,4.210556348027694e-09,2.2315948911000305e-07
1825,1.7610886082763955e-09,1.708256007759701e-07
1826,8.807984341885344e-10,1.1890779205714352e-07
1827,7.373818444733615e-09,7.834682236307344e-08
1828,3.668920500743411e-09,1.3299836609803606e-07
1829,2.571952872898464e-09,1.3459886361033568e-07
1830,8.349468672008697e-09,1.1689256496083544e-07
1831,0.0,7.951515357262906e-08
1832,5.411987746839486e-09,9.470978312720035e-08
1833,9.266902800675325e-09,1.610124371609345e-07
1834,1.6802156110884425e-08,1.0267984151823839e-07
1835,1.4369867074037757e-08,1.6790055212823063e-07
1836,1.4785650037651976e-08,1.6264215219052858e-07
1837,1.6698937344017395e-08,1.224588856985065e-07
1838,1.199310784016916e-08,1.3634269180329284e-07
1839,1.957613093850341e-08,1.1815593126129897e-07
1840,1.8472096741106725e-08,1.3822224786963488e-07
1841,1.1556987367100646e-08,1.0593905130917847e-07
1842,1.542900918138912e-08,1.6234001520842867e-07
1843,5.31621990873532e-09,1.3408687493665639e-07
1844,9.330554107123135e-09,1.1416207712500182e-07
1845,8.37034175305007e-09,1.2946128435942228e-07
1846,2.2832555401919308e-08,1.5865698799188976e-07
1847,3.775256551818984e-09,7.981971350545791e-08
1848,7.24069959545659e-09,1.0297883790144624e-07
1849,1.005529792763582e-08,9.803915190786938e-08
1850,2.7155984128057753e-08,1.2152302986123686e-07
1851,7.739326512989919e-09,1.0964046026629148e-07
1852,8.463708844885787e-09,1.1328349103223445e-07
1853,1.3735443005202796e-08,1.0809196737682214e-07
1854,3.117398783558656e-09,1.5483080062494992e-07
1855,6.368324534378189e-09,9.127931832608738e-08
1856,2.0708756931497874e-09,1.3926639041983435e-07
1857,4.393358121745905e-09,1.4742157361524733e-07
1858,3.9149408159744326e-09,1.3506546281405463e-07
1859,2.5460866748261424e-09,1.1762920593128001e-07
1860,1.0069804545764782e-08,1.2175308938822127e-07
1861,1.8863854922557266e-09,1.0610918366182887e-07
1862,2.710791813242963e-09,1.5587052359933296e-07
1863,1.4983863039219614e-09,1.413477690448417e-07
1864,4.794727948009836e-10,1.462392020812331e-07
1865,5.177528628053096e-09,1.0213852164042692e-07
1866,4.865612801552288e-09,1.6786364653853525e-07
1867,2.426405742994575e-09,7.861554252031056e-08
1868,1.975949626142892e-09,9.385760790792119e-08
1869,4.883519144627257e-10,1.0743742251406729e-07
1870,2.8670243956696595e-09,9.461180638936639e-08
1871,0.0,1.1152236112366154e-07
1872,1.2094678591978436e-09,7.196333484671413e-08
1873,4.190203295451056e-09,6.824045328812645e-08
1874,1.1949218281515073e-09,9.858104732529682e-08
1875,6.293679799540541e-09,1.418938779806922e-07
1876,3.02300739996042e-09,1.07619065659037e-07
1877,6.184816214727107e-09,8.535045736834945e-08
1878,7.2469061862534545e-09,6.159870480360041e-08
1879,1.221865053580018e-09,8.430868803088742e-08
1880,6.417846254436199e-10,7.38052321480609e-08
1881,6.972507571312292e-10,7.042232397225234e-08
1882,3.9932310791357395e-09,8.119570082953942e-08
1883,6.319338941018771e-10,7.962366765923434e-08
1884,9.902545450302114e-09,7.063815843366683e-08
1885,0.0,8.18595751184148e-08
1886,0.0,9.228453023979455e-08
1887,6.528924623161458e-10,8.095866377288985e-08
1888,6.340614699951175e-10,6.086990111953128e-08
1889,2.5060546970934183e-09,5.325366103647866e-08
1890,2.6217545912032847e-09,6.030035848425541e-08
1891,6.374220040683554e-10,4.079500826037474e-08
1892,1.2537024751679837e-09,6.581937839200691e-08
