year,un_DET adieu_NOUN,un_DET radieux_ADJ
1800,1.2576657582030748e-07,6.288328968651058e-09
1801,3.6908330436347114e-07,0.0
1802,2.64065135979763e-07,0.0
1803,2.710971478414592e-07,0.0
1804,3.238124790527763e-07,0.0
1805,2.444874862561619e-07,0.0
1806,3.8614367081635237e-07,0.0
1807,1.8789903322158352e-07,0.0
1808,1.7675377250725433e-07,0.0
1809,2.033127433076487e-07,0.0
1810,2.480534315729699e-07,0.0
1811,1.7549536845962166e-07,0.0
1812,2.2404549460119938e-07,8.00162425207418e-09
1813,2.530652616350437e-07,0.0
1814,2.1712072451052222e-07,0.0
1815,8.631115711033033e-08,5.394447111228828e-09
1816,1.9236112791531923e-07,0.0
1817,2.53770374492035e-07,0.0
1818,2.5988167795532036e-07,1.1921177378582115e-09
1819,1.4491469468858043e-07,6.210630232317271e-09
1820,3.91593869331075e-07,0.0
1821,1.8835442316955664e-07,9.86148829262845e-10
1822,2.9274798407641356e-07,6.015369535816717e-09
1823,3.0833982123112946e-07,0.0
1824,2.4589649072481734e-07,7.57900142644985e-09
1825,2.9146015645409307e-07,0.0
1826,1.964180569302698e-07,8.807984341885344e-10
1827,1.7328473767008745e-07,0.0
1828,2.274730754869836e-07,5.503380862137419e-09
1829,2.0661354160900203e-07,8.57317605795771e-10
1830,2.452656346907389e-07,3.1310507520032616e-09
1831,3.3209269756362403e-07,1.2472964883158966e-08
1832,4.505479931360412e-07,4.058990810129615e-09
1833,4.413362427735379e-07,2.0850531967653296e-08
1834,3.640467038934503e-07,1.120143711119681e-08
1835,4.77987157410098e-07,7.563087933704082e-09
1836,3.9450802269414e-07,1.6129799718100912e-08
1837,3.7781348938281667e-07,1.3219993100221927e-08
1838,3.6484296450645104e-07,7.574594507175902e-09
1839,3.118197865470407e-07,1.0487212875887053e-08
1840,3.1466262839785486e-07,6.369688498875092e-09
1841,3.6789744495280274e-07,1.7977535904378783e-08
1842,4.232915342683441e-07,3.4882980060046975e-08
1843,3.71544702171267e-07,3.189732045161264e-08
1844,3.4577936869339965e-07,1.920996384185969e-08
1845,3.3369762653112645e-07,2.2320911785556063e-08
1846,3.313647867209113e-07,4.2152410006934815e-08
1847,3.5918870278095483e-07,2.48088296572746e-08
1848,3.4674904636489146e-07,4.585776380849893e-08
1849,3.485836479466542e-07,5.362825405974547e-08
1850,3.442021059285594e-07,2.1724788190624622e-08
1851,4.4178656199989064e-07,1.9348315838385588e-08
1852,3.2422516049734895e-07,3.5156944022674e-08
1853,4.1206328260656733e-07,3.76231701348928e-08
1854,4.4163146561970734e-07,1.9743525592197386e-08
