year,un_DET emplacement_NOUN,un_DET remplacement_NOUN
1800,7.263020158632116e-07,1.8236154630812962e-07
1801,8.000773306093834e-07,1.500145003774378e-07
1802,9.264658160645922e-07,9.175144555229053e-08
1803,5.851017392810576e-07,2.2038832980797451e-07
1804,6.006597779162348e-07,2.076354803648428e-07
1805,6.680762538735507e-07,7.675770063997334e-08
1806,1.1267326271990896e-06,1.2967511509032192e-07
1807,5.352275511683047e-07,9.679647661187119e-08
1808,8.112544822580503e-07,1.7222161829977267e-07
1809,1.122738199521578e-06,1.3780086760561971e-07
1810,6.833169932107808e-07,1.1466621430145096e-07
1811,9.351396315082638e-07,7.52123057168319e-08
1812,1.0055374715101095e-06,1.2002436733382638e-07
1813,7.908289250124767e-07,1.2653262615458516e-07
1814,6.419221154629895e-07,4.72001566720337e-08
1815,8.442309835654527e-07,1.4025562222741428e-07
1816,9.200887252092116e-07,3.0128852301913867e-08
1817,5.635881947796406e-07,7.005930058312515e-08
1818,6.497041666886361e-07,8.225612191381515e-08
1819,6.252034059350819e-07,1.1489665807662419e-07
1820,7.155488299659396e-07,6.763894511152557e-08
1821,6.87345712346854e-07,7.790576006527772e-08
1822,6.516650472576657e-07,6.416394171537831e-08
1823,1.042623455682623e-06,5.830785099192326e-08
1824,8.345322912717279e-07,5.642145595174952e-08
1825,8.4620310047967e-07,1.0038205289220059e-07
1826,8.490897052126911e-07,1.444509365455815e-07
1827,8.249459462206232e-07,2.037017310385636e-07
1828,9.034716530464948e-07,1.1832268853595451e-07
1829,1.0827921834710708e-06,1.0030615982259405e-07
1830,1.1397024195503036e-06,1.1063045946002603e-07
1831,9.557409121896399e-07,1.4967557149248023e-07
1832,9.362738935259074e-07,1.5153565868786245e-07
1833,1.154887712573327e-06,1.783878786909554e-07
1834,9.063829580213678e-07,1.8295681059044e-07
1835,8.962259343547885e-07,1.0739584865859797e-07
1836,7.641493064980409e-07,8.199315004731034e-08
1837,1.0534246310811568e-06,7.72325918774186e-08
1838,8.597164367074583e-07,1.249808008196851e-07
1839,9.158832634525993e-07,9.368577025270497e-08
1840,8.331552541207543e-07,1.3758527472873538e-07
1841,9.637243616467117e-07,1.373997378095737e-07
1842,9.062866199727182e-07,1.569734058293193e-07
1843,1.0053562596312737e-06,1.0041749037847936e-07
1844,1.076855763670892e-06,7.958414016684401e-08
1845,1.0496409110771765e-06,1.4341185705646353e-07
1846,1.182023857460024e-06,1.0069742018004035e-07
1847,9.680836638992218e-07,1.844482424573357e-07
1848,9.734718409148968e-07,1.504456434986423e-07
1849,8.748109330269926e-07,1.9691624686402065e-07
1850,9.382392711643206e-07,1.575047008373076e-07
1851,1.0493236999309374e-06,1.2318427722313174e-07
1852,1.0442914726294106e-06,1.6536785096832318e-07
1853,1.1304866498473842e-06,2.8545834807047754e-07
1854,9.611979066015408e-07,1.3145031685368735e-07
1855,8.634386823302975e-07,1.0720012966203285e-07
1856,1.0851389061761196e-06,1.0147290874229498e-07
1857,9.050317757441917e-07,1.4205191689597996e-07
1858,9.072875588600482e-07,8.368186144025458e-08
1859,9.456165679377904e-07,9.114990007219603e-08
1860,1.2051725679640413e-06,1.171759080875745e-07
1861,1.118626594021066e-06,6.838147675880535e-08
1862,1.1471167002952143e-06,1.0707627495776251e-07
1863,1.3405562233614887e-06,7.242200439350199e-08
1864,1.249026641003681e-06,5.7057263802562375e-08
1865,1.2553153423411345e-06,7.342677538213493e-08
1866,1.1317415893330462e-06,8.076917623611735e-08
1867,1.1903946663949228e-06,1.3199647952433224e-07
1868,1.1826058816666318e-06,1.5758198212978414e-07
1869,1.1329764587619806e-06,1.1183259118752176e-07
1870,1.1559842150177246e-06,1.5424591515156294e-07
1871,1.251174716054848e-06,8.390730243945654e-08
1872,1.1211766990371075e-06,1.1308524250353003e-07
1873,1.424070454780768e-06,1.1193828475253298e-07
1874,1.1883497528231146e-06,8.782675564589226e-08
1875,1.235277707678506e-06,4.9777284516494547e-08
1876,1.325891005876656e-06,7.557518699741195e-08
1877,1.3656073889478648e-06,1.3235506401976238e-07
1878,1.4022764433518908e-06,1.1172314084983981e-07
1879,1.2597428922234144e-06,1.2463023324471578e-07
1880,1.3965233947033084e-06,8.728270728397547e-08
1881,1.5283736942706128e-06,1.5200066116882738e-07
1882,1.4415564204561804e-06,1.231246231636618e-07
1883,1.437017628447279e-06,6.445725936332636e-08
1884,1.2721469504484162e-06,9.704494630113913e-08
1885,1.402570333652875e-06,1.2891271694570605e-07
1886,1.3694250853291123e-06,8.841245197066527e-08
1887,1.3456113272525272e-06,9.466940614766273e-08
1888,1.3733771204726963e-06,9.003672829521747e-08
1889,1.4948616733345688e-06,1.0149521578739495e-07
1890,1.3370948508395486e-06,1.127354479213416e-07
1891,1.3736444017808935e-06,1.032623657692966e-07
1892,1.5339049319607057e-06,1.2348969469222482e-07
1893,1.3486932211037583e-06,1.1023565349432829e-07
1894,1.4487238928495572e-06,9.452308979973623e-08
1895,1.4270134798266554e-06,1.1916856834659484e-07
1896,1.4247222530627823e-06,1.108641465297211e-07
1897,1.646046575487503e-06,1.0721153254067417e-07
1898,1.478528112386357e-06,1.0694290986101862e-07
1899,1.5808873747857888e-06,9.120504351756153e-08
1900,1.6247996660334607e-06,8.1499536452867e-08
1901,1.6654442163144267e-06,1.0450941845263628e-07
1902,1.6837363543409367e-06,1.9150107349874546e-07
1903,1.8684761720066945e-06,9.558389990615979e-08
1904,1.6285113852987365e-06,1.1824175061292408e-07
1905,1.6689894531407568e-06,9.444189141838422e-08
1906,1.669802255577224e-06,9.105206516535347e-08
1907,1.6333670345147766e-06,9.977116438575351e-08
1908,1.5564192492600881e-06,1.1345308759125317e-07
1909,1.5892341309609037e-06,8.251475180909296e-08
1910,1.531633554208156e-06,1.3306934665280323e-07
