year,en_PRON amènent_VERB,en_PRON ramènent_VERB
1800,7.231578535993322e-08,3.144164484325529e-09
1801,6.905429472681135e-08,3.333655484993869e-08
1802,5.594600338554301e-08,2.2378401354217203e-08
1803,8.191424427650418e-08,3.1205427575287104e-08
1804,7.662737999680758e-08,3.460591457837836e-08
1805,9.381496113292087e-08,1.1371510844071508e-08
1806,5.187004603612877e-08,8.645007376628655e-09
1807,8.54086508184082e-08,5.4092147649953404e-08
1808,1.0650547466184435e-07,1.5862518409903714e-08
1809,1.5361408145508904e-07,1.581321384946932e-08
1810,4.212228077449254e-08,1.1700633351097167e-08
1811,1.2284675676710322e-07,7.521229861140455e-09
1812,9.868670503010435e-08,2.6672082320544632e-09
1813,2.0130190847567064e-08,2.8757416004054903e-08
1814,4.090680150170556e-08,3.4613449884091096e-08
1815,9.170560133497929e-08,0.0
1816,1.0429217667251578e-07,6.952811659743929e-09
1817,1.7281294617532694e-07,1.401186100480345e-08
1818,1.1563542301473717e-07,1.9073883805731384e-08
1819,7.03871378959775e-08,1.3456364911235141e-08
1820,1.6019750148643652e-07,8.306536791735653e-09
1821,4.7335142028259725e-08,1.97229765852569e-09
1822,4.411270992932259e-08,6.015369535816717e-09
1823,6.028439258898288e-08,1.087095569118901e-08
1824,8.168479581627253e-08,5.052667617633233e-09
1825,4.842993561737785e-08,2.6416328680056722e-08
1826,1.1450379844291092e-07,1.6735169694470642e-08
1827,8.756409641819118e-08,2.7651818612639545e-08
1828,6.787502826455238e-08,2.7516904310687096e-09
1829,6.001223340490469e-08,1.457439946506156e-08
1830,9.810625556383457e-08,1.1480519646056564e-08
1831,1.1849316905454543e-07,6.236482441579483e-09
1832,1.0959275442701255e-07,5.411987746839486e-09
1833,6.950177322551099e-08,4.6334514003376626e-09
1834,7.467625096069241e-08,2.42697808516823e-08
1835,9.680752555141225e-08,2.117664621437143e-08
1836,6.98957975941994e-08,1.747394939854985e-08
1837,5.357576071673975e-08,1.8090515752078318e-08
1838,8.332053624826585e-08,2.5248647617104325e-08
1839,7.690622538802927e-08,1.7478688718597368e-08
1840,7.197748175258312e-08,2.6752692505738196e-08
1841,5.585877360658742e-08,2.3113974734201292e-08
1842,6.104521332872537e-08,1.609983613093391e-08
1843,6.084118098215185e-08,8.860366662588604e-09
1844,6.092302839988406e-08,1.5916826967554698e-08
1845,4.910600637231255e-08,9.48638767539478e-09
1846,2.9272506196775794e-08,2.0490753982471688e-08
1847,5.824681537092147e-08,2.534815024546333e-08
1848,5.390298696283935e-08,2.091757700384278e-08
1849,5.362825561405771e-08,4.4410899846525353e-08
1850,6.653215933738466e-08,2.0366988096043315e-08
1851,7.610337604546658e-08,1.096404567135778e-08
1852,4.817803755940986e-08,1.6276363368206148e-08
1853,5.852493245583901e-08,1.791579506971175e-08
1854,7.118060096900081e-08,1.558699302961486e-08
1855,7.005156987816008e-08,7.960405667972736e-09
1856,4.34883880018333e-08,2.2779632402603056e-08
1857,4.735063896532665e-08,2.2943092758964667e-08
