year,prochain_ADJ réveil_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,1.5664880947952042e-08
1803,0.0
1804,2.4718509461507665e-09
1805,1.9900143755080535e-08
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,2.259030518203531e-09
1810,0.0
1811,1.0028307073639553e-08
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,8.807984341885344e-10
1827,0.0
1828,7.337841001486822e-09
1829,8.57317605795771e-10
1830,0.0
1831,0.0
1832,8.117981842303834e-09
1833,2.3167257001688313e-09
1834,9.334530925997342e-10
1835,6.050470346963266e-09
1836,7.392825018825988e-09
1837,0.0
1838,0.0
1839,3.4957374772659477e-09
1840,1.2739377330817092e-09
1841,7.0626033910059505e-09
1842,6.708265054555795e-10
1843,4.7255288571079745e-09
1844,7.683985892015244e-09
1845,5.580227835366713e-09
1846,1.4050803187615202e-08
1847,1.6179670936367074e-08
1848,1.367687652020777e-08
1849,5.02764896381791e-09
1850,8.146795238417326e-09
1851,1.483370937194195e-08
1852,9.114764054629632e-09
1853,4.777545470346922e-09
1854,4.676098175337984e-09
1855,9.552486801567284e-09
1856,7.765783571755946e-09
1857,4.881508974818871e-09
1858,6.8511463169329545e-09
1859,8.656694916453489e-09
1860,1.9224172476128842e-08
1861,3.772770984511453e-09
1862,1.3102160245637151e-08
1863,1.1487627737949424e-08
1864,3.3563094525845827e-09
1865,2.8241067262513297e-09
1866,1.1190909532388105e-08
1867,5.338092634588065e-09
1868,1.3831646938911035e-08
1869,6.8369265804335555e-09
1870,9.17447806614291e-09
1871,4.248470908407853e-09
1872,1.0885210954825197e-08
1873,5.9860045809045914e-09
1874,4.182226565063729e-09
1875,5.149374260327022e-09
1876,6.04601479992084e-09
1877,4.329371083855449e-09
1878,5.435179861734696e-09
1879,1.4051448005147904e-08
1880,1.3477476912271413e-08
1881,4.183504653809678e-09
1882,9.983077475794744e-09
1883,7.58320695126713e-09
1884,5.941527270181268e-09
1885,4.511945039809007e-09
1886,1.7424351739236954e-08
1887,2.6115698492645834e-09
1888,1.1413106904001324e-08
1889,5.012109394186837e-09
1890,9.176140736144589e-09
1891,6.374220040683554e-10
1892,3.761107425503951e-09
1893,7.390100087434348e-09
1894,1.8904617871129403e-09
1895,8.426059849853118e-09
1896,9.435246361988447e-09
1897,1.1070755867592652e-08
1898,6.224190496340043e-09
1899,6.080336234504102e-09
1900,6.22926377147337e-09
1901,3.912117296778206e-09
1902,6.38336894454028e-09
1903,1.2420506401156217e-08
1904,1.2361637935498493e-08
1905,8.257214467732865e-09
1906,1.800464666246171e-08
1907,9.257117739025489e-09
1908,9.822778146428846e-10
1909,1.1001967115120692e-09
1910,9.085056262847502e-09
1911,6.384448969498635e-09
1912,6.251305251225858e-09
1913,1.060597942803554e-09
1914,5.357394972094198e-09
1915,1.4136913861761968e-08
1916,9.888715624128963e-09
1917,3.289927441585405e-09
1918,5.743188147278033e-09
1919,1.8415696745321952e-09
1920,1.1358347151713133e-08
1921,6.815472630705699e-09
1922,8.115729421831475e-09
1923,5.307974060286824e-09
1924,1.289162443462999e-09
1925,7.698724324711748e-09
1926,8.916910765321973e-09
1927,7.804457524684949e-09
1928,3.4278122562625413e-09
1929,4.4561625500705304e-09
1930,2.100720708497761e-09
1931,1.1405356659111021e-09
1932,3.287861094491973e-09
1933,1.261772819560747e-08
1934,0.0
1935,2.393656828303392e-09
1936,4.849885826274658e-09
1937,3.777335333410292e-09
1938,7.779128452511941e-09
1939,1.2235240376412548e-08
1940,7.607348528892999e-09
1941,1.7709016475464523e-08
1942,3.034211770724937e-09
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,1.5249527862692958e-08
1946,1.3921104269343232e-09
1947,1.1920870957027319e-09
1948,4.348755133776194e-09
1949,1.9634016634739737e-09
1950,2.1270722960764488e-09
1951,2.1322803522849654e-09
1952,2.1089607837865287e-09
1953,0.0
1954,1.9545072227344917e-09
1955,5.631364707880948e-09
1956,1.744228317335228e-09
1957,7.951533653738352e-09
1958,4.9633461784992505e-09
1959,4.650448914844674e-09
1960,1.3841666701708277e-09
1961,4.86371165564492e-09
1962,3.805173953708163e-09
1963,3.879631726988464e-09
1964,7.300761772910391e-09
1965,1.2038495533772675e-08
1966,4.431259803538978e-09
1967,2.9582012395223956e-09
1968,5.838840522187638e-09
1969,9.083515606356229e-10
1970,3.6789800095249348e-09
1971,3.083038491169532e-09
1972,1.0260293725750103e-09
1973,2.205281512956958e-09
1974,2.812785782069227e-09
1975,2.8557400888473694e-09
1976,5.142174241967723e-09
1977,5.876781838942691e-10
1978,1.7821774056514528e-09
1979,5.851973350345929e-10
1980,4.548120546843393e-09
1981,4.427884725544118e-09
1982,1.2415004579935385e-09
1983,6.315316269933646e-09
1984,2.3196033982486597e-09
1985,3.609334831011779e-09
1986,2.997242676272549e-09
1987,9.777306964053878e-09
1988,6.596209356501959e-09
1989,2.7440609784434855e-09
1990,2.724325431913144e-09
1991,2.344586080837985e-09
1992,1.65298330578878e-09
1993,1.661762283333701e-09
1994,4.2199412852994556e-09
1995,4.337960657352369e-09
