year,en_ADP âge_NOUN,en_ADP age_NOUN,en_ADP rage_NOUN
1800,4.2100364225916564e-06,1.19478254401173e-07,5.65949598296811e-08
1801,5.441002031147946e-06,4.0480102825313224e-08,2.1430643926123594e-07
1802,4.701701982412487e-06,2.9091921760482364e-08,9.84649659585557e-08
1803,5.601374141406268e-06,6.4361191931539e-08,4.8758479920252285e-08
1804,5.465262347570388e-06,6.673997310358004e-08,6.673997887673977e-08
1805,6.021215085638687e-06,3.4114532976303735e-08,9.665784261869703e-08
1806,4.4752323447028175e-06,9.509507847837995e-08,7.780506905419315e-08
1807,4.714557690022048e-06,5.124519120158766e-08,3.131650672116848e-08
1808,4.844865998165915e-06,6.571614541428517e-08,1.0877155176558517e-07
1809,5.209324172028573e-06,3.614448895739031e-08,4.743964154840796e-08
1810,5.553120900003705e-06,5.148278958699848e-08,1.2402671245581587e-07
1811,6.355439381877659e-06,4.011322829455821e-08,4.763445815569867e-08
1812,5.7131601352011785e-06,4.800974817698034e-08,2.9339290108509886e-08
1813,5.426524694485124e-06,7.764502640839055e-08,1.2940837734731758e-07
1814,4.679108769778395e-06,1.1957373402537996e-07,1.0698702368472368e-07
1815,5.9824419622600544e-06,9.979726955933188e-08,2.4275012222574333e-08
1816,4.704736056737602e-06,2.7811246638975717e-08,6.489290882427667e-08
1817,5.699713710782817e-06,6.227493631882908e-08,1.167655089284736e-07
1818,5.396716915129218e-06,3.337929710411913e-08,1.0133000927226021e-07
1819,5.5398818403773475e-06,3.726378050572521e-08,1.614763789348217e-07
1820,5.395689186116215e-06,1.0917162995838225e-07,1.4595771347103437e-07
1821,5.794610387965804e-06,1.6271455649530253e-07,1.1932401378089708e-07
1822,5.358691851142794e-06,3.709477880420309e-08,1.2130995230563713e-07
1823,4.653757059713826e-06,4.743689674402418e-08,1.1167436042569534e-07
1824,5.1132997214153875e-06,4.968456579490521e-08,9.600068295867459e-08
1825,5.177600542083383e-06,8.012952967817455e-08,8.981552213072064e-08
1826,5.237227469478967e-06,3.5231937256519075e-08,6.253668771716292e-08
1827,4.344100943853846e-06,5.622536392024813e-08,5.2538457140371975e-08
1828,4.391697984829079e-06,6.51233387216621e-08,1.0364700386844561e-07
1829,4.560072284220951e-06,4.9724419248775575e-08,9.516225479844209e-08
1830,4.086021363036707e-06,3.6528926106171866e-08,8.662573947049168e-08
1831,3.872855813824572e-06,7.639691101957169e-08,8.731075240575592e-08
1832,4.5108918129699305e-06,4.7354892895867806e-08,1.1229874274931717e-07
1833,4.610284122463781e-06,1.0888610679771205e-07,1.030942939905799e-07
1834,3.896233010891592e-06,4.480574977705487e-08,7.000897994657862e-08
1835,4.853990049014101e-06,5.142899794918776e-08,8.24376584773745e-08
1836,4.899426585325273e-06,7.728862810862935e-08,9.543465040451338e-08
1837,4.727886789623881e-06,6.192522983283766e-08,8.001574514082677e-08
1838,4.5106708057574e-06,7.258986212121954e-08,1.1298769919676488e-07
1839,4.505306606006343e-06,8.11011120482874e-08,5.942753844578874e-08
