year,aucun_DET aliment_NOUN,aucun_DET ralliement_NOUN
1800,2.3581233676850388e-07,1.8864987794131594e-08
1801,2.2621235018505104e-07,0.0
1802,2.394488944901241e-07,0.0
1803,3.237563248603692e-07,0.0
1804,2.694317515761213e-07,0.0
1805,2.729162740244817e-07,0.0
1806,2.7664023605211696e-07,0.0
1807,3.3309373748124926e-07,0.0
1808,2.3567169193938753e-07,1.3596443970698147e-08
1809,2.1008983708270534e-07,0.0
1810,1.7550951270095538e-07,0.0
1811,1.4039629547824006e-07,0.0
1812,2.773896623509131e-07,0.0
1813,1.6104153610640992e-07,0.0
1814,2.9578765747828584e-07,0.0
1815,3.6682240867058624e-07,0.0
1816,3.476405936453375e-07,0.0
1817,2.8957845188415376e-07,0.0
1818,2.324629519989685e-07,0.0
1819,2.2875821115153627e-07,0.0
1820,2.076634189052129e-07,0.0
1821,2.613294327602489e-07,0.0
1822,1.7945852448519872e-07,4.010246357211145e-09
1823,2.4113757035593153e-07,0.0
1824,2.1052782006591997e-07,0.0
1825,1.681839676415109e-07,0.0
1826,2.369347811281841e-07,0.0
1827,1.4102427847717536e-07,0.0
1828,2.0729400773689122e-07,0.0
1829,1.6289034743266484e-07,0.0
1830,1.982998825145188e-07,2.0873671680021744e-09
1831,1.9644920312700265e-07,0.0
1832,2.1647950632086577e-07,0.0
1833,2.814821584706806e-07,0.0
1834,2.0629313390863047e-07,9.334530925997342e-10
1835,2.291615643912337e-07,0.0
1836,1.7742780755725107e-07,5.376600054063374e-09
1837,1.892546322990185e-07,6.957890930081589e-10
1838,1.7800295903924734e-07,1.2624323808552163e-09
1839,1.9016812302652397e-07,0.0
1840,1.8089916409280704e-07,0.0
1841,1.9197440481732997e-07,1.6051371787284552e-08
1842,2.0862704275259603e-07,0.0
1843,1.9256530547906436e-07,0.0
1844,1.7618281766829114e-07,0.0
1845,1.6015253923029604e-07,1.1160455892778032e-09
1846,1.6685328407817224e-07,0.0
1847,1.9577401921822002e-07,3.775256551818984e-09
1848,1.8021297065740072e-07,0.0
1849,1.390982937721219e-07,0.0
1850,1.473212085656428e-07,0.0
1851,1.1028540414237398e-07,0.0
1852,1.9271213780314156e-07,6.510545436100301e-10
1853,2.1857270837699616e-07,0.0
1854,1.522329622360985e-07,0.0
1855,1.9582597943212932e-07,0.0
1856,1.6463462004789875e-07,2.5885946719483854e-09
1857,1.801276827695375e-07,0.0
1858,2.1581111209201254e-07,0.0
1859,1.4665459913132395e-07,0.0
1860,1.693558102644488e-07,0.0
1861,1.8392258027688513e-07,4.715963730639317e-10
1862,1.8433383575100493e-07,0.0
1863,1.8929613188056749e-07,4.994620828036034e-10
1864,1.352113341290817e-07,0.0
1865,1.8309624305601346e-07,0.0
1866,1.503474433839358e-07,0.0
1867,1.3830512557433394e-07,4.85281148598915e-10
1868,1.3238862495157377e-07,0.0
1869,1.6359788856945556e-07,0.0
1870,1.8406296975470582e-07,0.0
1871,1.0621177026770567e-07,0.0
1872,1.6085922016628729e-07,0.0
1873,1.658123216508045e-07,0.0
1874,1.7864080792406867e-07,0.0
1875,1.6992935536475073e-07,4.005069165202713e-09
1876,1.4994116148692171e-07,0.0
1877,1.6760851062613824e-07,0.0
1878,1.98082113156417e-07,0.0
1879,1.46012872015433e-07,4.887460214320072e-09
1880,1.4311796725507975e-07,0.0
1881,1.513034104672073e-07,0.0
1882,1.6505355038276548e-07,0.0
1883,1.327061225353532e-07,0.0
1884,1.452373394883466e-07,6.601696966868076e-10
1885,1.3922572472679917e-07,0.0
1886,1.8392371825548537e-07,0.0
1887,1.5016526333511138e-07,0.0
1888,1.261782294204039e-07,0.0
1889,1.190375993331827e-07,0.0
1890,1.664814215374122e-07,0.0
1891,1.4851933016757357e-07,0.0
1892,1.0907211223099011e-07,1.8805537127519756e-09
1893,1.4349110744049653e-07,0.0
1894,1.2918155967156508e-07,6.301539290376468e-10
1895,1.3301138568344584e-07,0.0
1896,1.1440236225013223e-07,0.0
1897,1.468331785048349e-07,5.826713556089658e-10
1898,1.601314418842037e-07,5.092519295146758e-09
1899,1.4261152436745306e-07,5.527578395003729e-10
1900,1.417157524663537e-07,0.0
1901,1.760452805754653e-07,0.0
1902,1.6842273664607887e-07,4.910283735171106e-09
1903,1.5552633758630918e-07,5.400220270956879e-10
1904,1.7682517583494928e-07,5.374625189347171e-10
1905,1.641121381013022e-07,0.0
1906,1.450660076507404e-07,0.0
1907,1.3937105158845497e-07,0.0
1908,1.2474927935102187e-07,0.0
1909,1.699803942045719e-07,5.5009836685826485e-09
1910,1.4536090420236292e-07,0.0
1911,1.3726565351035447e-07,1.5961122423746588e-09
1912,1.401334255302089e-07,5.209421227725386e-10
1913,1.272717549127833e-07,0.0
1914,1.1384464482233625e-07,3.3483718020477227e-09
1915,8.599955902965917e-08,0.0
1916,9.778841203456068e-08,0.0
1917,9.760117869461737e-08,0.0
1918,1.849306592305311e-07,0.0
1919,7.734592943897667e-08,0.0
1920,1.0298235153527457e-07,0.0
1921,1.1434848723457236e-07,7.572747429129834e-10
1922,1.3280284250072327e-07,0.0
1923,9.978991055703545e-08,0.0
1924,9.926550514904875e-08,3.867487219366694e-09
1925,1.1108159414519037e-07,0.0
1926,9.585678828472055e-08,0.0
1927,8.250426608569228e-08,0.0
1928,1.1083260131883321e-07,1.1426041224282812e-09
1929,1.1808830446824459e-07,0.0
1930,7.562594461774097e-08,4.201441416995522e-09
1931,1.0378874382155345e-07,0.0
1932,8.329247525029615e-08,3.287861094491973e-09
1933,8.373583249010608e-08,0.0
1934,1.006452770013766e-07,0.0
1935,8.138433305049375e-08,0.0
1936,8.487300284798494e-08,0.0
1937,6.169647859266547e-08,0.0
1938,9.85356320981623e-08,0.0
1939,6.423501019980904e-08,0.0
1940,7.353770481444144e-08,0.0
1941,8.854507971278736e-08,0.0
1942,8.192371825366251e-08,0.0
1943,7.548411695701418e-08,0.0
1944,8.996921252446555e-08,0.0
1945,5.664110380720899e-08,0.0
1946,6.403707697444361e-08,0.0
1947,7.510148503087066e-08,1.1920870957027319e-09
1948,6.631851423577473e-08,6.523132700664291e-09
1949,8.540797180600634e-08,0.0
1950,8.401935502888591e-08,0.0
1951,6.610069203105695e-08,3.1984206394497505e-09
1952,7.592258866040424e-08,6.326882129314981e-09
1953,8.18810852454277e-08,0.0
1954,7.3294018854142e-08,0.0
1955,4.59894780036052e-08,2.815682353940474e-09
1956,3.488456679079377e-08,7.849027205963921e-09
1957,5.035971506472947e-08,0.0
1958,5.2115132875840686e-08,1.6544486891589827e-09
1959,6.200598434702442e-08,3.8753737996444215e-09
1960,5.8134999703085555e-08,1.3841666701708277e-09
1961,5.628008947766716e-08,1.3896318540318475e-09
1962,4.6296281475122214e-08,2.5367825617905737e-09
1963,5.108181921897881e-08,3.879631726988464e-09
1964,4.319617546988397e-08,4.258777774879263e-09
1965,4.9795595202795084e-08,1.6416130677043839e-09
1966,4.542041442956446e-08,6.092982118843793e-09
1967,5.916402745498317e-08,1.9721342336964653e-09
1968,5.883754761182303e-08,3.1439910674890825e-09
1969,4.4509226082567466e-08,2.2708788183223305e-09
1970,4.920635846006327e-08,4.598724956395017e-09
