year,ton_DET homme_NOUN,ton_DET rhum_NOUN
1800,1.8864986461863964e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,2.9091921760482364e-08,0.0
1803,1.7553053011098996e-08,0.0
1804,4.449331569844617e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,2.881669125542885e-09,0.0
1807,3.4163463169534225e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,2.7108365552308555e-08,0.0
1810,3.2761775958789485e-08,0.0
1811,1.504245972228091e-08,0.0
1812,2.400487275622254e-08,0.0
1813,4.6011867427253605e-08,0.0
1814,9.440030979135372e-09,0.0
1815,2.697223555614414e-09,0.0
1816,1.1588019432906549e-08,0.0
1817,4.0478708385194295e-08,0.0
1818,3.337929754820834e-08,0.0
1819,5.5895669093253275e-08,0.0
1820,2.3732962262101864e-08,0.0
1821,5.916892809043617e-08,0.0
1822,3.208197085768916e-08,0.0
1823,3.162459860650557e-08,0.0
1824,5.894778709603088e-08,0.0
1825,5.723537888080443e-08,0.0
1826,3.8755132436563144e-08,0.0
1827,1.6591091167583727e-08,0.0
1828,5.228211580332598e-08,0.0
1829,4.372319883927389e-08,0.0
1830,4.4878393001823724e-08,0.0
1831,7.327867113104958e-08,0.0
1832,2.570694235259907e-08,0.0
1833,4.401778663787326e-08,0.0
1834,4.947301412983052e-08,0.0
1835,4.310960122211327e-08,0.0
1836,6.04867480547e-08,0.0
1837,1.6351044251905478e-07,0.0
1838,4.734121250571377e-08,0.0
1839,2.3771015378315496e-08,0.0
1840,3.121147429396842e-08,0.0
1841,3.4028907691663335e-08,0.0
1842,2.6162233712767602e-08,0.0
1843,4.134837583436024e-08,0.0
1844,5.269018737985576e-08,0.0
1845,7.421703429599802e-08,0.0
1846,3.5712459878212144e-08,0.0
1847,2.426950640455061e-08,5.393223645455691e-10
1848,2.57447089757612e-08,0.0
1849,2.9327951622803994e-08,0.0
1850,2.1724788190624622e-08,0.0
1851,2.450786706909014e-08,6.449438760824933e-10
1852,4.492276506340431e-08,0.0
1853,1.9110181659343084e-08,0.0
1854,3.16935526711859e-08,0.0
1855,6.739809776945549e-08,0.0
1856,2.847454094734303e-08,0.0
1857,3.4170565321733903e-08,0.0
1858,3.034079076869034e-08,4.893676019968041e-10
1859,7.536416846143368e-08,5.092173349652285e-10
1860,2.883625893623787e-08,0.0
1861,4.197207825740179e-08,0.0
1862,3.478849575078158e-08,4.517986262886353e-10
1863,3.945750504108503e-08,0.0
1864,9.781245324802512e-08,0.0
1865,4.848049783845454e-08,0.0
1866,8.125573280892695e-08,0.0
1867,6.066014535122122e-08,0.0
1868,6.570032562436268e-08,0.0
1869,6.250904682758573e-08,0.0
1870,6.53681588858035e-08,0.0
1871,6.585129597169725e-08,0.0
1872,6.47065292458393e-08,0.0
1873,4.609223291929254e-08,0.0
1874,5.7953707943703137e-08,0.0
1875,9.383304266918913e-08,0.0
1876,5.441413430951059e-08,0.0
1877,4.20567480841072e-08,0.0
1878,4.1669712902425715e-08,0.0
1879,8.12540261740935e-08,5.498392852132383e-09
1880,4.8775629757358274e-08,1.2835692508872398e-09
1881,4.880755422043137e-08,0.0
1882,8.053016142817171e-08,0.0
1883,6.761692622481164e-08,0.0
