year,on_PRON approche_VERB,on_PRON rapproche_VERB
1800,1.2356566543303416e-06,8.237710673597576e-07
1801,1.2405961626882345e-06,7.191171578213584e-07
1802,1.2061958614140167e-06,6.870169499961776e-07
1803,1.119494754675543e-06,1.1077926842517627e-06
1804,1.1271639834831149e-06,6.822308868947857e-07
1805,1.0461789798910104e-06,7.24933805429373e-07
1806,1.1987743704366949e-06,5.965055152046261e-07
1807,1.0220568888996695e-06,9.793525421741833e-07
1808,7.478044317110744e-07,5.642524207871702e-07
1809,7.793655143473188e-07,7.906606640517566e-07
1810,1.0015742688551654e-06,6.294940995132947e-07
1811,9.928024269356683e-07,3.509907458010275e-07
1812,1.3229353292842916e-06,9.068507864640196e-07
1813,7.735744844694636e-07,7.53444311385465e-07
1814,6.073086993296783e-07,5.88428629821891e-07
1815,6.392419678036276e-07,7.821948209141283e-07
1816,1.6153698894072477e-06,8.250669623066642e-07
1817,9.528065376684935e-07,7.457423691903386e-07
1818,6.711622759780767e-07,5.984430835326293e-07
1819,7.587319572621709e-07,6.89379923812794e-07
1820,8.437067933186881e-07,5.517913876929015e-07
1821,7.760991493910296e-07,7.139717297377501e-07
1822,7.489135072091813e-07,4.842372476332457e-07
1823,8.499110819570888e-07,7.362601621707654e-07
1824,8.513744802485235e-07,7.023208041800899e-07
1825,7.563875641380946e-07,5.256849640034034e-07
1826,6.861419947767899e-07,6.570756312385129e-07
1827,8.43380490778145e-07,5.733143950692465e-07
1828,9.438297752240032e-07,7.585493193573711e-07
1829,7.672992339280427e-07,7.004284583445042e-07
1830,8.485147304782004e-07,6.710885500638142e-07
1831,8.528389514594892e-07,1.0118693332117346e-06
1832,8.077391875360718e-07,9.457448797434154e-07
1833,9.035230021936513e-07,7.679945852601122e-07
1834,8.139711269450345e-07,7.364944991650191e-07
1835,8.795871480060669e-07,6.254673650119003e-07
1836,7.910322850079865e-07,6.115882627000246e-07
1837,7.73717474089608e-07,7.716300949311972e-07
1838,6.552024132133738e-07,7.341044430120292e-07
1839,7.893375695289251e-07,8.194008920270335e-07
1840,8.223267968787695e-07,7.356990323614809e-07
1841,7.357948348385435e-07,7.544144580151624e-07
1842,6.433226147350979e-07,6.473475515633709e-07
1843,7.283221563625375e-07,7.743960317441179e-07
1844,6.284402616074658e-07,7.689474088579118e-07
1845,6.104769525450138e-07,7.444023921721055e-07
1846,7.00198352632242e-07,8.190447253753064e-07
1847,6.385576654110992e-07,8.213879780782918e-07
1848,6.017825562310009e-07,7.699277233541579e-07
1849,4.625437028948909e-07,8.429691256139904e-07
1850,7.046977827940282e-07,8.554134893756782e-07
1851,7.726427568854888e-07,8.255281827018734e-07
1852,5.638132591911926e-07,8.346519138058284e-07
1853,8.510002871275901e-07,8.999701464063037e-07
1854,8.687151122899195e-07,7.710366318747219e-07
1855,8.974030833996949e-07,8.098385890775717e-07
1856,8.309388590532762e-07,8.402578330901633e-07
1857,6.414302831103669e-07,7.703021545069078e-07
1858,7.893499187616726e-07,8.627550691642227e-07
1859,6.899894842149479e-07,8.234044557298148e-07
1860,6.078500476291993e-07,8.417441215158306e-07
1861,7.389915452904461e-07,9.210276878945933e-07
1862,5.670072802388404e-07,7.224259821470014e-07
1863,6.083448020888227e-07,7.816581479858087e-07
1864,5.643395013521513e-07,7.94965920647428e-07
1865,5.958865187949414e-07,7.267367472252317e-07
1866,6.262043967808495e-07,7.288688426143608e-07
1867,7.793615388607122e-07,9.618272684974727e-07
1868,7.434510393977689e-07,9.163466607731152e-07
1869,7.745261143554671e-07,8.575459489179593e-07
1870,6.209974685589259e-07,9.438244426007714e-07
1871,6.478918344043905e-07,7.413581712967243e-07
1872,6.361801112575449e-07,1.0153482534747127e-06
1873,6.836016908096099e-07,1.0451563632329908e-06
1874,7.95220472582514e-07,9.159075560205565e-07
1875,7.500921839209695e-07,1.0933838865412326e-06
1876,9.056930352357995e-07,9.715945523680602e-07
1877,7.279528233539168e-07,9.586464919664195e-07
1878,6.341042890767312e-07,9.125063016313106e-07
1879,6.005466737235565e-07,7.874920289197007e-07
1880,6.706649493537498e-07,7.938875832280701e-07
1881,7.941686206436316e-07,8.1020536057963e-07
1882,6.801803849043608e-07,8.325886540205829e-07
1883,6.496280633427887e-07,9.636991826766916e-07
1884,6.8327566182802e-07,9.57906255649732e-07
1885,5.833300065205549e-07,8.791846823896776e-07
1886,6.33730138588362e-07,8.834791813683296e-07
1887,6.509337779903035e-07,8.76181690756539e-07
1888,6.46742691401414e-07,1.0170345987603469e-06
1889,6.722491505684047e-07,9.109508951610223e-07
1890,5.767860358218968e-07,9.78569886456171e-07
1891,6.22123863536217e-07,1.0893541926293437e-06
1892,5.3595782389948e-07,1.0073499581153555e-06
1893,6.324693870851661e-07,9.995110339389157e-07
1894,5.583164011113695e-07,8.311730113064186e-07
