year,on_PRON emplit_VERB,on_PRON remplit_VERB
1800,1.9808236828566805e-07,2.2449334835528134e-06
1801,2.404994425830864e-07,3.5051007216679864e-06
1802,1.2308120744819462e-07,2.101331858739286e-06
1803,1.638284903293652e-07,2.291648627306131e-06
1804,2.125791809248767e-07,2.395223532403179e-06
1805,1.1655798282106389e-07,2.6182902956861653e-06
1806,6.339672165012189e-08,2.164133547921665e-06
1807,1.3380689267705748e-07,2.556565675604361e-06
1808,6.118399653587403e-08,1.534132138658606e-06
1809,1.7620438086396462e-07,2.7808664526673965e-06
1810,8.658468964028998e-08,2.4267114895337727e-06
1811,1.4290337801980968e-07,2.364173383284651e-06
1812,7.601543217106155e-07,3.221987583401642e-06
1813,2.041776525629757e-07,3.7010795495007187e-06
1814,1.0069366851439554e-07,2.913822925165732e-06
1815,2.6972235112054932e-08,1.4699867847411952e-06
1816,1.5991466995046721e-07,2.658291748502961e-06
1817,4.981994905506326e-08,1.9741154915209336e-06
1818,6.55664740278894e-08,1.5569058291475812e-06
1819,8.073819124376769e-08,1.5764649390348495e-06
1820,4.2719332071783356e-08,1.069169954348581e-06
1821,4.43766960955827e-08,1.493029344601382e-06
1822,1.4938167680611514e-07,1.334409489572863e-06
1823,1.502168416323002e-07,1.7877780749131489e-06
1824,1.7768547877494711e-07,2.0581200033120695e-06
1825,1.8139213153745004e-07,1.589382463862421e-06
1826,1.3388136110847881e-07,1.467410157829363e-06
1827,1.4839809026057083e-07,2.0453128399822162e-06
1828,2.2747306616111018e-07,2.1371461684793758e-06
1829,1.903245099299511e-07,2.131291523710388e-06
1830,9.288783786587373e-08,1.9819551653199596e-06
1831,2.1204040834277293e-07,1.8756221038529475e-06
1832,1.5694764243789905e-07,2.128264156908699e-06
1833,2.3630602186131e-07,1.7514446426503127e-06
1834,1.0921400850349983e-07,1.773560882156744e-06
1835,1.3008511245971022e-07,1.6873249535365176e-06
1836,1.438240531115298e-07,1.5793762884186435e-06
1837,1.3359150230485284e-07,1.701204269011214e-06
1838,8.58454018981547e-08,1.5004008560026705e-06
1839,2.0065534300783838e-07,1.7143096897598298e-06
1840,8.089504710540041e-08,1.4102490979439608e-06
1841,1.0593905130917847e-07,1.2565013207677111e-06
1842,7.043678351692506e-08,1.2403581877151737e-06
1843,1.8370493037878077e-07,1.3928496684911806e-06
1844,1.2074834998543338e-07,1.545578896866573e-06
1845,9.374782727888942e-08,1.4112396513610292e-06
1846,1.4050803187615202e-07,1.2429106277522806e-06
1847,6.633665172728342e-08,1.6530230766420573e-06
1848,6.033916122305527e-08,1.0933456167094846e-06
1849,8.295620901321854e-08,1.364168724649062e-06
1850,8.689914743342797e-08,1.6395425177506695e-06
