year,un_DET an_NOUN,un_DET rang_NOUN
1800,2.065401696427216e-05,7.791240022925194e-06
1801,1.8870872679599415e-05,8.343663466803264e-06
1802,2.064631223674951e-05,6.449455213441979e-06
1803,1.965746980658878e-05,7.910575732239522e-06
1804,2.160644874038553e-05,8.70833082444733e-06
1805,1.9544784152003558e-05,7.803699190844782e-06
1806,2.088921922904774e-05,7.656594789295923e-06
1807,2.2809804022472235e-05,6.4654350353521295e-06
1808,2.2792173126617854e-05,9.29090310819447e-06
1809,2.104286875237449e-05,8.028594493225683e-06
1810,2.2191421578554582e-05,6.894013495184481e-06
1811,2.3202996260351938e-05,7.0549140218645334e-06
1812,1.9139885921504174e-05,8.500393050780986e-06
1813,2.1648583356181916e-05,9.009698260342702e-06
1814,1.9182143887519487e-05,8.335548045579344e-06
1815,1.9614209008977923e-05,7.46591467759572e-06
1816,1.8413362852243154e-05,7.991097845660988e-06
1817,1.8037934694348223e-05,8.106640052574221e-06
1818,2.2023183362307464e-05,7.424509476550156e-06
1819,2.257356914014963e-05,7.255051059473772e-06
1820,2.1815338527630956e-05,6.916971869941335e-06
1821,2.1181491547395126e-05,7.321169050555909e-06
1822,1.979156860443254e-05,7.569340141344583e-06
1823,2.0159692155630182e-05,7.463404926966177e-06
1824,1.9963090494456992e-05,7.2909992923086975e-06
1825,2.186831864037231e-05,8.008550139493309e-06
1826,2.178390661811136e-05,7.34233572075027e-06
1827,2.2704908076320862e-05,7.799656486895401e-06
1828,2.097338466455767e-05,7.203007953648921e-06
1829,2.0859394453509594e-05,7.576115876872791e-06
1830,2.163869237392646e-05,8.09689754532883e-06
1831,2.1741936109265225e-05,7.12362225385732e-06
1832,2.361114900395478e-05,7.51860397940618e-06
1833,2.2751404912924045e-05,8.208158760680817e-06
1834,2.3242048655447434e-05,6.990630026848521e-06
1835,2.2531194360908557e-05,6.943670996406581e-06
1836,2.33613275213429e-05,6.777876478736289e-06
1837,2.430878402037706e-05,6.493799446616322e-06
1838,2.4272787300105847e-05,6.389170266629662e-06
1839,2.1895203417443554e-05,6.634909823333146e-06
1840,2.3132797764446877e-05,6.874804967083037e-06
1841,2.3125531356527063e-05,6.545749329234241e-06
1842,2.389282769854617e-05,5.863694696017774e-06
1843,2.350182637655962e-05,6.405454314517556e-06
1844,2.482750744547957e-05,6.193841272761347e-06
1845,2.3381713617709465e-05,5.912809683650266e-06
1846,2.4084248366307293e-05,6.048870545782847e-06
1847,2.4692335387044295e-05,5.5048635658749845e-06
1848,2.4372999632760184e-05,5.399148449214408e-06
1849,2.701523294490471e-05,5.3075214054842945e-06
1850,2.3052035430737305e-05,5.462426088342909e-06
1851,2.4945139216470125e-05,5.552966740651755e-06
1852,2.4500484073541884e-05,5.566516392718768e-06
1853,2.3782621269674564e-05,5.987458735035034e-06
1854,2.3131617240323976e-05,6.386510904121678e-06
1855,2.4107293256747653e-05,6.124736046331236e-06
1856,2.357847222356213e-05,6.191400643729139e-06
1857,2.367824788507278e-05,6.138986009318614e-06
1858,2.352292119667254e-05,5.935539775236975e-06
1859,2.2499768192574265e-05,6.699263394693844e-06
1860,2.318297811143566e-05,5.5200839597091544e-06
1861,2.3103035232452385e-05,5.354033419280313e-06
1862,2.4454505023641104e-05,5.403511750046164e-06
1863,2.4611993467260618e-05,5.313277597451815e-06
1864,2.474175516908872e-05,5.314956069923937e-06
1865,2.437862940496416e-05,5.2406003305804916e-06
1866,2.334715657070774e-05,5.019366199121578e-06
1867,2.4310645130753983e-05,4.680051461036783e-06
1868,2.4710238449188182e-05,4.659783371607773e-06
1869,2.4774581220299297e-05,4.869845270150108e-06
1870,2.4546889108023606e-05,5.154336577106733e-06
1871,2.594647332898603e-05,3.910717623512028e-06
1872,2.82942912690487e-05,4.371016984805465e-06
1873,2.694480235732044e-05,4.791198080056347e-06
1874,2.7689326543622883e-05,4.493503638514085e-06
1875,2.7299123075863463e-05,4.371246632217662e-06
1876,2.7892685466213152e-05,4.759423063660506e-06
1877,2.7294210667605512e-05,4.759215698868502e-06
1878,2.6071350475831423e-05,4.3565987652982585e-06
1879,2.6424664724800095e-05,4.2502574615355115e-06
1880,2.8336716695775976e-05,4.912219537800411e-06
1881,2.9624092121594003e-05,4.508423444349319e-06
1882,2.9720954216827522e-05,4.747286311612697e-06
1883,2.915806226155837e-05,4.292726771382149e-06
1884,2.921515010712028e-05,4.681923655880382e-06
1885,2.9382429829638568e-05,4.515812179306522e-06
1886,2.9132226245565107e-05,4.157321654929547e-06
1887,2.9009317131567514e-05,3.791999461100204e-06
1888,2.9781233479297953e-05,3.945764547097497e-06
1889,2.880459328480356e-05,3.817347987933317e-06
1890,2.985785295095411e-05,3.7156817143113585e-06
1891,2.969302931887796e-05,3.830906280199997e-06
1892,2.9892654538343777e-05,3.6438862025534036e-06
1893,3.0445980200966005e-05,4.23760639023385e-06
1894,2.9272540132296854e-05,3.5786440548690734e-06
1895,2.9982932119310135e-05,3.420980419832631e-06
1896,3.035790450667264e-05,3.4715810670604696e-06
1897,3.0130519007798284e-05,3.3975566111621447e-06
1898,3.161209656354913e-05,3.3978421924985014e-06
1899,3.211246598766593e-05,3.334235316287959e-06
1900,3.072947743021359e-05,3.2656914754625177e-06
1901,3.1280170787795214e-05,3.0732476261619013e-06
1902,2.9502948791559902e-05,3.126377805529046e-06
1903,3.097296303167241e-05,3.129427568637766e-06
1904,3.318723611300811e-05,3.2903456030908274e-06
1905,3.277701262049959e-05,3.1836723337619333e-06
1906,3.453342469583731e-05,3.0587320907216053e-06
1907,3.137237240480317e-05,3.0183348371792817e-06
1908,3.263274311393616e-05,2.8633398869715165e-06
1909,3.1107511176742264e-05,3.1493129881710047e-06
1910,3.1720206834506826e-05,2.915234290412627e-06
1911,3.060332437598845e-05,2.9187572181399446e-06
1912,3.375548612893908e-05,3.2027521683630766e-06
1913,3.281596059423464e-05,3.0508099371218123e-06
1914,3.254952207498718e-05,2.978711563628167e-06
1915,3.528573711264471e-05,2.3714674171060324e-06
1916,3.7198051359155215e-05,2.6589657409203937e-06
1917,3.3523263709867024e-05,2.863333520508604e-06
1918,3.312326248305908e-05,2.826797299348982e-06
1919,3.3388580504833953e-05,2.7025034796679392e-06
1920,3.45490661857184e-05,2.61999207396002e-06
1921,3.5154208262611064e-05,2.488404788891785e-06
1922,3.6175492368784035e-05,2.5638325951149454e-06
1923,3.416636832298536e-05,2.885414687625598e-06
1924,3.598696980589011e-05,2.968941089420696e-06
1925,3.3587336702112225e-05,2.6032687401311705e-06
1926,3.462659469732898e-05,2.554694901846233e-06
1927,3.3354021525155986e-05,2.8976835437788395e-06
1928,3.851947030852898e-05,2.664552766873385e-06
1929,3.498310411487182e-05,2.6291359063179698e-06
1930,3.4511691865191096e-05,2.762447820714442e-06
1931,3.524483372530085e-05,2.725880221987609e-06
1932,3.519326310197357e-05,2.5787790036702063e-06
1933,3.501763762869814e-05,2.343456344533479e-06
1934,3.4222988006149535e-05,2.5460858523729257e-06
1935,3.49174683833553e-05,2.6114796582987765e-06
1936,3.470093247415207e-05,2.4261553335236385e-06
1937,3.752027441805694e-05,2.299138259331812e-06
1938,3.602903279897873e-05,2.3454072106687818e-06
1939,3.392985172467888e-05,2.6749294192995876e-06
1940,3.413924628148379e-05,2.5915701371559408e-06
1941,3.2215650207945146e-05,2.8186850613565184e-06
1942,2.9865746682844474e-05,2.5062588520086138e-06
