year,aucun_DET achat_NOUN,aucun_DET rachat_NOUN
1800,9.432493897065797e-09,3.144164484325529e-09
1801,4.0480102825313224e-08,0.0
1802,4.0281122437590966e-08,0.0
1803,2.145373123596528e-08,1.755305234496518e-08
1804,4.943701892301533e-09,2.4718509461507665e-09
1805,3.1271653710973624e-08,5.685755422035754e-09
1806,2.305335300434308e-08,0.0
1807,5.124519120158766e-08,3.4163463169534225e-08
1808,4.5321478570059526e-08,9.064295980465431e-09
1809,7.454800510231507e-08,4.518061036407062e-09
1810,3.510190182964834e-08,4.680253518074551e-09
1811,2.5070768572277302e-08,0.0
1812,1.5203086700665835e-07,8.00162425207418e-09
1813,1.4378708002027452e-08,2.8757416004054903e-08
1814,5.978686612451156e-08,0.0
1815,4.315557688983063e-08,0.0
1816,4.6352077731626196e-09,1.1588019432906549e-08
1817,3.113746771532533e-08,3.113746771532533e-08
1818,2.1458118837358597e-08,1.3113295338484932e-08
1819,4.6579724966022695e-08,0.0
1820,4.50926265216367e-08,2.3732962262101864e-09
1821,1.8736827200882544e-08,1.972297702934611e-08
1822,3.60922172149003e-08,1.0025615893027862e-09
1823,4.4472091786929013e-08,1.9765373782121287e-09
1824,2.947389532437228e-08,8.421112696055388e-09
1825,2.4655239627691117e-08,6.163810351011989e-09
1826,9.600702810530493e-08,2.025836387531399e-08
1827,2.8573547083965423e-08,2.027800150017356e-08
1828,1.7427371545863934e-08,9.172301251858528e-10
1829,2.4004892296147773e-08,1.2002446148073886e-08
1830,3.235419043789989e-08,6.262101504006523e-09
1831,9.354723218280014e-09,2.0268567268999504e-08
1832,4.194290381676069e-08,4.464889968858188e-08
1833,3.01174338801502e-08,2.20088942626262e-08
1834,4.29388435918554e-08,2.42697808516823e-08
1835,1.739510224751939e-08,5.294161553592858e-09
1836,2.8227150394855016e-08,2.688300027031687e-09
1837,2.226525075421648e-08,7.653680356156656e-09
1838,1.3255540221024376e-08,2.2723781967215473e-08
1839,3.9152260211672285e-08,1.11863602825224e-08
1840,5.03205419555286e-08,9.554533164646273e-09
1841,4.8154115805942865e-08,3.852329122366882e-09
1842,3.219967181777861e-08,1.475818312002275e-08
1843,2.953455530141369e-08,3.5441467538532834e-09
1844,5.982531758874643e-08,3.293136763282689e-09
1845,3.4039389529283426e-08,8.928364714222425e-09
1846,2.0490753982471688e-08,7.025401593807601e-09
1847,3.3437987490003707e-08,2.6966118227278457e-09
1848,6.83843848214849e-08,1.609044275596716e-08
1849,1.1731181359664333e-08,4.1897072478036534e-09
1850,2.5119284430275002e-08,6.788996032014438e-09
1851,3.7406744590740004e-08,1.4188765717904062e-08
1852,9.375185072713066e-08,3.906327261660181e-09
1853,2.030456869306363e-08,1.0152284346531815e-08
1854,3.221311928314208e-08,3.117398783558656e-09
1855,3.343370380548549e-08,5.306937111981824e-09
1856,2.0708757819676293e-08,8.28350277259915e-09
1857,2.0990488902583593e-08,9.763018171682347e-10
1858,3.425573069648635e-08,5.3830437884982985e-09
1859,2.5460867192350634e-08,1.018434669930457e-08
1860,1.6020144405493042e-08,8.238931314963338e-09
1861,1.697746943030154e-08,2.2165028923382124e-08
1862,4.6083460825130373e-08,1.1746764450037972e-08
1863,3.4962344408473456e-08,1.9978483312144135e-09
1864,4.650886253898534e-08,8.63051052846231e-09
1865,3.294790928975999e-08,1.882737743486018e-09
1866,4.038458750743601e-08,1.0217787504984699e-08
1867,3.4454963326879806e-08,9.7056229719783e-10
1868,3.556709327057206e-08,7.409810987013543e-09
1869,2.5394298885927924e-08,9.278686263769487e-09
1870,2.981705282678604e-08,5.734048791339319e-09
1871,3.611200227737754e-08,1.0621177271019633e-09
1872,2.963196266136947e-08,0.0
1873,4.190203073406451e-08,5.986004469882289e-10
1874,3.3457811632331413e-08,2.9873046258899194e-09
1875,3.146839827605774e-08,1.2015206607429718e-08
1876,3.6880689391338706e-08,3.627608879952504e-09
1877,3.64904160221613e-08,6.184816214727107e-09
1878,2.8987626410348355e-08,3.01954443671093e-08
1879,3.8488748188569843e-08,7.94212295929242e-09
1880,1.6686400705623328e-08,1.5402831010646878e-08
1881,2.7890030507293773e-08,6.972507571312292e-10
1882,1.8635078813389327e-08,1.5972924316542958e-08
1883,2.211768601600994e-08,7.58320695126713e-09
1884,1.8484750619052193e-08,1.3203393933736152e-09
1885,2.836079660006874e-08,3.86738152613475e-09
1886,2.5813854942491332e-08,3.872078213618124e-09
1887,3.6561979221971797e-08,0.0
1888,3.677556503767221e-08,1.268122984399156e-08
1889,1.0650732740202784e-08,1.0024218788373673e-08
1890,4.456982805045584e-08,8.520702365899524e-09
1891,3.8882741248968955e-08,5.099376032546843e-09
1892,4.826754373965514e-08,1.1283322720601063e-08
1893,4.002970754868329e-08,1.2932674486876294e-08
1894,3.4028310835765296e-08,9.452308713520097e-09
1895,2.4074457982692365e-08,6.6204757231957956e-09
1896,2.8305739974143762e-08,7.076434549446731e-09
1897,2.7968225513319567e-08,4.078699600285063e-09
1898,4.0174321203068075e-08,2.26334195829736e-09
1899,2.5979618456517528e-08,2.7637891975018647e-09
1900,3.218452970799035e-08,2.07642125715779e-09
1901,5.197527075395669e-08,2.794369458047896e-09
1902,4.910283735171106e-08,9.820567692386817e-10
1903,3.7801542340787364e-08,0.0
1904,3.7622376325430196e-08,7.524475265086039e-09
1905,5.057544039122064e-08,3.096455536422127e-09
1906,3.446603535905979e-08,9.259532418592897e-09
1907,4.988557955609707e-08,7.71426478252124e-09
1908,4.272908404878706e-08,7.858222739187681e-09
1909,3.24558033781841e-08,3.850688656825696e-09
1910,5.825124294034367e-08,8.550641084070776e-09
1911,5.4267814686426163e-08,2.128149656499545e-09
1912,4.063348590932492e-08,6.251305251225858e-09
1913,3.606032938918702e-08,7.954484682048957e-09
1914,3.817144045292764e-08,3.348371857558874e-09
1915,2.8273829055791566e-08,4.712304768617059e-09
1916,6.043104239239483e-08,2.197492410260793e-09
1917,6.141197861353476e-08,1.0966424435210342e-09
1918,5.054005569604669e-08,3.44591288836682e-09
1919,3.867296216597538e-08,5.524709134618888e-09
1920,3.7861159540852896e-08,9.086678076641874e-09
1921,4.9980132255100784e-08,2.2718242842501013e-09
1922,4.795658004042025e-08,1.1066902949607993e-08
1923,5.2018147123078506e-08,6.369568872344189e-09
1924,3.3518224196171786e-08,2.578324886925998e-09
1925,4.5092528377921326e-08,3.299453377181294e-09
1926,5.3501463703753416e-08,6.687683296036084e-09
1927,4.0137210444157745e-08,4.4596899506643695e-09
1928,2.0566874203709062e-08,2.0566874425753667e-08
1929,3.3421218015305953e-08,6.684243825105796e-09
1930,3.2561171536826805e-08,3.1510810627466412e-09
1931,5.360517540964338e-08,1.1405356659111021e-09
1932,6.904507765526091e-08,5.4797684168050864e-09
1933,3.9000251916831985e-08,8.02946331646126e-09
1934,4.4331848414458364e-08,8.38710612072191e-09
1935,3.2314366293917374e-08,9.574627313213568e-09
1936,3.758661470953939e-08,3.6374143697059935e-09
1937,4.658713770311351e-08,1.0072894296442314e-08
1938,4.2785206488815675e-08,3.889564337278273e-09
1939,6.270560959364957e-08,4.588215141154706e-09
1940,4.817987608873864e-08,7.607348528892999e-09
