year,bien_ADV accompagner_VERB,bien_ADV raccompagner_VERB
1800,4.087413785214267e-08,0.0
1801,1.6668277424969347e-08,0.0
1802,3.8043282302169246e-08,2.2378401354217203e-09
1803,1.755305278905439e-08,1.950339223455444e-09
1804,7.4155526164076946e-09,0.0
1805,1.4214388555089386e-08,0.0
1806,2.881669125542885e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,3.6257183921861724e-08,0.0
1809,4.518061036407062e-09,0.0
1810,1.8721014072298203e-08,0.0
1811,4.512738271955641e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,9.489947405683097e-08,0.0
1814,7.866692897096073e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,3.244645441213834e-08,0.0
1817,2.9580593974287694e-08,0.0
1818,9.536941902865692e-09,0.0
1819,3.519356894798875e-08,0.0
1820,5.577246042776096e-08,0.0
1821,2.465372084259343e-08,9.86148829262845e-10
1822,3.909990198280866e-08,0.0
1823,4.1507284054276283e-08,0.0
1824,3.536867154707579e-08,0.0
1825,5.811592274085342e-08,0.0
1826,9.688783109140786e-09,0.0
1827,2.027800150017356e-08,0.0
1828,2.568244400480424e-08,0.0
1829,7.030004667285539e-08,0.0
1830,3.652892388572582e-08,0.0
1831,1.2472964883158966e-08,0.0
1832,5.4119875803060324e-08,0.0
1833,3.0117434435261714e-08,0.0
1834,8.401078055442213e-09,0.0
1835,3.857174846189082e-08,1.5126175867408165e-09
1836,3.49478987970997e-08,0.0
1837,4.0355768504696243e-08,6.957890930081589e-10
1838,3.3454458758797045e-08,0.0
1839,3.0063343814390464e-08,0.0
1840,1.8472096741106725e-08,6.369688665408546e-10
1841,4.494383976094696e-09,0.0
1842,2.0124794275488966e-08,0.0
1843,3.603215859016018e-08,0.0
1844,2.140538946093784e-08,0.0
1845,2.17628883802945e-08,0.0
1846,1.9319854160926297e-08,0.0
1847,8.629157832729106e-09,0.0
1848,1.528592186161859e-08,0.0
1849,1.9272654583346593e-08,0.0
1850,3.59816780814981e-08,0.0
1851,1.805842941848823e-08,0.0
1852,2.213585426069642e-08,0.0
1853,2.6276499198729653e-08,0.0
1854,1.9743524148907454e-08,0.0
1855,2.7065379271107304e-08,0.0
1856,2.019103817474388e-08,2.0708756931497874e-09
1857,2.050233771644372e-08,4.881509085841174e-10
1858,2.838332058274773e-08,0.0
1859,2.800695320104296e-08,0.0
1860,9.15436793036406e-09,4.577183909670879e-10
1861,2.2165028923382124e-08,4.715963730639317e-10
1862,2.84633134839396e-08,0.0
1863,2.497310380711326e-08,0.0
1864,2.7809422320501653e-08,4.794727948009836e-10
1865,2.9182434246877165e-08,0.0
1866,2.5301186923343266e-08,0.0
1867,1.0190904120577216e-08,4.85281148598915e-10
1868,2.1241458370013788e-08,0.0
1869,1.2697149998075474e-08,0.0
1870,1.4335121534259088e-08,0.0
1871,1.3807530230280918e-08,0.0
1872,1.5723081503438152e-08,0.0
1873,1.7958013742713774e-08,0.0
1874,1.9716210886144836e-08,0.0
1875,2.2886109007913547e-08,0.0
1876,2.1765654167893445e-08,0.0
1877,1.2988113695655557e-08,0.0
1878,2.5968081018845623e-08,0.0
1879,2.443730195977878e-08,0.0
1880,1.9895322722618403e-08,1.9253538763308597e-09
1881,1.673401861523871e-08,0.0
1882,8.652000893505374e-09,0.0
1883,1.76941486462745e-08,0.0
1884,1.3203393933736152e-08,0.0
1885,8.379326565943757e-09,0.0
1886,3.1621972595985426e-08,0.0
1887,3.7867764035581786e-08,0.0
1888,2.282621380800265e-08,0.0
1889,1.566284169030041e-08,0.0
1890,1.7696843102044113e-08,0.0
1891,1.3385862196457765e-08,0.0
1892,1.5044429702015805e-08,0.0
1893,1.3548516086814288e-08,0.0
1894,2.457600345451283e-08,0.0
1895,2.5278181325916194e-08,0.0
1896,1.592197840238896e-08,0.0
1897,4.603103676004139e-08,0.0
1898,2.772593887812036e-08,0.0
1899,2.266307141951529e-08,5.527578395003729e-10
1900,2.3359739032002835e-08,0.0
1901,2.6267072128494107e-08,5.588738916095792e-10
1902,2.7006560543441083e-08,0.0
1903,8.640352433531007e-09,0.0
1904,1.0749250378694342e-08,0.0
1905,2.115911179600971e-08,0.0
1906,3.395161840558103e-08,0.0
