year,ton_DET aide_NOUN
1800,3.144164395507687e-08
1801,1.3334621939975477e-07
1802,2.2378401354217203e-08
1803,1.950339267864365e-08
1804,4.2021465418429216e-08
1805,7.675770063997334e-08
1806,4.3225035994964855e-08
1807,2.562259560079383e-08
1808,5.891792298484688e-08
1809,2.0331274441787173e-08
1810,4.914266327205041e-08
1811,7.521229861140455e-09
1812,5.067695596494559e-08
1813,2.8757416448144113e-09
1814,2.2026739543434815e-08
1815,3.776112933451259e-08
1816,2.3176038865813098e-08
1817,1.1676550570882682e-07
1818,3.4571415286066554e-08
1819,2.2772310259711048e-08
1820,1.2222475476164618e-07
1821,9.072569184809254e-08
1822,8.221005032282847e-08
1823,4.15072847204101e-08
1824,7.663212642228245e-08
1825,7.660735690251386e-08
1826,4.9324713979892465e-08
1827,7.742509211539073e-08
1828,4.677873732816806e-08
1829,3.5150023336427694e-08
1830,1.0645572245948642e-07
1831,5.76874619184764e-08
1832,9.606278439378002e-08
1833,4.980960410794211e-08
1834,7.094243414940138e-08
1835,6.806779140333674e-08
1836,1.0887615076171642e-07
1837,1.5168201628057432e-07
1838,8.458297173774554e-08
1839,9.857979677008188e-08
1840,7.643626531717018e-08
1841,7.512041833024341e-08
1842,1.1202802596699257e-07
1843,1.27589274256934e-07
1844,5.817874892954933e-08
1845,5.859239493588575e-08
1846,6.732676638421253e-08
1847,7.065123242000482e-08
1848,5.068489628001771e-08
1849,4.022119171054328e-08
1850,6.245876704724651e-08
1851,5.804495017969202e-08
1852,9.310080018032352e-08
1853,8.420423824873069e-08
1854,8.676759932768618e-08
1855,1.0560805208115198e-07
1856,9.008309120872582e-08
1857,8.493826042510477e-08
1858,1.0129909355782729e-07
1859,1.0235268632641237e-07
1860,1.0390207449972877e-07
1861,1.1365472429858414e-07
1862,1.5225613481106848e-07
1863,9.240048548520008e-08
1864,1.222655569010911e-07
1865,1.1861247628530691e-07
1866,1.3331779524783371e-07
1867,1.1695275503598168e-07
1868,6.421836218351018e-08
1869,8.106642057637004e-08
1870,8.257029993075093e-08
1871,7.009977309735405e-08
1872,7.861540751719076e-08
1873,7.961386216948085e-08
1874,8.424198938428162e-08
1875,1.0127102711976477e-07
1876,9.492243435715864e-08
1877,9.462768701951063e-08
1878,4.1065803202400275e-08
1879,1.1118972187418308e-07
1880,6.225310755780811e-08
1881,5.717456375009533e-08
1882,6.655385220710741e-08
1883,7.583206906858209e-08
1884,8.846274024421064e-08
1885,5.4787903991382336e-08
1886,4.388355584472592e-08
1887,4.374379614091595e-08
1888,4.6920547447371064e-08
1889,5.5133202891965993e-08
1890,4.7191583973926754e-08
1891,5.8005401371019616e-08
1892,5.328235630486233e-08
1893,7.266931600913296e-08
1894,5.293292959507312e-08
1895,5.717683748684976e-08
1896,6.781583511417111e-08
1897,4.894439420422003e-08
1898,5.26226993091683e-08
1899,5.859233098703953e-08
1900,4.256663699298002e-08
1901,4.52687843321975e-08
1902,4.3210499178769624e-08
1903,5.832238048064653e-08
1904,5.482117870769798e-08
1905,4.8511134220774466e-08
1906,4.0639058340730116e-08
1907,7.302837568001763e-08
1908,7.367083498799332e-08
1909,5.886052534265218e-08
1910,4.275320530933158e-08
1911,5.2671705219609066e-08
1912,5.313609585666512e-08
1913,6.151468234794066e-08
1914,6.161004506566314e-08
1915,6.479419312199752e-08
1916,7.031975712834537e-08
1917,3.61891991929042e-08
1918,3.790504266021344e-08
1919,5.616787351891972e-08
1920,5.7548959375708364e-08
1921,5.376650513699843e-08
1922,5.6810101511928224e-08
1923,7.749642483290131e-08
1924,1.0442215969685975e-07
1925,6.928851803422731e-08
1926,3.789687008648457e-08
1927,4.4596898618465275e-08
1928,5.827280868953011e-08
1929,7.129860080112849e-08
1930,3.676261250973312e-08
1931,6.158892595919951e-08
1932,6.466126700743757e-08
1933,6.76769036367375e-08
1934,9.106000931069502e-08
1935,5.864459140525469e-08
1936,4.849885826274658e-08
1937,5.288269733227935e-08
1938,4.797129449229942e-08
1939,4.5882153187903896e-08
1940,5.0715659227762444e-08
1941,8.559357755899555e-08
1942,7.58552971547033e-08
1943,6.387117701400769e-08
1944,7.711646787811333e-08
1945,1.067466994797428e-07
1946,7.238973864787113e-08
1947,9.536696898848618e-08
1948,7.392883816237372e-08
1949,9.620667795751103e-08
1950,7.019338710279044e-08
1951,9.91510368253401e-08
1952,6.959570642006696e-08
1953,9.480967932962159e-08
1954,8.59983206868975e-08
1955,5.16208449319322e-08
1956,1.0552581608536116e-07
1957,9.630191333265259e-08
1958,7.775908583695923e-08
1959,6.510627947875491e-08
1960,1.0727291366308123e-07
1961,1.0422238716500942e-07
1962,7.229830112365221e-08
1963,9.893061736487851e-08
1964,9.004273215929004e-08
1965,6.511731953651179e-08
1966,8.419393282554921e-08
1967,9.219727281628565e-08
1968,9.252316801600102e-08
1969,7.039724891910737e-08
1970,6.668151542044143e-08
1971,8.735275625060268e-08
1972,7.387411637971297e-08
1973,6.17478856934639e-08
1974,6.806941771353436e-08
1975,7.482039166006871e-08
1976,6.970502924863453e-08
1977,5.406639136396052e-08
1978,7.425739434463452e-08
1979,8.134243079105374e-08
1980,8.300319742637896e-08
1981,1.0626923052647896e-07
1982,9.99407891999482e-08
1983,7.767838550165607e-08
1984,9.278413681812481e-08
1985,1.100847142332384e-07
1986,1.0070735401157549e-07
1987,1.0999470489991836e-07
1988,7.615623309753516e-08
1989,9.220044971947061e-08
1990,1.1115247988691124e-07
1991,1.0023105811995947e-07
1992,1.0248496407072594e-07
1993,8.973515730481552e-08
1994,1.0655351445620909e-07
1995,8.350574520754606e-08
1996,8.754471192418123e-08
