year,en_ADP oie_NOUN,en_ADP rois_NOUN
1800,3.144164484325529e-09,1.0690159246706799e-07
1801,1.666827853519237e-08,1.1429676494145724e-07
1802,2.0140561218795483e-08,4.2518962573012686e-08
1803,9.751696339321825e-09,1.2092103318650516e-07
1804,1.2359254952798437e-08,5.4380719483049234e-08
1805,3.695740957709859e-08,1.0234359804073279e-07
1806,1.4408345627714425e-08,8.645007554264339e-08
1807,0.0,1.565825251681474e-07
1808,1.0877154998922833e-07,1.9035021958657694e-07
1809,0.0,9.036122095018584e-08
1810,2.3401266702194334e-08,1.0998595856293036e-07
1811,1.504245972228091e-08,1.2033968488367464e-07
1812,2.6672082320544632e-09,5.601137242905452e-08
1813,5.751483289628823e-09,1.380355929558874e-07
1814,1.1642705288750221e-07,1.0698701968792079e-07
1815,0.0,9.979727266795635e-08
1816,2.3176038865813098e-09,8.806894413737609e-08
1817,4.670620334934483e-09,7.472992469281792e-08
1818,4.768470951432846e-09,4.530047559292427e-08
1819,4.140420006848444e-09,9.315944993204539e-08
1820,2.3732962262101864e-09,8.899860581834673e-08
1821,1.577838126820552e-08,9.762873709462383e-08
1822,1.0025615893027862e-09,6.015369535816717e-08
1823,1.9765373782121287e-09,8.202630330522709e-08
1824,1.9368560089105813e-08,1.2631669221718766e-07
1825,7.924898959288385e-09,8.277116592125822e-08
1826,3.5231937367541377e-09,8.543744711708712e-08
1827,1.8434546111834038e-09,7.465991264110627e-08
1828,7.337841001486822e-09,9.264023970168012e-08
1829,9.430493719264632e-09,6.60134573116089e-08
1830,2.0873671680021744e-09,7.097048504434156e-08
1831,1.5591206103948707e-09,5.456922025359745e-08
1832,2.0294953273491956e-08,1.0688675466941078e-07
1833,2.3167257001688313e-09,4.6334513115198206e-08
1834,3.733812370398937e-09,5.320682450182801e-08
1835,7.563087933704082e-09,6.504255622985511e-08
1836,2.016224964762614e-09,6.451919798422523e-08
1837,1.3915781860163179e-09,7.375364541317708e-08
1838,4.418513332993257e-09,8.584539856748563e-08
1839,2.0974426639952526e-09,4.264799713382672e-08
1840,5.732719632334238e-09,4.649872797912735e-08
1841,2.3113974734201292e-08,7.833069437523932e-08
1842,1.341653010911159e-09,6.305769151282448e-08
1843,1.7720733214154905e-09,7.797122880681684e-08
1844,3.2931368743049916e-09,6.586273693098832e-08
1845,3.9061593959388574e-09,8.314539395870568e-08
1846,2.9272506640865004e-09,8.664662076718344e-08
1847,7.011190739092399e-09,8.305564414001765e-08
1848,4.82713291560799e-09,7.964769310753184e-08
1849,1.9272654583346593e-08,5.1952373070207614e-08
