year,bien_ADV abattre_VERB,bien_ADV rabattre_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,1.904946067554647e-08
1802,0.0,0.0
1803,2.7304748684287006e-08,5.851017448321727e-09
1804,9.887403784603066e-09,1.9774807569206132e-08
1805,2.842877711017877e-09,2.2743021688143017e-08
1806,0.0,1.152667650217154e-08
1807,2.8469551160981155e-09,2.562259560079383e-08
1808,0.0,1.1330369531492579e-08
1809,1.3554183553310395e-08,2.259030518203531e-09
1810,2.3401267590372754e-09,1.6380887757350138e-08
1811,7.521229861140455e-09,2.5070767684098882e-09
1812,1.0668832928217853e-08,1.3336041604361526e-08
1813,1.1502966579257645e-08,5.751483289628823e-09
1814,0.0,2.8320094713762956e-08
1815,1.6183340889597275e-08,2.966945977789237e-08
1816,6.952811659743929e-09,2.0858434979231788e-08
1817,4.3592454090912724e-08,1.0898113522728181e-08
1818,3.5763532135746345e-09,2.1458118837358597e-08
1819,4.140420006848444e-09,6.210630232317271e-09
1820,1.6613073583471305e-08,5.933240565525466e-09
1821,3.94459531705138e-09,2.2681422962023134e-08
1822,3.0076847679083585e-09,1.804610860745015e-08
1823,2.668325471688604e-08,5.929612356680991e-09
1824,0.0,2.189489300974401e-08
1825,1.7610886082763955e-09,2.641632912414593e-09
1826,8.807984341885344e-10,7.927186018719112e-09
1827,4.608636583469661e-09,1.8434546333878643e-08
1828,1.4675682002973645e-08,1.1006761724274838e-08
1829,1.7146351893870815e-08,9.430493719264632e-09
1830,5.218417697960831e-09,8.349468672008697e-09
1831,1.5591206103948707e-09,9.354723218280014e-09
1832,6.764984572527055e-09,1.8941957335982806e-08
1833,3.4750886612755494e-09,1.7375443306377747e-08
1834,8.401078055442213e-09,1.8669062740173104e-08
1835,9.075705520444899e-09,8.31939672707449e-09
1836,1.4113575197427508e-08,1.5457725766054864e-08
1837,1.3915781860163179e-09,1.1828414692161004e-08
1838,4.418513555037862e-09,6.312161904276081e-09
1839,1.7478688718597368e-08,1.2584655095793096e-08
1840,1.592422194107712e-08,1.592422194107712e-08
1841,6.420548537278137e-09,8.988767952189392e-09
1842,6.037438549100216e-09,5.366612043644636e-09
1843,3.5441467538532834e-09,1.8902115428431898e-08
1844,1.6465684371524958e-09,8.232841963717874e-09
1845,5.580227835366713e-09,7.812318791877715e-09
1846,7.025401593807601e-09,1.1123552745573306e-08
1847,5.3932236454556914e-09,1.6179670936367074e-08
1848,1.206783295515379e-08,1.367687652020777e-08
1849,7.54147322368226e-09,6.703531951757213e-09
1850,1.1541293254424545e-08,2.2403686017469226e-08
1851,1.9348316282474798e-09,3.8696632564949596e-09
1852,6.510545436100301e-10,6.510545436100301e-09
1853,4.180352064508952e-09,7.166318205520383e-09
1854,5.195664343204953e-09,1.558699302961486e-08
1855,5.306937111981824e-09,9.021793090369101e-09
1856,8.28350277259915e-09,1.6049286344355096e-08
1857,1.5620829074691756e-08,2.6848299583548396e-08
1858,4.893676130990343e-09,1.6149130033227266e-08
1859,5.601390462572908e-09,1.171199848215565e-08
1860,8.696649622663699e-09,8.696649622663699e-09
1861,2.357981809808507e-09,1.839225838295988e-08
1862,5.873382225018986e-09,2.710791768834042e-08
1863,4.495158911765884e-09,5.9935452156878455e-09
1864,4.315255264231155e-09,8.63051052846231e-09
1865,3.294791106611683e-09,1.553258677233771e-08
1866,4.865612912574591e-10,2.8220554781910323e-08
1867,6.308654931785895e-09,1.261730986357179e-08
1868,2.9639244392143382e-09,2.6181332657415624e-08
1869,4.883519366671862e-09,2.4417595057002472e-08
1870,3.4404292748035914e-09,2.408300403544672e-08
1871,4.6733180880664804e-08,1.274541272522356e-08
1872,6.047339518033823e-09,9.071008832961525e-09
1873,3.591602570907071e-09,7.183205141814142e-09
1874,5.974609140757536e-10,1.7326366119618797e-08
1875,7.437985338754061e-09,7.437985338754061e-09
1876,5.441413541973361e-09,1.0882827083946722e-08
1877,0.0,2.783167118991514e-08
1878,7.850815109122777e-09,5.435179861734696e-09
1879,4.887460214320072e-09,1.7717043832021773e-08
1880,3.8507077526617195e-09,4.492492600149944e-09
1881,1.3945015142624584e-09,6.2752567586699115e-09
1882,7.986462158271479e-09,2.0631693686823382e-08
1883,2.5277355764075082e-09,2.7173157945981075e-08
1884,3.9610181801208455e-09,1.7164412113856997e-08
1885,3.86738152613475e-09,2.3848851782304337e-08
1886,3.2267319927115068e-09,7.744156427236248e-09
1887,0.0,1.3057849024278312e-08
1888,2.53624587998047e-09,1.6485598663962264e-08
1889,7.51816386923565e-09,1.566284169030041e-08
1890,3.2771931834929546e-09,9.176140736144589e-09
1891,6.374220040683554e-10,4.461953917456185e-09
1892,2.5074049503359674e-09,1.7551833764173352e-08
1893,1.847525021858587e-09,9.853466487186324e-09
