year,un_DET appel_NOUN,un_DET rappel_NOUN
1800,1.656974639274722e-06,7.231578535993322e-08
1801,1.943044956931317e-06,8.334139289800646e-08
1802,1.6985206627850857e-06,1.2755688771903806e-07
1803,1.2599190863937793e-06,6.046051659325258e-08
1804,8.824507702342999e-07,4.449331636457998e-08
1805,1.182637131114106e-06,1.1371511021707192e-07
1806,1.8356231858973615e-06,5.76333825108577e-08
1807,3.4704383011785467e-06,3.701041606518629e-08
1808,1.4820123812597785e-06,2.0847880932706175e-07
1809,1.9924649876656986e-06,1.1295152546608733e-07
1810,1.9376250168789966e-06,3.7442028144596406e-08
1811,1.8452085015496777e-06,7.771937760026049e-08
1812,2.2244515900382567e-06,7.734903562095496e-08
1813,2.001516211436183e-06,1.2653262615458516e-07
1814,2.5582485285724488e-06,9.44003133440674e-08
1815,3.471326621706794e-06,1.4565006600797403e-07
1816,2.3454150763768666e-06,1.4369143741532753e-07
1817,2.462973821337755e-06,7.005929991699134e-08
1818,2.2399891754787404e-06,8.464036227451288e-08
1819,2.7440633019182314e-06,1.4802002168412542e-07
1820,3.263282302157222e-06,1.4714436158413946e-07
1821,2.5186240861785336e-06,1.370746929296729e-07
1822,2.3550172727482277e-06,1.2130995230563713e-07
1823,2.7246566816074846e-06,9.190898975219852e-08
1824,2.892652162245213e-06,1.2463246434890607e-07
1825,2.9190044585902797e-06,1.1975402847141936e-07
1826,3.0510857484955523e-06,8.279505436803447e-08
1827,3.602110233202893e-06,1.1152900292188406e-07
1828,3.822097880856745e-06,1.8894940012614825e-07
1829,3.5758716379064026e-06,1.2259641835044022e-07
1830,3.511995181781913e-06,1.1584888004456673e-07
1831,4.3811291305928535e-06,1.4499822320601652e-07
1832,4.491949706419973e-06,2.2865647641978626e-07
1833,4.511823476605059e-06,1.355284480197838e-07
1834,4.074522607311337e-06,1.7455572276503517e-07
1835,3.7391907028450078e-06,1.9361504399739715e-07
1836,3.4900854615216304e-06,1.250059451507468e-07
1837,3.516518049195838e-06,1.551609614125482e-07
1838,3.6358052923901596e-06,1.4139243376121158e-07
1839,4.2277449239236375e-06,2.0135448064451111e-07
1840,4.965809225154771e-06,1.9109066196065783e-07
1841,4.699199294577738e-06,1.7977536526103677e-07
1842,4.478437872990071e-06,2.1533530336625972e-07
1843,4.257110653327345e-06,2.1028603480743868e-07
1844,4.3892024308433975e-06,2.552181102011275e-07
1845,4.7019001883086275e-06,2.1818691964270442e-07
1846,5.73155669769676e-06,2.1310385278638933e-07
1847,5.069630155674076e-06,2.7667236679462803e-07
1848,6.649375791312195e-06,8.42334728190508e-07
1849,7.465220889457669e-06,1.1580351930717825e-06
1850,5.1073618578811875e-06,7.230280978376413e-07
1851,4.946719727172422e-06,4.121191405914715e-07
1852,4.880955813746368e-06,2.2852014947005728e-07
1853,4.220364367313323e-06,2.1319796417174075e-07
1854,4.1009381774870235e-06,2.473136344605109e-07
1855,3.9488917167318505e-06,1.7990516099075649e-07
1856,3.822836440292576e-06,1.6411689607309654e-07
1857,3.8783589033641874e-06,1.8598549100801165e-07
1858,3.9124938311374535e-06,1.7764044102364096e-07
1859,4.175072866985374e-06,2.3729527587335042e-07
1860,4.3025526821338644e-06,2.503719649382674e-07
1861,4.721623028558497e-06,3.254014959708229e-07
1862,4.508498633981617e-06,3.587281192096725e-07
1863,4.408752033668861e-06,3.4712615359921983e-07
1864,4.156549529454878e-06,3.543304014641535e-07
1865,4.225333967156075e-06,2.8476408608923975e-07
1866,4.363481593827601e-06,3.3134822885472204e-07
1867,4.285032673578826e-06,3.3241759922475467e-07
1868,4.410319604630786e-06,3.6357473476300584e-07
1869,4.712596137323999e-06,3.862863575676556e-07
1870,4.728870251824446e-06,4.4897601103599527e-07
1871,5.989282016116704e-06,5.544254335632104e-07
1872,4.771955644855552e-06,4.323847608844744e-07
1873,4.236893957454413e-06,4.6271815801190996e-07
1874,4.037043481730507e-06,6.607917644174677e-07
1875,3.753321848876112e-06,4.788918204212678e-07
1876,3.6995564727249075e-06,4.1959341956498974e-07
1877,3.6082217462762856e-06,3.772737802165693e-07
1878,3.775034372210939e-06,4.547433740675899e-07
1879,3.6723155005802255e-06,4.3803862759261847e-07
1880,3.858409073131952e-06,5.58994420529757e-07
1881,3.756787059217004e-06,6.400762213587541e-07
1882,3.948639921702579e-06,4.2195142935241847e-07
1883,3.4035958904610197e-06,4.827974819932024e-07
1884,3.498899296516811e-06,5.010688122197848e-07
1885,3.6340493068109936e-06,5.324095031511433e-07
1886,3.515201740356133e-06,5.633873811916601e-07
1887,3.694065611625774e-06,5.39289150225386e-07
1888,4.248845741017249e-06,5.338797386400529e-07
1889,3.821106957957454e-06,5.807781580102755e-07
