year,son_DET rapt_NOUN
1800,1.8864987794131594e-08
1801,1.6668277424969347e-08
1802,1.5664880947952042e-08
1803,3.900678446910888e-09
1804,9.887403784603066e-09
1805,5.685755422035754e-09
1806,5.76333825108577e-09
1807,5.693910232196231e-09
1808,0.0
1809,2.0331274441787173e-08
1810,0.0
1811,5.0141535368197765e-09
1812,2.400487453257938e-08
1813,2.0130190847567064e-08
1814,3.1466771410748606e-09
1815,5.394447111228828e-09
1816,0.0
1817,0.0
1818,4.768470951432846e-09
1819,2.070210003424222e-09
1820,0.0
1821,0.0
1822,3.0076847679083585e-09
1823,0.0
1824,2.2737005167527968e-08
1825,0.0
1826,5.284790383086602e-09
1827,1.8434546111834038e-09
1828,1.8344602503717056e-09
1829,1.8860987438529264e-08
1830,6.262101281961918e-09
1831,4.677361609140007e-09
1832,4.058990921151917e-09
1833,6.950177322551099e-09
1834,1.9602515166639023e-08
1835,9.832014313815307e-09
1836,4.704525213838906e-09
1837,6.957891152126194e-09
1838,1.009945904684173e-08
1839,9.088917618527148e-09
1840,3.821813088222825e-09
1841,4.494383976094696e-09
1842,6.708265054555795e-09
1843,2.3627644285539873e-09
1844,2.195424508855126e-09
1845,5.580227835366713e-09
1846,3.5127007969038004e-09
1847,3.775256551818984e-09
1848,4.82713291560799e-09
1849,4.1897072478036534e-09
1850,1.0862393651223101e-08
1851,9.029214709244116e-09
1852,2.6042181744401205e-09
1853,2.9859659189668264e-09
1854,6.234797567117312e-09
1855,3.714855978387277e-09
1856,6.73034605824796e-09
1857,8.78671624349181e-09
1858,7.829881631948865e-09
1859,7.638259802433822e-09
1860,3.66174721100343e-09
1861,7.545541969022906e-09
1862,4.517986429419807e-09
1863,1.9978483312144135e-09
1864,6.712618905169165e-09
1865,7.0602665935837194e-09
1866,3.4059290943133647e-09
1867,6.308654931785895e-09
1868,6.421836395986702e-09
1869,9.767038178232212e-09
1870,5.160643912205387e-09
1871,4.248470908407853e-09
1872,1.5118347462816928e-08
1873,2.9930022904522957e-09
1874,5.377148060148329e-09
1875,9.154443425529735e-09
1876,1.0278225381910033e-08
1877,1.0514186854493346e-08
1878,1.3889904337816006e-08
1879,9.774920428640144e-09
1880,9.626769603698904e-09
1881,4.183504653809678e-09
1882,3.9932310791357395e-09
1883,1.3270612164717477e-08
1884,6.601696966868076e-09
1885,8.379326565943757e-09
1886,3.2267319927115068e-09
1887,5.876032105334161e-09
1888,3.804368819970705e-09
1889,3.759081934617825e-09
1890,5.898947996740844e-09
1891,7.649063604731055e-09
1892,4.387958441043338e-09
1893,9.23762488724833e-09
1894,6.9316934414587195e-09
1895,3.0093072478365457e-09
1896,5.89702897624278e-10
1897,4.661370733849424e-09
1898,3.96084842702038e-09
1899,7.185851913504848e-09
1900,9.343895990276962e-09
1901,5.029864968975062e-09
1902,1.276673788908056e-08
1903,8.100330184390714e-09
1904,7.524475265086039e-09
1905,1.0321518084666081e-09
1906,5.144184633820714e-09
1907,1.1828539925318182e-08
1908,8.349361646509124e-09
1909,6.0510818578052294e-09
1910,2.67207544979442e-09
1911,4.788336838146279e-09
1912,2.6047106693738442e-09
1913,3.71209285532359e-09
1914,5.3573948055607445e-09
1915,2.1205371680821372e-08
1916,8.789969641043172e-09
1917,8.773139548168274e-09
1918,5.743188147278033e-09
1919,9.207848372660976e-10
1920,9.086678076641874e-09
1921,4.543648568500203e-09
1922,8.853522359686394e-09
1923,9.554353752605493e-09
1924,3.867487219366694e-09
1925,4.399271169575059e-09
1926,4.458455382660986e-09
1927,5.574612438330462e-09
1928,1.1426041446327417e-08
1929,2.33948540540041e-08
1930,3.1510810627466412e-09
1931,4.5621426636444085e-09
1932,1.6439305028370654e-08
1933,8.029463538505865e-09
1934,7.188948103475923e-09
1935,5.98414207075848e-09
1936,8.487300195980652e-09
1937,1.0072894407464617e-08
1938,7.779128785578848e-09
1939,1.5294050470515685e-09
1940,0.0
1941,8.854507793643052e-09
1942,6.068423541449874e-09
1943,5.806470415592457e-09
1944,0.0
1945,2.6142048525912287e-08
1946,9.744772988540262e-09
1947,1.549713202209091e-08
1948,9.784699050996437e-09
1949,2.945102384188658e-09
1950,3.190608444114673e-09
1951,1.0661401539380222e-08
1952,7.381362632230548e-09
1953,1.508335856215126e-08
1954,9.772536557761669e-09
1955,5.631364707880948e-09
1956,1.2209598665435806e-08
1957,7.951533653738352e-09
1958,7.445019267748876e-09
1959,9.300897829689347e-09
1960,1.038124963770315e-08
1961,6.948159103625784e-09
1962,1.0147130247162295e-08
1963,9.69907976156037e-09
1964,8.517555549758526e-09
1965,9.302473735761652e-09
1966,9.970334224895794e-09
1967,1.774920871389085e-08
1968,4.042274071025531e-09
1969,1.1354394285900682e-08
1970,1.4715919871566285e-08
1971,8.221436087474387e-09
1972,1.0260293947794707e-08
1973,9.37244681864513e-09
1974,1.2376257407797908e-08
1975,9.138367840222372e-09
1976,7.427584991503977e-09
1977,1.9393380790155845e-08
1978,1.128712323605896e-08
1979,1.404473604083023e-08
1980,2.785723829390463e-08
1981,1.138598904049104e-08
1982,1.1794254461960918e-08
1983,6.315316269933646e-09
1984,9.85831472011256e-09
1985,9.02333674446254e-09
1986,8.392279760016663e-09
1987,2.138785865080095e-08
1988,1.5591039570495013e-08
1989,1.3171492785346572e-08
1990,1.5256223173665262e-08
1991,1.582595565707834e-08
1992,1.101988872376225e-08
1993,1.717154241021035e-08
1994,1.160483886764041e-08
1995,1.6267353131205198e-08
1996,1.86833228887906e-08
1997,2.2536004729012404e-08
1998,1.4304387785379902e-08
1999,1.279656292041409e-08
2000,1.8113928246243916e-08
2001,1.796296800193886e-08
2002,2.5411083903748022e-08
2003,2.2918075881506184e-08
2004,1.6297727611913615e-08
2005,1.3961623968050674e-08
2006,1.523619230781037e-08
2007,2.4765772377310924e-08
2008,3.491100517005741e-08
2009,1.8595950335154043e-08
2010,1.8422793623962264e-08
2011,1.9119860139582556e-08
2012,2.110636743157812e-08
2013,2.3149737571337425e-08
2014,2.0571728542861933e-08
2015,2.2165754398617565e-08
2016,2.3613277111422804e-08
2017,2.389830733307008e-08
2018,2.2975053470819518e-08
2019,1.9897704539584282e-08
