year,en_ADP emplacement_NOUN,en_ADP remplacement_NOUN
1800,0.0,3.163029447250665e-06
1801,0.0,2.538340611479839e-06
1802,0.0,3.282911364976826e-06
1803,0.0,1.343783726071024e-06
1804,0.0,1.549850552562404e-06
1805,0.0,1.4299675417106528e-06
1806,0.0,3.1957709580865412e-06
1807,1.1387820464392462e-08,2.798556863581325e-06
1808,4.5321479902327155e-09,2.2026239987482654e-06
1809,0.0,2.3380965785690933e-06
1810,0.0,2.028889788618926e-06
1811,0.0,2.715164150401961e-06
1812,0.0,1.9924044760699644e-06
1813,0.0,2.734830260919807e-06
1814,0.0,3.945932952831299e-06
1815,0.0,7.509070474753798e-06
1816,2.3176038865813098e-09,5.557614279894096e-06
1817,0.0,3.0032087643405703e-06
1818,1.1921177378582115e-09,3.2616341520963488e-06
1819,1.035105001712111e-09,3.0701214939199417e-06
1820,2.3732962262101864e-09,3.313121503367711e-06
1821,9.86148829262845e-10,2.770092095261134e-06
1822,0.0,3.128994748635705e-06
1823,0.0,3.1644363005511877e-06
1824,5.894778887238772e-09,3.504025066547456e-06
1825,0.0,3.331979581133737e-06
1826,0.0,3.1858479516699845e-06
1827,0.0,3.982783752576324e-06
1828,1.8344602503717056e-09,3.919324402801294e-06
1829,2.571952872898464e-09,4.162276766805917e-06
1830,0.0,6.137903167058312e-06
1831,4.677361831184612e-09,8.674947052256243e-06
1832,1.3529969367098715e-09,6.020836563536136e-06
1833,0.0,5.177881959639308e-06
1834,9.334530925997342e-10,5.9871680733181165e-06
1835,0.0,4.5741554188794e-06
1836,4.704525213838906e-09,4.765684046503793e-06
1837,1.1828414692161004e-08,4.957497381496978e-06
1838,3.787297142565649e-09,5.227101404159384e-06
1839,6.9914751765765e-10,6.4139795270534705e-06
1840,0.0,7.144879873521859e-06
1841,1.2841097074556274e-09,6.423758989626549e-06
1842,0.0,7.243584597915742e-06
1843,1.1813822142769936e-09,7.3907271840312205e-06
1844,0.0,5.787687769043259e-06
