year,en_ADP aigle_NOUN,en_ADP règle_NOUN
1800,8.17482739279285e-08,2.317249276018174e-06
1801,5.714838380299625e-08,2.2002127089137957e-06
1802,4.0281122437590966e-08,2.457148468693049e-06
1803,3.315576635465334e-08,1.714348133674548e-06
1804,1.9774807569206132e-08,2.8500442326162556e-06
1805,5.401467717547348e-08,2.4391890693920004e-06
1806,1.123850994488862e-07,2.82115418315243e-06
1807,7.971474502710407e-08,3.1885898366112997e-06
1808,5.211970011131939e-08,2.868849662718276e-06
1809,4.0662548883574345e-08,3.4427624768795795e-06
1810,4.212228166267096e-08,2.627962302881315e-06
1811,1.0028306718368185e-07,2.9107161054753306e-06
1812,7.734903562095496e-08,2.451164306194187e-06
1813,3.738464116054274e-08,2.5967947578919848e-06
1814,3.4613449440001887e-08,2.47014155885239e-06
1815,3.506390644503199e-08,2.284548440201206e-06
1816,3.7081662185300956e-08,2.3964024826739205e-06
1817,8.407116069975018e-08,2.100222311618438e-06
1818,2.2650237685439834e-08,2.701338893018601e-06
1819,7.349245301213614e-08,2.3455479727374495e-06
1820,2.7292907489595564e-08,2.2700579407342047e-06
1821,3.648750634965836e-08,2.511721097775421e-06
1822,7.819980396561732e-08,2.4863527556817644e-06
1823,8.894417968807744e-08,2.72860996375357e-06
1824,4.7158231986088595e-08,2.6534925865462355e-06
1825,1.937197424695114e-08,2.1714223663593657e-06
1826,3.963593053768477e-08,2.4380501386644937e-06
1827,3.686909327837995e-08,2.9670400891745885e-06
1828,1.4675681669906737e-08,3.2176432540609312e-06
1829,4.715246948450158e-08,3.23380203326451e-06
1830,3.548524252217078e-08,2.758455757145839e-06
1831,4.6773619422069146e-08,2.758084391984994e-06
1832,6.629685167514054e-08,2.9157085066344735e-06
1833,3.706761175781281e-08,2.990892966181491e-06
1834,4.387229424196448e-08,3.166272819044025e-06
1835,4.310960122211327e-08,3.237758008367564e-06
1836,3.2259599436201825e-08,2.8704322403427796e-06
1837,3.409366655660051e-08,3.061472057197534e-06
1838,3.1560809077291196e-08,2.8215364693551237e-06
1839,2.3771015378315496e-08,3.119596158285276e-06
1840,2.930056863803543e-08,3.1058602587563655e-06
1841,7.576247451623885e-08,3.31236097395049e-06
1842,2.951636712822392e-08,3.238079585798914e-06
1843,4.134837894298471e-08,3.364576457443036e-06
1844,2.140538946093784e-08,3.572504482463046e-06
1845,2.2320911008399946e-08,4.029482681744412e-06
1846,1.6392604607062822e-08,3.559536878583458e-06
1847,2.8044762956369595e-08,3.7914362849278405e-06
1848,4.183515400768556e-08,3.969512391677199e-06
1849,3.4355601030711114e-08,3.814309764038626e-06
1850,6.4495464080494e-08,4.23022348172708e-06
1851,1.5478653025979838e-08,4.332732885359292e-06
1852,1.4974254725075298e-08,4.156332124694018e-06
1853,1.7318602996141408e-08,3.973126212031275e-06
1854,1.662612592046031e-08,4.031316109376348e-06
1855,4.2455496895854594e-08,4.336298502494174e-06
1856,2.847454005916461e-08,4.185757433106119e-06
1857,3.221796096575247e-08,3.953534303491324e-06
1858,2.6915218498402282e-08,4.294689944117636e-06
1859,2.9025387870973418e-08,4.487222923899026e-06
1860,1.8766453446783515e-08,4.51035691639845e-06
1861,3.8199305330000044e-08,4.3429311347154e-06
1862,2.6204320519029878e-08,4.597954585960906e-06
1863,1.548332484446746e-08,4.8892342761064356e-06
1864,2.5891530919253114e-08,4.455740651110318e-06
1865,1.7415324293779122e-08,4.61976779320139e-06
1866,2.4814625021463144e-08,4.768786993736285e-06
1867,4.804283548764943e-08,4.948897213807868e-06
1868,3.1615194018286275e-08,4.824774890721528e-06
1869,2.6859355628516823e-08,4.816615074787478e-06
1870,3.612450738543771e-08,4.606734734124984e-06
1871,1.3807530452325523e-08,5.410427661445283e-06
1872,1.2094679036067646e-08,4.754418341690325e-06
1873,1.3767810003173508e-08,5.1940559160357225e-06
1874,4.122480135038131e-08,5.005527498269657e-06
1875,4.119499646959568e-08,4.658467361196017e-06
1876,3.567148709748835e-08,4.921456138617941e-06
1877,4.2675229017241634e-08,4.9886727424564015e-06
1878,2.8383716710322915e-08,5.171271766357677e-06
1879,4.643087336830831e-08,5.114116333970742e-06
1880,3.337280074511284e-08,5.0662476382967725e-06
1881,5.5780060570498335e-09,5.502005819835176e-06
1882,2.5956001792337702e-08,5.189203648114926e-06
1883,2.2749619355000306e-08,5.521838147615199e-06
1884,1.0562715146988921e-08,5.5408044090654585e-06
1885,1.4180398189012067e-08,5.757241865467222e-06
1886,3.291266637006629e-08,5.1937475973318215e-06
1887,1.3057849135300614e-08,5.534569311294035e-06
1888,1.0779044989916997e-08,5.5924221555869735e-06
1889,1.0024218510817917e-08,5.436885544440884e-06
1890,1.0487018364813139e-08,5.487987664309912e-06
1891,1.9760081571007504e-08,5.792891045075521e-06
1892,2.0686091062316336e-08,5.823447850161756e-06
1893,1.1700991342511458e-08,6.264957107759983e-06
1894,1.2603078580752936e-08,5.832074748468585e-06
1895,3.611168697403855e-09,6.100467658143316e-06
1896,1.1794058063507862e-08,6.177137720442261e-06
1897,4.661370955894029e-09,5.946744010998373e-06
1898,2.1501748825869527e-08,6.002382747283264e-06
1899,1.879376654301268e-08,5.854258290582948e-06
1900,1.5573159761750333e-08,5.9432368857414986e-06
1901,2.6267072184005258e-08,6.064340539069235e-06
1902,1.9150106222998176e-08,5.674323801940773e-06
1903,3.0781255766498816e-08,6.271275992730807e-06
1904,1.7736262236667244e-08,6.390966632352502e-06
1905,1.3417973399043603e-08,5.9544837540670414e-06
1906,8.7451136887573e-09,6.233722842807765e-06
1907,2.982849167665336e-08,6.191983288772462e-06
