year,mon_DET apport_NOUN,mon_DET rapport_NOUN
1800,0.0,3.1127228261595974e-07
1801,0.0,3.476526437840022e-07
1802,0.0,2.9315705774024536e-07
1803,0.0,2.9255089040169935e-07
1804,0.0,3.1392505661642645e-07
1805,0.0,2.1321582188704724e-07
1806,0.0,2.4206020210471024e-07
1807,0.0,3.416346214812904e-07
1808,0.0,4.3055405773984035e-07
1809,0.0,4.811735152543406e-07
1810,0.0,6.786367503508473e-07
1811,0.0,4.7383752654894806e-07
1812,0.0,4.747630639734268e-07
1813,0.0,4.141068004059889e-07
1814,0.0,2.9264096124137495e-07
1815,0.0,3.6951961490672147e-07
1816,0.0,4.2180391979229626e-07
1817,0.0,3.9233211102107646e-07
1818,0.0,4.434677998155223e-07
1819,0.0,2.111614136879325e-07
1820,0.0,6.063771706976695e-07
1821,0.0,3.5205512105562775e-07
1822,0.0,3.488914472882243e-07
1823,0.0,6.52257342359519e-07
1824,2.5263338088166165e-09,1.1907453600912277e-06
1825,0.0,4.4555540501534097e-07
1826,0.0,6.350556875922564e-07
1827,0.0,6.654871214095692e-07
1828,0.0,6.017029647864547e-07
1829,0.0,6.858540881893305e-07
1830,1.0436835840010872e-09,6.084675518991389e-07
1831,0.0,6.984860263514747e-07
1832,0.0,5.655527370862501e-07
1833,0.0,7.286102583492493e-07
1834,0.0,6.142121513619259e-07
1835,7.563087933704082e-09,5.354666541279585e-07
1836,6.720750067579218e-10,5.900818429438459e-07
1837,0.0,7.361448624010336e-07
1838,0.0,5.592575504920205e-07
1839,6.9914751765765e-10,6.732790733821048e-07
1840,0.0,6.255034001867443e-07
1841,0.0,7.743181527075649e-07
1842,6.708265054555795e-10,8.747577862067146e-07
1843,2.1855571574747046e-08,9.238409059975083e-07
1844,1.097712254427563e-09,6.80581629275423e-07
1845,5.580227946389016e-10,6.746495309073453e-07
1846,3.5127007969038004e-09,7.142491567080356e-07
1847,1.0786447290911383e-09,7.712309564311681e-07
1848,1.6090443422100975e-09,9.766898934060464e-07
1849,0.0,8.320759263824584e-07
