year,en_PRON enverra_VERB,en_PRON renverra_VERB
1800,2.986956246786576e-07,3.144164484325529e-09
1801,8.334139067756041e-08,4.7623651688866175e-09
1802,5.147032311469957e-08,8.951360541686881e-09
1803,1.3847407842604298e-07,1.5602713787643552e-08
1804,1.5325475999361515e-07,0.0
1805,2.0184431548386783e-07,2.2743021688143017e-08
1806,4.437770542153885e-07,8.645007376628655e-09
1807,2.9893027431171504e-07,0.0
1808,2.1074488643080258e-07,2.039466551195801e-08
1809,2.3268013649158092e-07,2.259030518203531e-09
1810,1.4508785284306214e-07,7.020380277111826e-09
1811,2.431864345453505e-07,0.0
1812,1.893717893608482e-07,5.3344164641089264e-09
1813,1.782959770935122e-07,2.8757416448144113e-09
1814,2.989343386161636e-07,0.0
1815,3.506390555685357e-07,1.0788894222457657e-08
1816,7.648093003354006e-08,3.244645441213834e-08
1817,1.120948880384276e-07,1.2454987263765815e-08
1818,2.1815755246734625e-07,4.768470951432846e-09
1819,1.78038064291286e-07,1.035105001712111e-09
1820,6.763894333516873e-08,7.119888678630559e-09
1821,1.6074226039108908e-07,2.6626018723163725e-08
1822,9.42407893944619e-08,1.804610860745015e-08
1823,1.1661570198384652e-07,8.894418535021487e-09
1824,1.2463246434890607e-07,2.3579115548955087e-08
1825,2.2101662011664303e-07,9.68598712347557e-09
1826,2.2900759688582184e-07,3.5231937367541377e-09
1827,2.691443796720705e-07,2.3964910056406552e-08
1828,1.4217066279798019e-07,9.172301140836225e-09
1829,1.714635260441355e-07,1.0287811491593857e-08
1830,1.0645572245948642e-07,5.218417697960831e-09
1831,6.080570358335535e-08,7.795603274018958e-09
1832,1.27181706943702e-07,2.841293600397421e-08
1833,7.18184978154568e-08,1.9692167896323554e-08
1834,1.4655213931291655e-07,1.213489042584115e-08
1835,1.6411900105595123e-07,4.386591001548368e-08
1836,2.406028443147079e-07,6.048674894287842e-09
1837,9.74104708006962e-08,2.7831563720326358e-09
1838,9.783850885014544e-08,1.7042836475411605e-08
1839,9.788065113980338e-08,9.088918062616358e-09
1840,9.93671420701503e-08,1.2102408852854296e-08
1841,6.035315891494974e-08,7.0626033910059505e-09
1842,6.77534757187459e-08,6.037438549100216e-09
1843,1.0278025541765601e-07,1.0041748765843295e-08
1844,6.421616660645668e-08,1.3721403568922597e-08
1845,4.798996044996784e-08,2.2320911785556063e-09
1846,5.503231292891542e-08,1.5221703009160592e-08
1847,1.0139260098185332e-07,4.314578916364553e-09
1848,6.999342616609283e-08,8.04522137798358e-09
1849,1.0641856817983353e-07,6.703531951757213e-09
1850,8.825694663983086e-08,2.0366988096043315e-09
1851,4.5791015423901626e-08,4.514607354622058e-09
1852,1.0286661478176029e-07,1.2370036550635177e-08
1853,7.10659904257227e-08,4.777545470346922e-09
1854,8.416976271519161e-08,5.195664343204953e-09
1855,5.094659627502551e-08,2.653468555990912e-09
1856,6.989205303398194e-08,1.0354378465748937e-09
1857,9.665387779023149e-08,4.881508974818871e-09
1858,1.2429937612523645e-07,1.3702292633865909e-08
1859,1.2628589729501982e-07,1.8331824946926645e-08
1860,1.7851017730663443e-07,5.950338888283113e-09
1861,1.145979169336897e-07,4.715963619617014e-09
1862,8.900433101644012e-08,1.2650361647104091e-08
1863,8.141231688796324e-08,0.0
1864,8.246932026167997e-08,2.3973640850272204e-09
1865,7.954567138312996e-08,2.3534221238463715e-09
1866,7.639012267190992e-08,5.352174259343201e-09
1867,1.887743650286211e-07,1.94112459439566e-09
1868,1.432563436765122e-07,3.951899252285784e-09
1869,1.9631747250059561e-07,5.860222973552709e-09
1870,1.0665331018344659e-07,9.747882501187632e-09
1871,1.678146048789131e-07,0.0
1872,6.168286148522384e-08,3.0236697590169115e-09
1873,7.123345113768664e-08,3.591602570907071e-09
1874,4.899179373296647e-08,2.3898436563030145e-09
1875,5.607096653648114e-08,4.577221712764867e-09
1876,7.436598536969541e-08,1.813804439976252e-09
1877,5.566334237983028e-08,5.566334504436554e-09
1878,5.676743342064583e-08,2.4156354694326865e-09
1879,6.475885072632082e-08,6.720257683667796e-09
1880,6.610381575455904e-08,1.2835692508872398e-09
1881,4.113779539238749e-08,1.1853263259808955e-08
1882,7.52058539887912e-08,9.317538740560849e-09
1883,8.720687816321515e-08,2.5277355764075082e-09
1884,5.149323811792783e-08,5.281357573494461e-09
1885,8.121500627567002e-08,7.7347630522695e-09
1886,6.001721430948237e-08,0.0
