year,on_PRON amène_VERB,on_PRON ramène_VERB
1800,3.804439074883703e-07,3.1127227373417554e-07
1801,4.3575641939241905e-07,3.9765748738318507e-07
1802,4.4533018694892235e-07,1.208433673127729e-07
1803,5.148895496631667e-07,2.7499782362383485e-07
1804,6.179627405344945e-07,2.9662212153169776e-07
1805,5.970043162051297e-07,3.383024349545849e-07
1806,2.9681191904273874e-07,4.466587029128277e-07
1807,5.039110675397751e-07,3.9857370737195197e-07
1808,3.9203079893468384e-07,2.968556866989047e-07
1809,6.393056395381791e-07,4.021074246907119e-07
1810,7.371399561861836e-07,4.118623024851331e-07
1811,5.841488928126637e-07,6.092196258578042e-07
1812,5.974546226639177e-07,7.548199434381786e-07
1813,5.952785215868062e-07,4.601186631703058e-07
1814,1.110777020585374e-06,4.562681805708735e-07
1815,5.394447271100944e-07,4.962891466675501e-07
1816,8.783718499216775e-07,4.913320168498103e-07
1817,3.8766149401681105e-07,3.035903262116335e-07
1818,3.647880362223077e-07,2.443841324861751e-07
1819,5.330790742164027e-07,2.88794301361861e-07
1820,5.007655090594199e-07,2.408895625194418e-07
1821,4.072794652643097e-07,3.984041256899218e-07
1822,5.20329464848146e-07,3.5189913205613266e-07
1823,5.26747200524369e-07,2.9450406380249206e-07
1824,5.625303245437863e-07,3.183180652399642e-07
1825,4.992686299942761e-07,3.3108466723774654e-07
1826,4.289488515496487e-07,3.3029941448603495e-07
1827,4.700809270730133e-07,2.645357319863706e-07
1828,6.273854040728111e-07,4.485255189479176e-07
1829,4.895283680639295e-07,2.4176356205884986e-07
1830,6.648264303521501e-07,3.945123872028944e-07
1831,5.73756366861744e-07,3.8354368570026054e-07
1832,5.073738407190831e-07,4.789609064914657e-07
1833,6.255159519241715e-07,4.0542698798162746e-07
1834,4.807283318086775e-07,5.66606033203243e-07
1835,6.821905458309629e-07,3.2899433222155494e-07
1836,5.383320740293129e-07,3.1453109272661095e-07
1837,5.385407746416604e-07,3.729429458587674e-07
1838,4.771994355223796e-07,2.670044523256365e-07
1839,6.166481156810733e-07,5.355470094059456e-07
1840,6.802827812180112e-07,4.388715595382564e-07
1841,5.412522554593124e-07,3.8908523514180615e-07
1842,5.27940457573095e-07,3.6962539162743724e-07
1843,4.849574040122206e-07,3.3019633782771507e-07
1844,4.917750970889756e-07,4.3469404786833366e-07
1845,4.732033360710375e-07,4.469762480141526e-07
1846,3.8112804645606957e-07,3.664917755941133e-07
1847,6.450295728654964e-07,3.732110656073928e-07
1848,4.054791702401417e-07,4.907585164914963e-07
1849,5.253893107237673e-07,3.53611302017498e-07
1850,5.614499656303451e-07,4.528260291181141e-07
1851,5.520719525975437e-07,3.7987193479693815e-07
1852,5.18239410496335e-07,3.4961627903840053e-07
1853,7.458942974380989e-07,4.873096450808134e-07
1854,5.782774650242573e-07,4.431901672319327e-07
1855,6.516918631405133e-07,4.335767727070561e-07
1856,5.793274766574541e-07,3.722398957961559e-07
1857,6.238568630578811e-07,3.7392359786281304e-07
1858,5.42708676221082e-07,4.5168631146452753e-07
1859,5.336597794780573e-07,4.812103924223265e-07
1860,5.904567217385193e-07,4.0324989214468587e-07
