year,son_DET aliment_NOUN,son_DET ralliement_NOUN
1800,3.8673221780527456e-07,1.5720821977538435e-08
1801,2.5716770579720105e-07,2.3811825844433088e-09
1802,3.5581658153205353e-07,1.3427040812530322e-08
1803,2.0283527657483091e-07,1.950339223455444e-09
1804,2.4965695200052096e-07,1.4831105232815389e-08
1805,2.2174446279166204e-07,5.685755422035754e-09
1806,1.8442682403474464e-07,0.0
1807,1.3095993267597805e-07,5.693910232196231e-09
1808,2.0168058600944505e-07,0.0
1809,9.713831161661801e-08,0.0
1810,7.488405406874676e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,6.668020802180763e-08,0.0
1813,1.0927818294703684e-07,0.0
1814,1.0698702368472368e-07,9.440030979135372e-09
1815,2.508417935587204e-07,1.3486118000116676e-08
1816,4.6352077731626196e-08,2.0858434979231788e-08
1817,9.029865566390072e-08,5.916118794857539e-08
1818,2.110048331616099e-07,4.2916237674717195e-08
1819,1.40774275791955e-07,0.0
1820,1.3053129066520341e-07,4.746592452420373e-09
1821,1.607422611682452e-07,1.1833785507064931e-08
1822,1.1429202118051762e-07,0.0
1823,1.6009953363038676e-07,3.854247765389118e-08
1824,1.1368501873221248e-07,8.421112696055388e-10
1825,9.069606221601134e-08,4.4027217427355936e-09
1826,1.3123897302236287e-07,1.0569580766173203e-08
1827,9.401618683568813e-08,1.8434546111834038e-09
1828,1.3666728193584277e-07,0.0
1829,1.2173909685886386e-07,1.628903412154159e-08
1830,1.3046044111675315e-07,1.3567886369969528e-08
1831,7.79560289654313e-08,0.0
1832,7.170883975504694e-08,1.2176972319366541e-08
1833,1.7607114755069375e-07,1.1583628500844156e-09
1834,1.2414926686687977e-07,0.0
1835,1.0663953986522756e-07,1.5126175867408165e-09
1836,1.5121688079489104e-07,6.048675060821296e-09
1837,9.393152744507915e-08,6.262101504006523e-09
1838,1.2498081192191535e-07,1.2624323808552163e-08
1839,1.4682098115059716e-07,2.0974426639952526e-09
1840,1.5032465228159708e-07,2.8663599493938818e-08
1841,1.2841096541649222e-07,5.778493683550323e-09
1842,1.3886108574112654e-07,1.609983613093391e-08
1843,1.553517563479545e-07,1.1813822142769936e-09
1844,1.877087918433773e-07,2.195424508855126e-09
1845,1.183008354610493e-07,7.812318791877715e-09
1846,1.785622940619902e-07,4.0981511517657054e-09
1847,9.869599182366073e-08,3.235934187273415e-09
1848,1.3033259449457546e-07,4.02261068899179e-09
1849,1.7010212616241915e-07,2.513824481908955e-09
1850,9.097254594081505e-08,7.467895635215882e-09
1851,1.2511911506862816e-07,2.0638204034639784e-08
1852,1.1328349103223445e-07,0.0
1853,1.4392355662806722e-07,4.777545470346922e-09
1854,1.9795482214535198e-07,2.6497888327980945e-08
1855,1.5708533496194832e-07,1.1675261646360013e-08
1856,2.0656985544320605e-07,3.1063134287023786e-09
1857,1.4058745989586896e-07,1.0251168802710708e-08
1858,1.4876775145111765e-07,6.8511463169329545e-09
1859,1.634587629695261e-07,2.2914779407301467e-08
1860,1.7942560481820635e-07,7.781213007262977e-09
1861,1.886385559979331e-07,8.960331143725853e-09
1862,1.7981585020976354e-07,3.6143890103090826e-09
1863,1.7980635674819112e-07,3.995696662428827e-09
1864,2.3062640785997957e-07,2.3973640850272204e-09
1865,1.6050339612938558e-07,3.577201784787931e-08
1866,1.8051424000020688e-07,3.4059290943133647e-09
1867,1.4801075209902592e-07,7.76449837758264e-09
1868,1.4375033885460908e-07,1.3831646938911035e-08
1869,1.3625018713270265e-07,4.883519366671862e-09
1870,1.7374168104211662e-07,9.747882501187632e-09
1871,9.028000946820214e-08,3.18635318130589e-09
1872,1.7537283980573193e-07,9.071008832961525e-09
1873,1.4665710468264592e-07,1.4366410283628284e-08
1874,1.3383125008203933e-07,1.1351757756017378e-08
1875,1.253014403346242e-07,1.3159512590732447e-08
1876,1.3784914321135489e-07,3.627608879952504e-09
1877,1.1132668475966057e-07,1.1132669008873108e-08
1878,1.1413877298860342e-07,5.435179861734696e-09
1879,1.258520982982958e-07,6.109325489944695e-09
1880,1.078198197390634e-07,7.059631101924424e-09
1881,1.1086287288186725e-07,6.972507571312292e-10
1882,1.2312462160934956e-07,3.9932310791357395e-09
1883,1.0237329206574941e-07,8.847074184359371e-09
1884,1.260924102908234e-07,7.922036360241691e-09
1885,9.088346630825583e-08,3.86738152613475e-09
1886,1.12290267972881e-07,5.808117320427186e-09
1887,1.0185122079064968e-07,1.2404957061562527e-08
1888,1.2427604811904303e-07,1.5851536971922542e-08
1889,1.4597769304458552e-07,3.132568426877924e-09
1890,9.241685161587299e-08,5.898947996740844e-09
1891,1.045372097774333e-07,1.784781566982474e-08
1892,1.2599709298122264e-07,5.014809900671935e-09
1893,1.1085149509426628e-07,7.390100087434348e-09
1894,1.3107202345707947e-07,8.192000855444803e-09
1895,9.027922098781005e-08,1.8055842598840854e-08
1896,1.2442730601414098e-07,1.7101383420481397e-08
1897,1.0546351425499978e-07,2.0393496669157685e-08
1898,9.279701818076802e-08,3.7910978356592295e-08
1899,8.844125432005967e-08,2.432134493801641e-08
1900,1.0330195721053315e-07,1.5054054003371675e-08
1901,1.2909986329967538e-07,2.459045056468767e-08
1902,9.280436330527664e-08,1.718599307309887e-08
1903,1.5120616136954368e-07,1.7820726228023887e-08
1904,7.148251324196053e-08,2.741058757749215e-08
1905,6.812202002492995e-08,1.2901898049921812e-08
