year,on_PRON apportera_VERB,on_PRON rapportera_VERB
1800,2.829747991484055e-08,1.7921738049153646e-07
1801,4.524246755011063e-08,3.571773810051582e-08
1802,3.3567602031325805e-08,5.527465134491649e-07
1803,7.801356893821776e-08,1.5212645720907858e-07
1804,3.460591457837836e-08,9.887403606967382e-08
1805,6.254330742194725e-08,8.812920881950959e-08
1806,1.152667650217154e-08,2.305335300434308e-07
1807,5.693910409831915e-08,1.1103124819555887e-07
1808,4.5321479902327155e-08,1.0423940466353088e-07
1809,6.7770915546105925e-09,8.358412983966446e-08
1810,3.2761775514700275e-08,1.0998595989519799e-07
1811,5.264861391296449e-08,6.518399509047867e-08
1812,2.6672083208723052e-08,1.680341199516988e-07
1813,6.901779769918903e-08,1.1215391992891455e-07
1814,2.5173417128598885e-08,1.2586708209028075e-07
1815,3.776112933451259e-08,8.091670955501229e-08
1816,7.184571870766376e-08,2.642068324121283e-07
1817,3.7364961791297446e-08,1.8526792899820066e-07
1818,1.3113295116440327e-08,6.437436006478947e-08
1819,1.4491470468058765e-08,2.1944226347159201e-07
1820,6.526564888531539e-08,9.73051434982608e-08
1821,5.325203655814903e-08,8.480879998273849e-08
1822,5.514088741165324e-08,1.0426640528748976e-07
1823,5.731958518939706e-08,3.1130464606121677e-07
1824,4.968456401854837e-08,9.852701765566962e-08
1825,5.459374641247905e-08,1.514536194235916e-07
1826,2.4662355269100544e-08,7.751026132041261e-08
1827,6.267745789045875e-08,7.281645775236711e-08
1828,5.870272679064925e-08,1.1465376204000677e-07
1829,4.9724422357400044e-08,6.344150449422159e-08
1830,4.383470919577803e-08,7.410153290976496e-08
1831,2.962329137545794e-08,5.3010099421157975e-08
1832,4.194290559311753e-08,6.223785753434186e-08
1833,3.8225973497674204e-08,5.79181431703546e-08
1834,3.547121707470069e-08,1.157481861469023e-07
1835,2.8739734148075513e-08,9.15133639978194e-08
1836,4.368487616090988e-08,5.107769940337903e-08
1837,4.1051555044191446e-08,7.862416762094426e-08
1838,2.7142296854520964e-08,9.278878110308142e-08
1839,5.453350571116289e-08,4.9639475196983085e-08
1840,4.0129038758607294e-08,5.86011346115356e-08
1841,5.1364387410046675e-08,1.0337083011791037e-07
1842,3.152884620050145e-08,1.274570351483817e-07
1843,4.252975838170414e-08,5.198081787227693e-08
1844,5.488561161115513e-08,6.531387786168352e-08
1845,5.301216621234062e-08,6.69627358007574e-08
1846,6.205771541090144e-08,3.9810609031576405e-08
1847,1.0570718700364523e-07,1.76897732018233e-07
1848,4.827132826790148e-08,5.551202963971491e-08
1849,4.6924724550478913e-08,4.273501552631842e-08
1850,4.480737558765213e-08,5.838536409896733e-08
1851,3.9341575330809064e-08,5.288539650649682e-08
1852,4.7526980129219965e-08,4.166749212330956e-08
1853,3.762316902466978e-08,5.0761421732659073e-08
1854,2.338049087668992e-08,3.4291385286877585e-08
1855,5.413075854221461e-08,2.2819829581521844e-08
1856,3.5722605318255773e-08,2.847454094734303e-08
1857,3.856392272183484e-08,3.856392138956721e-08
1858,4.502181916166137e-08,6.214968450990455e-08
1859,3.92097350143672e-08,1.7822606723782997e-08
1860,3.4328879294776016e-08,3.2040286646051186e-08
1861,2.5937801240161207e-08,4.5744847021467194e-08
1862,2.936691112509493e-08,5.963741878112216e-08
1863,5.893652765820434e-08,7.941446966697185e-08
1864,6.424935294901957e-08,5.418042592353345e-08
1865,6.777855787731824e-08,6.730787482922551e-08
1866,4.5736761933312664e-08,8.417510244385085e-08
1867,9.60856638698715e-08,4.464586567110018e-08
1868,4.297690381349639e-08,4.149494359229067e-08
1869,4.541672637969896e-08,4.150991372853241e-08
1870,2.465641069093749e-08,5.791389234843791e-08
1871,4.885741589077952e-08,5.735435770759523e-08
1872,4.898344885262418e-08,4.112190676863747e-08
1873,6.345164660359615e-08,3.292302386270762e-08
1874,5.855117013453537e-08,3.644511603617673e-08
1875,3.204055243344328e-08,8.124568751100014e-08
1876,3.4462283693414975e-08,3.808989301745669e-08
1877,9.339072448710795e-08,4.391219476929109e-08
1878,6.341043068402996e-08,6.642997441019816e-08
1879,4.459807456669296e-08,5.681672532453774e-08
1880,5.262634061864446e-08,3.2089231716270206e-08
1881,6.414706810176085e-08,6.623882242706713e-08
1882,3.8601232432711186e-08,6.322615853093794e-08
1883,3.917989976898184e-08,3.349249588779912e-08
1884,4.8192386969958534e-08,3.6969503014461225e-08
1885,3.2228177904158883e-08,3.4161868445181653e-08
1886,5.743583031403432e-08,5.162771010702727e-08
1887,5.680164560928347e-08,4.0479331886444925e-08
1888,4.12139939953704e-08,3.6775565259716814e-08
1889,4.8868066926388565e-08,3.633779321887687e-08
1890,5.1124215971753983e-08,3.5393687092266646e-08
1891,4.398211839173882e-08,3.250852154135231e-08
1892,5.955086912479146e-08,5.8924015888806025e-08
1893,6.527921492249789e-08,4.187723323667569e-08
1894,6.427570120592918e-08,3.3398158905129094e-08
1895,5.416753090514703e-08,5.055636087547555e-08
1896,5.95599916053402e-08,4.1868904787634165e-08
1897,5.360576338375722e-08,3.029891049166622e-08
1898,4.300349765173905e-08,3.847681284696591e-08
1899,5.63812978526812e-08,3.6482015630667775e-08
1900,4.1009320383977865e-08,3.9971108201086736e-08
1901,4.0238920195889705e-08,2.6825946797259803e-08
1902,5.155798188383187e-08,3.6827127569694085e-08
1903,4.212171766937445e-08,3.8341565478106077e-08
1904,4.6759240035498806e-08,4.1384613069794796e-08
1905,6.19291089520857e-08,2.4255568220610257e-08
1906,6.173021294131331e-08,4.269672970735883e-08
1907,5.142843484406967e-08,4.4742736626801616e-08
1908,5.746325193456414e-08,2.4065806236706067e-08
1909,5.060905028386742e-08,4.0707278436968863e-08
1910,6.787071349378948e-08,4.114995899584528e-08
1911,4.203095560484371e-08,4.681929155481157e-08
1912,4.532196484774431e-08,2.5526164293410147e-08
1913,5.037840189459075e-08,2.6514948070488487e-08
1914,6.027069332503743e-08,2.1429579888376793e-08
1915,6.715034395199382e-08,1.1780762143587253e-08
1916,5.933229640930904e-08,2.6369908923129515e-08
1917,5.9218692172180454e-08,5.154219540060012e-08
1918,8.155327435588333e-08,2.5270028736201766e-08
1919,4.6960028754483574e-08,2.3940405213807026e-08
1920,4.921950758074445e-08,2.6502810168693713e-08
1921,6.209653058419917e-08,2.6504616279510174e-08
1922,3.172512208493572e-08,4.721878887892217e-08
1923,7.855801520406658e-08,4.671017173052405e-08
1924,6.059063561991707e-08,3.738571008327085e-08
1925,4.2892892793133797e-08,3.849362162355874e-08
1926,3.78968714187522e-08,3.6782257240020044e-08
1927,4.5711823659644324e-08,3.0102906833917586e-08
1928,6.398582907962691e-08,2.8565103171729334e-08
1929,5.681607184726545e-08,2.6736974412244763e-08
1930,6.197126012352783e-08,3.571225137832812e-08
1931,6.843214173102297e-08,5.1324104077821175e-08
1932,4.274219289612802e-08,2.7398841417891617e-08
1933,6.194157453620619e-08,2.7529589274877253e-08
1934,4.553000465534751e-08,3.235026646564165e-08
