year,son_DET apport_NOUN,son_DET rapport_NOUN
1800,2.515331631869344e-08,4.775985992466758e-06
1801,1.6668277424969347e-08,7.255463209787649e-06
1802,2.2378401354217203e-08,3.08463884550747e-05
1803,3.315576790896557e-08,4.245888597154135e-06
1804,2.5212878540514794e-07,4.073610242016912e-06
1805,1.5920115004064428e-07,3.698583938671618e-06
1806,2.3053353626067974e-07,5.19853115577007e-06
1807,3.4448156771560434e-07,6.9323357507755645e-06
1808,2.2887347483901976e-07,5.703708218618431e-06
1809,2.259030529305761e-07,5.4081190619115205e-06
1810,1.6848912309797015e-07,5.670127208645681e-06
1811,1.353821517113829e-07,6.134816828762268e-06
1812,1.520308643421231e-07,5.36642313164748e-06
1813,1.121539270343419e-07,5.210844079783783e-06
1814,7.237357380063258e-08,6.246154299560658e-06
1815,8.091670622434322e-08,5.9284973374928995e-06
1816,5.0987285504788815e-08,6.238989584517185e-06
1817,6.227493631882908e-09,5.92701695723008e-06
1818,2.6226590676969863e-08,5.505199894173529e-06
1819,3.8298885840504227e-08,5.764499945826174e-06
1820,4.2719332071783356e-08,6.544364239857714e-06
1821,7.691961201317099e-08,5.145724372823679e-06
1822,6.817418807258946e-08,5.237381742517755e-06
1823,4.842516432290722e-08,5.792242951940807e-06
1824,3.705289675082213e-08,6.7225741275933615e-06
1825,7.660735690251386e-08,5.533340392105401e-06
1826,6.694067877788257e-08,5.6732226383360285e-06
1827,1.723629991512432e-07,7.114812937913939e-06
1828,2.008734014680158e-07,7.1663189231685465e-06
1829,1.9118183108846054e-07,6.501896933741591e-06
1830,3.0579928989027394e-07,6.596080304177576e-06
1831,2.0892216467949254e-07,7.963988011283618e-06
1832,2.381274654128518e-07,6.448383331303376e-06
1833,2.131387694115361e-07,6.5493834568997045e-06
1834,1.7828953846610318e-07,7.691653671315635e-06
1835,1.3159773004645103e-07,6.913418530984927e-06
1836,1.0753200285762432e-07,7.002349462936763e-06
1837,9.253994903701823e-08,6.434657478848749e-06
1838,2.935155238859011e-07,6.557073817248238e-06
1839,2.544896915424033e-07,7.078868833332308e-06
1840,3.840922317976947e-07,8.411811265318647e-06
1841,2.626004316219621e-07,8.240774079126822e-06
1842,1.8045232863528327e-07,8.398748292393066e-06
1843,5.960073043986824e-07,7.355876505243941e-06
1844,2.886983154759548e-07,7.784426273360623e-06
1845,2.0033017866794012e-07,8.48808494424702e-06
1846,1.627551320382281e-07,7.830980834455659e-06
1847,2.9123407774278576e-07,9.937554096950407e-06
1848,2.3572499990853757e-07,8.933414434864062e-06
1849,1.8937477208602616e-07,1.0579849643477246e-05
1850,5.974316756862663e-07,9.511383836979803e-06
1851,2.1154158802438872e-07,8.999546608379205e-06
1852,4.59644521999536e-07,8.40771824073272e-06
1853,1.5347865200965316e-07,7.216482273975089e-06
1854,1.8236781595959428e-07,7.13052990874985e-06
1855,2.1864581256636484e-07,7.051858219142559e-06
1856,3.359995796037296e-07,7.164194343545205e-06
1857,2.587199734449541e-07,6.847292610245859e-06
1858,2.647478616335519e-07,7.325833109916857e-06
1859,3.8445908479012303e-07,7.096961809338609e-06
1860,1.8034104795616734e-07,7.991305224663847e-06
1861,2.2636625374161667e-07,8.201061106660745e-06
1862,2.2951370248769365e-07,9.157054648767371e-06
1863,2.2775471164582228e-07,1.01495691353648e-05
1864,1.5534919262094604e-07,8.060896732331457e-06
1865,2.565230075024516e-07,7.972923597776571e-06
1866,2.7101464361578564e-07,7.732918390956911e-06
1867,2.9456566252861194e-07,8.032373727928643e-06
1868,2.0451078341920947e-07,9.048861144833609e-06
1869,3.0131312112047226e-07,9.762643202293475e-06
1870,2.597524164649201e-07,9.03112703554143e-06
1871,3.4093979550675613e-07,9.434791991225211e-06
1872,4.06985939616078e-07,9.477995106976778e-06
1873,3.016946186207292e-07,9.542887951852208e-06
1874,1.4398807524074186e-07,9.660345241968571e-06
1875,2.4888644167830876e-07,9.882222045121125e-06
1876,2.0072769824075465e-07,1.0105914157065854e-05
1877,3.488236313131665e-07,9.371851433570555e-06
1878,3.170521662987369e-07,1.0070180792354222e-05
1879,3.1707397685210026e-07,9.595306522669489e-06
1880,3.420712042512264e-07,1.1770330161198217e-05
1881,3.430473789478583e-07,1.1400747155221325e-05
1882,4.013197223429188e-07,1.0152124104934046e-05
1883,4.4993691883377096e-07,1.0476831647565632e-05
1884,4.5551709249025407e-07,9.759948767396054e-06
1885,4.196108962517542e-07,1.073714022936656e-05
1886,3.200918092804983e-07,9.601463290209722e-06
1887,3.7737184310771e-07,1.2416709267881743e-05
1888,3.0371545278740086e-07,1.0210292117562858e-05
1889,4.0347479668412234e-07,1.061502132415626e-05
1890,3.277193334483286e-07,1.2971786503612748e-05
1891,3.42933047292604e-07,1.364338075404703e-05
1892,3.7861815460615844e-07,1.0912226628079225e-05
1893,4.064554852689639e-07,1.1789672271333984e-05
1894,3.780923680807291e-07,1.2603709024006093e-05
1895,5.01952466258615e-07,1.159185129040452e-05
1896,3.8448628547627095e-07,1.2189748844093629e-05
1897,3.6183892149210806e-07,1.257637859453098e-05
1898,4.6228758243671564e-07,1.2208466159790987e-05
1899,4.6763313932274286e-07,1.2156802938534383e-05
1900,5.351975538303577e-07,1.2850452264956402e-05
1901,5.5775612839426e-07,1.3334172479062545e-05
1902,4.507640474216146e-07,1.1029970352183227e-05
1903,4.4983833547007634e-07,1.3720879394440999e-05
1904,4.804914848222097e-07,1.230789180795e-05
1905,4.2937515587482267e-07,1.375909971557121e-05
1906,4.850966117686539e-07,1.2123814201459027e-05
1907,5.003986869311916e-07,1.382910568281659e-05
1908,4.2434400349122825e-07,1.3094254768475366e-05
1909,4.730845866163236e-07,1.2401417365026646e-05
1910,4.392891979065894e-07,1.2206040025830589e-05
1911,4.6287255095478486e-07,1.4002692921621929e-05
1912,4.631175407610044e-07,1.2725052954465355e-05
1913,4.08330201651097e-07,1.2281194074148516e-05
1914,3.3617652661632746e-07,1.0915691817103834e-05
1915,3.463543931658819e-07,1.356908160232706e-05
1916,3.241301280709763e-07,1.2820170823601984e-05
1917,2.8951360597773146e-07,1.0171358255206542e-05
1918,3.181726313528088e-07,1.05307096305296e-05
1919,4.088284804026898e-07,9.73729927977729e-06
1920,3.263631800365374e-07,1.094187473427155e-05
1921,4.399766275753336e-07,1.137502349024544e-05
1922,4.4046276137521545e-07,1.4980160301547585e-05
1923,4.0234443332565206e-07,1.0744400881890215e-05
1924,4.0608615670123527e-07,1.018825057030881e-05
1925,6.752881169802549e-07,1.0408675706230497e-05
1926,5.194100314298566e-07,9.707172168305078e-06
1927,4.604629886273415e-07,1.3298795323635204e-05
1928,5.016032131877068e-07,1.2298991151737937e-05
1929,7.207842926959529e-07,9.625311236050038e-06
1930,4.159426900685048e-07,1.1595978406830909e-05
1931,4.1743606082889073e-07,1.0448446829514069e-05
1932,3.616646964132997e-07,1.2894990447875898e-05
1933,4.760324863184451e-07,1.0666569238537704e-05
1934,4.193553095888092e-07,9.163512387999617e-06
1935,4.966837927611323e-07,8.793098558612655e-06
1936,4.6316409196833774e-07,1.2024079325101411e-05
1937,4.3061623422602224e-07,9.641019090622649e-06
1938,5.12125957641274e-07,8.418313655056409e-06
1939,5.689387059248929e-07,8.257257917421157e-06
1940,6.035163266915333e-07,7.536347055747683e-06
1941,6.55233591828619e-07,5.303850002746913e-06
1942,6.493212936220516e-07,5.634531305531709e-06
1943,4.7032411742975455e-07,5.844212438432805e-06
1944,6.394240230633841e-07,5.989378863091588e-06
1945,5.642325682231331e-07,7.6095145402632625e-06
1946,7.461711888367972e-07,7.765191853081888e-06
1947,7.235968411123395e-07,8.33984172743385e-06
1948,6.457901307044267e-07,8.269157817153427e-06
1949,7.402024309044464e-07,8.672345316540486e-06
1950,9.699449705635743e-07,8.550830258968745e-06
1951,6.311549647364245e-07,8.422507306704574e-06
1952,8.583470574308194e-07,7.79366476422183e-06
1953,8.597514451480492e-07,8.669699127494823e-06
1954,8.218702660656163e-07,7.633327911094057e-06
1955,8.925712933205432e-07,7.76752894182664e-06
1956,8.459507583324921e-07,8.361830339254084e-06
1957,8.67600689957726e-07,8.51874330010105e-06
1958,9.554441220416265e-07,8.872807939042104e-06
1959,8.742843391473798e-07,8.979240931239474e-06
1960,8.498783117261155e-07,9.118197965563013e-06
1961,8.84500671816113e-07,7.680495443196378e-06
1962,9.538302236933305e-07,8.377089997679832e-06
1963,8.218353571010084e-07,8.180204090990628e-06
1964,8.998188931741424e-07,8.330169066539383e-06
1965,8.301089593487632e-07,8.217367351903704e-06
1966,8.81820724885074e-07,8.411085076431846e-06
1967,7.903328054226222e-07,8.322899404333839e-06
1968,8.49326738716627e-07,7.971364681225168e-06
1969,7.566568598349477e-07,1.0097690363863876e-05
1970,9.298621819198161e-07,9.572706346716586e-06
1971,9.125793880571109e-07,9.234214559228349e-06
1972,8.772551396418748e-07,8.402667958762322e-06
