year,on_PRON assure_VERB,on_PRON rassure_VERB
1800,1.0608411230350612e-05,0.0
1801,9.724749588713166e-06,5.714838380299625e-08
1802,9.219901357937488e-06,2.2378401354217203e-09
1803,1.1274911230430007e-05,9.751696339321825e-09
1804,8.557547744203475e-06,1.2359254952798437e-08
1805,9.728327540869941e-06,0.0
1806,1.0180937124459888e-05,2.0171683878800195e-08
1807,9.443350108995219e-06,1.4234775580490577e-08
1808,9.574162731951219e-06,2.2660739951163578e-09
1809,1.020404079099535e-05,0.0
1810,7.624133104400244e-06,7.020380277111826e-09
1811,8.331015806106734e-06,0.0
1812,7.380165016002138e-06,2.6672082320544632e-09
1813,8.267757038993295e-06,1.1502966579257645e-08
1814,1.0569688583927928e-05,0.0
1815,1.1746408290491672e-05,1.3486117778072071e-08
1816,1.0368959920015186e-05,0.0
1817,8.365080702787964e-06,2.490997541571005e-08
1818,8.245878234447446e-06,1.5497530370112145e-08
1819,8.252892030213843e-06,6.210630232317271e-09
1820,8.540306680515641e-06,2.1359666035891678e-08
1821,8.30830390441406e-06,1.1833785507064931e-08
1822,7.80494224272843e-06,1.604098542884458e-08
1823,7.2558686952106655e-06,1.2847493402468046e-08
1824,7.381105206150096e-06,1.8526447931321854e-08
1825,8.6126040059753e-06,2.641632912414593e-09
1826,7.956252375151962e-06,1.849676656284771e-08
1827,7.165508122852771e-06,1.1982455028203276e-08
1828,7.2607933816470904e-06,6.420610987323272e-09
1829,6.933127451702603e-06,2.6576845446601993e-08
1830,6.819428563176189e-06,8.349468449964093e-09
1831,6.947441306692781e-06,1.0913843828674885e-08
1832,6.134488103270996e-06,1.0823975493678972e-08
1833,5.894908554182621e-06,5.791814139399776e-09
1834,7.429353217958123e-06,1.0267984240641681e-08
1835,5.83038445256534e-06,3.025235173481633e-09
1836,4.974699322701781e-06,9.4090498725663e-09
1837,5.5795328535168665e-06,1.6698937344017395e-08
1838,5.256768417893909e-06,1.641162095111781e-08
1839,4.79405457554094e-06,4.894032734625853e-09
1840,6.0454715367086465e-06,5.732719854378843e-09
1841,5.551848289542249e-06,1.412520722610111e-08
1842,6.072321411920711e-06,3.3541325272778977e-09
1843,5.114203531775274e-06,8.269675666472409e-09
1844,4.6296013351820875e-06,4.939705311457487e-09
1845,4.958032491231279e-06,5.580228057411318e-09
1846,5.343403245205991e-06,7.610851504580296e-09
1847,5.87807448937383e-06,1.6179670936367074e-09
1848,4.7909295517456485e-06,2.252662145707518e-08
1849,4.283557018425199e-06,1.508294644736452e-08
1850,4.3171226025151554e-06,4.073397619208663e-09
1851,4.284362148609944e-06,2.3862924081186065e-08
1852,3.4929075809486676e-06,7.812654745364966e-09
1853,4.548223273559415e-06,4.180352064508952e-09
1854,4.287981937523e-06,2.2341357042154897e-08
1855,3.985509692938649e-06,1.0083180512765466e-08
1856,3.7135978345759213e-06,2.5885946719483854e-09
1857,4.51051460004237e-06,1.5620829518780965e-08
1858,3.6232777347322553e-06,1.663849763522407e-08
1859,4.287609954189975e-06,9.165912473463322e-09
1860,4.685663043346722e-06,1.5562425570436744e-08
1861,4.137314931540459e-06,2.3108222002576895e-08
1862,4.473709964258887e-06,4.969785055708442e-09
1863,4.127055149183434e-06,3.496234635136375e-09
1864,3.5207687005822663e-06,9.589455896019672e-09
1865,3.2260711577691836e-06,7.0602665935837194e-09
1866,4.16204534303688e-06,1.4596838959768377e-08
1867,3.3013676556947757e-06,5.338092634588065e-09
1868,3.0054194439799176e-06,8.891772984576107e-09
1869,2.928646381405997e-06,1.0255390092694938e-08
1870,3.2850365414560656e-06,1.548193173661616e-08
1871,3.1258124408850563e-06,6.37270636261178e-09
1872,2.729164293668873e-06,1.2094678591978436e-09
1873,2.4913750849009375e-06,4.190203073406451e-09
1874,2.3617629949512775e-06,0.0
1875,2.231395569651795e-06,9.7265964171811e-09
1876,2.3821297645554296e-06,1.3301232115736639e-08
1877,2.644627329573268e-06,6.8032977029730546e-09
1878,2.4947474912551115e-06,9.058632899350272e-09
1879,2.7766883476942894e-06,7.331190543524713e-09
1880,2.7924048708882765e-06,1.6686400261534118e-08
1881,2.736709234341106e-06,1.2550513517339823e-08
1882,2.7480085691422573e-06,1.1314154502173324e-08
1883,3.109114686594694e-06,9.479008244994702e-09
1884,2.853253477042017e-06,1.5183903023796574e-08
1885,2.5125087859123596e-06,1.6758652687798303e-08
1886,2.290979637109558e-06,3.872078213618124e-09
1887,2.0944789866916835e-06,3.264462256069578e-09
1888,2.2895959546076483e-06,1.0779044989916997e-08
1889,2.3394021582134883e-06,1.0024218510817917e-08
1890,1.8896296296588844e-06,8.520702587944129e-09
1891,1.912903485390416e-06,9.561330172047633e-09
1892,1.889329610094137e-06,4.387958441043338e-09
1893,1.9004873479389062e-06,3.0792082772457263e-09
1894,2.1576470317086205e-06,3.150769645188234e-09
1895,2.5886060939228628e-06,9.629782971032341e-09
1896,2.2939442487768247e-06,1.179405795248556e-09
1897,2.1337424414014095e-06,1.0488084178916779e-08
1898,2.283712092321366e-06,1.13167097914868e-09
1899,2.702985852920392e-06,6.633094074004475e-09
1900,1.880718514257751e-06,8.30568502863116e-09
1901,1.8347830632592377e-06,4.470991243898936e-09
1902,2.254802325296623e-06,7.856454375954058e-09
1903,2.0801647906409926e-06,5.400220048912274e-09
1904,1.6811827663332224e-06,1.1824175416563776e-08
1905,1.981215405066905e-06,2.0643036613421373e-08
1906,1.92701145351748e-06,1.800464577428329e-08
1907,1.7125668136941385e-06,1.8514236366229397e-08
1908,1.828510164614272e-06,1.964555584876848e-08
1909,2.065069224954641e-06,8.251475280829368e-09
1910,1.9597000573412515e-06,6.947395991829808e-09
1911,1.846169823238597e-06,9.576673454247953e-09
1912,2.1483652972165146e-06,1.3544494859019096e-08
1913,1.8735462390395696e-06,6.3635876568213234e-09
1914,2.1088045514261466e-06,6.027069177072519e-09
1915,2.035715624515433e-06,5.890381071793627e-09
1916,1.6173544281627983e-06,1.3184954461564757e-08
1917,1.8664854337657744e-06,1.4256351876795748e-08
1918,1.7195105215250805e-06,2.2972752589112133e-09
1919,1.916153280490107e-06,1.0128633154415922e-08
1920,1.4834001831331989e-06,3.028892692213958e-09
1921,1.4191328432389128e-06,8.330022116531666e-09
1922,1.1974389053648338e-06,1.0329109789708468e-08
1923,1.493663944529544e-06,1.8047112249064412e-08
1924,1.3342831266527355e-06,6.445812328337297e-09
1925,1.2713894079752208e-06,1.2097995938376016e-08
1926,1.2004391010123072e-06,1.0031524944054127e-08
1927,1.1773581718443893e-06,8.919379901328739e-09
1928,1.1151816465826414e-06,7.998228968020271e-09
1929,1.3067696613688895e-06,1.0026365515614089e-08
1930,1.0472093094904267e-06,5.251801771244402e-09
1931,1.3960156479697616e-06,1.1405356659111021e-08
1932,1.1836299336209777e-06,8.76762951129706e-09
1933,1.141330869813828e-06,1.1470662197865522e-08
1934,1.201752525048505e-06,8.38710612072191e-09
1935,1.0831297458935296e-06,7.180970484910176e-09
1936,1.0839494848369213e-06,2.424942913137329e-09
1937,1.0387672091383138e-06,8.813782481631449e-09
1938,1.140938877597364e-06,1.815129979654273e-08
1939,1.081289383364492e-06,1.070583532936098e-08
1940,1.044742589328962e-06,5.0715658339584024e-09
1941,1.056637927376869e-06,2.9515025978810172e-09
1942,1.2288557513784326e-06,1.2136847082899749e-08
1943,1.6229084849328501e-06,2.0322646676618206e-08
1944,1.0699909580580425e-06,1.2852744646352221e-08
1945,9.193287269226857e-07,1.9606536394434215e-08
1946,8.700690159457736e-07,8.352662561605939e-09
1947,8.618789877345989e-07,9.536696765621855e-09
1948,7.751656028176512e-07,1.0871887834440486e-08
1949,9.93481251043704e-07,2.945102384188658e-09
1950,7.49792974374941e-07,1.0635361702426849e-08
1951,1.0554787763794593e-06,1.1727542048589612e-08
1952,7.708251530402777e-07,8.435843024123812e-09
1953,8.996145766104746e-07,5.386913803917537e-09
1954,9.332771639947168e-07,7.818028890937967e-09
1955,8.231178014739271e-07,9.385608290557457e-09
1956,6.706557940105995e-07,1.2209597777257386e-08
1957,6.81181404615927e-07,6.184526502028831e-09
1958,9.19046243552657e-07,1.3235589513271862e-08
1959,1.1525361856001837e-06,3.100299128533379e-09
1960,7.848225038742385e-07,1.0381249859747754e-08
1961,8.622665461643919e-07,1.5980766709944305e-08
1962,9.386095314312115e-07,8.24454354786397e-09
1963,9.382243035815918e-07,5.819447923549603e-09
1964,1.0713868618950073e-06,1.8860301764789256e-08
1965,9.18756086321082e-07,7.1136563306595235e-09
1966,1.044669488692307e-06,1.163205665122291e-08
1967,1.5584790844513918e-06,1.627010748350699e-08
1968,1.3945846148999408e-06,6.737123636746389e-09
1969,1.136347805186233e-06,9.083515689622956e-09
1970,1.1299067068648583e-06,1.4715919816055134e-08
1971,9.70129434563205e-07,7.193756479395574e-09
1972,1.5790591874065285e-06,1.231235235987782e-08
1973,1.0133268801837403e-06,9.372446041489013e-09
1974,9.630978468067042e-07,9.56347201430674e-09
1975,7.858996866616508e-07,6.8537762132336866e-09
1976,7.673266679830704e-07,1.085570122683066e-08
1977,7.052138073504466e-07,1.2928919712607012e-08
1978,7.265343242579547e-07,8.316827893040113e-09
1979,7.607565351008816e-07,1.7555919384903973e-08
1980,7.208770966826705e-07,1.3075846294618998e-08
1981,6.641826928444061e-07,1.8344094465660987e-08
1982,6.077144831806436e-07,7.449002636938928e-09
1983,5.917451346704183e-07,1.136756866415567e-08
1984,6.025169625445415e-07,1.3917620833581168e-08
1985,5.564391187817819e-07,1.564045115642898e-08
1986,5.622827359275107e-07,1.2588419640024995e-08
1987,6.281919695538818e-07,9.166225112267057e-09
1988,5.696726077530911e-07,9.594486094499644e-09
1989,7.672394701785379e-07,1.3171492785346572e-08
1990,5.170769838969136e-07,9.807571865749765e-09
1991,5.128782163410506e-07,8.206051171910644e-09
1992,5.620143213036499e-07,1.4325854502672541e-08
1993,7.511165449614055e-07,7.754890507527534e-09
