year,aucun_DET emplacement_NOUN,aucun_DET remplacement_NOUN
1800,1.8864987794131594e-08,1.8864987794131594e-08
1801,4.7623651688866175e-09,7.143547975374531e-09
1802,2.2378401354217203e-09,1.3427040812530322e-08
1803,2.5354410126965377e-08,9.751696339321825e-09
1804,2.4718509461507665e-09,2.2246657849223084e-08
1805,1.421438877713399e-08,1.1371510844071508e-08
1806,1.4408345627714425e-08,3.1698359492793315e-08
1807,0.0,1.1387820464392462e-08
1808,0.0,2.4926814390369145e-08
1809,1.581321384946932e-08,2.4849335034105025e-08
1810,9.360507036149102e-09,3.042164919975221e-08
1811,2.0056614147279106e-08,4.763445815569867e-08
1812,0.0,5.067695596494559e-08
1813,0.0,5.751483289628823e-09
1814,0.0,9.440031423224582e-09
1815,2.966945977789237e-08,1.8880564667256294e-08
1816,2.3176038865813098e-09,9.270415546325239e-09
1817,3.113746815941454e-09,1.401186100480345e-08
1818,7.152706205104664e-09,2.98029441125891e-08
1819,1.1386155129855524e-08,1.0351049795076506e-08
1820,1.3053129244156025e-08,3.441279616822612e-08
1821,1.972297702934611e-08,2.5639868894700157e-08
1822,2.606660132187244e-08,1.9048670196752937e-08
1823,8.894418535021487e-09,2.3718448094456335e-08
1824,5.052667617633233e-09,1.3473780313688621e-08
1825,7.924898959288385e-09,8.805443485471187e-09
1826,1.76159691278599e-08,3.082794464148719e-08
1827,4.6086364391406676e-08,2.949527377893446e-08
1828,1.559291185060374e-08,6.420610709767516e-09
1829,5.143905745796928e-09,1.886098727199581e-08
1830,8.349468672008697e-09,1.878630406793036e-08
1831,0.0,3.1182413096075834e-08
1832,9.470978667991403e-09,2.029495349553656e-08
1833,5.791814139399776e-09,3.243415847009601e-08
1834,1.7735608537350345e-08,2.1469420685704677e-08
1835,2.117664621437143e-08,1.5882484660778573e-08
1836,1.6801874724858834e-08,1.2769425516978572e-08
1837,1.6698937344017395e-08,1.6003149028165353e-08
1838,5.680945713848473e-09,1.2624324030596767e-08
1839,1.677954131196202e-08,1.6080393239192858e-08
1840,1.3376346419402552e-08,1.46502836528839e-08
1841,4.494383976094696e-09,7.0626033910059505e-09
1842,8.049918065466954e-09,1.341653010911159e-08
1843,1.4767278067040479e-08,8.269675610961258e-09
1844,2.1954244866506656e-08,1.1525978838022866e-08
1845,1.9530798145428463e-08,1.785672942844485e-08
1846,1.2879902921980602e-08,5.269051195355701e-09
1847,1.3483059113639229e-08,2.426950640455061e-08
1848,1.930853166243196e-08,1.367687652020777e-08
1849,2.4300303991253713e-08,1.6758829879393033e-09
1850,2.0366988096043315e-09,1.0183494048021657e-08
1851,1.7413484654227318e-08,5.159551008659946e-09
1852,2.6042181744401205e-09,2.7995344931142085e-08
1853,1.1346670270029335e-08,3.642878332321686e-08
1854,3.636965040243467e-08,5.7152309551611324e-09
1855,3.02495415382964e-08,3.714855978387277e-09
1856,2.1744195222161977e-08,7.248064703979651e-09
1857,1.2203772326024875e-08,5.369659827891837e-09
1858,1.3702292411821304e-08,1.1255455234504552e-08
1859,2.1387127624450386e-08,1.1202780925145817e-08
1860,1.4646988594213539e-08,2.746310373558103e-09
1861,1.4147891136406798e-08,9.903523556786809e-09
1862,4.6083460825130373e-08,5.421583626485926e-09
1863,2.1476870060155306e-08,1.2486552236623538e-08
1864,2.4932585773740357e-08,1.4384183844029508e-09
1865,9.413688495385486e-09,4.706844358715045e-10
1866,1.9462451650298362e-08,9.731225825149181e-10
1867,1.0190904120577216e-08,1.94112459439566e-09
1868,1.333765986544222e-08,7.409811209058148e-09
1869,2.490594752657671e-08,4.883519144627257e-10
1870,7.454263428741115e-09,9.747882501187632e-09
1871,1.9118118865790734e-08,3.18635318130589e-09
1872,6.047339518033823e-09,2.4189357183956872e-09
1873,1.316921005578564e-08,4.788803575905831e-09
1874,2.9873046258899194e-08,1.0156835372754358e-08
1875,2.460256665060001e-08,1.1443054503956773e-08
1876,1.632423995978627e-08,7.255217537860403e-09
1877,2.5976227391311113e-08,1.6699003069220453e-08
1878,7.246906574831513e-09,2.294853729267743e-08
1879,2.932476084183122e-08,9.163987790827832e-09
1880,2.3104246515970317e-08,1.0268554007097919e-08
1881,3.416528748800829e-08,4.183504653809678e-09
1882,2.6621540527571597e-08,4.6587693702804245e-09
