year,en_PRON renvoie_VERB
1800,4.4018303668735825e-08
1801,7.143547975374531e-08
1802,1.0070280609397742e-07
1803,1.2287136996746995e-07
1804,6.426812149129546e-08
1805,5.1171799242411e-08
1806,6.339671898558663e-08
1807,6.832692633906845e-08
1808,4.985362878073829e-08
1809,8.358412628695078e-08
1810,3.7442028144596406e-08
1811,6.518399686683551e-08
1812,9.335229123053068e-08
1813,6.039057609541487e-08
1814,5.664018942752591e-08
1815,2.966945977789237e-08
1816,8.1116134253989e-08
1817,7.472992535895173e-08
1818,1.2994082965178677e-07
1819,7.866798057420965e-08
1820,7.831877724129299e-08
1821,3.747365440176509e-08
1822,3.0076847679083585e-08
1823,6.324919610278812e-08
1824,5.810567671460376e-08
1825,1.0302368025350006e-07
1826,5.9013494535520294e-08
1827,1.1060727445055818e-07
1828,1.2382606939809193e-07
1829,4.2865881511033876e-08
1830,3.444155893816969e-08
1831,4.8332740476553226e-08
1832,5.547287429408243e-08
1833,6.950177322551099e-08
1834,1.1948199585276598e-07
1835,7.789980571715205e-08
1836,6.98957975941994e-08
1837,5.148839221646995e-08
1838,7.511472688292997e-08
1839,9.718150550952487e-08
1840,1.2930468074046075e-07
1841,9.438206660661308e-08
1842,8.385331540239349e-08
1843,5.847842032835615e-08
1844,6.805815644383983e-08
1845,1.1216258144486346e-07
1846,9.250111787650894e-08
1847,1.0732514965638984e-07
1848,5.873011943435813e-08
1849,1.0893239732467919e-07
1850,6.44954596396019e-08
1851,5.611011744122152e-08
1852,1.0091345359342085e-07
1853,6.091370607919089e-08
1854,5.6632742939655145e-08
1855,4.139410947345823e-08
1856,1.0147290652184893e-07
1857,9.372497800086421e-08
1858,8.025628517316363e-08
1859,5.906921174414492e-08
1860,8.879737123379527e-08
1861,8.205776680370036e-08
1862,9.352231700177072e-08
1863,7.441985161449338e-08
1864,3.643993196078554e-08
1865,5.9306238142653456e-08
1866,6.422609288847525e-08
1867,4.4160586298858107e-08
1868,4.791677810089823e-08
1869,8.25314714347769e-08
1870,4.7019199200803996e-08
1871,4.460894587055009e-08
1872,5.6844989160254045e-08
1873,6.045864608950069e-08
1874,5.138164027584935e-08
1875,7.724061390490533e-08
1876,6.831997012568536e-08
1877,1.0081249968152406e-07
1878,1.2138568195041444e-07
1879,6.292604837199178e-08
1880,8.471557322309309e-08
1881,7.251407652120179e-08
1882,7.91990828474809e-08
1883,4.9922778799782463e-08
1884,5.809493330843907e-08
1885,8.443782917311182e-08
1886,4.969167122226281e-08
1887,4.8966935395355904e-08
1888,5.326116436776829e-08
1889,4.8241552974559454e-08
1890,5.767860145056147e-08
1891,5.609313546983685e-08
1892,3.6984221907232495e-08
1893,5.173069794750518e-08
1894,3.213785149114301e-08
1895,4.935263930860856e-08
1896,5.5432071377481407e-08
1897,4.603103676004139e-08
1898,5.375436984422777e-08
1899,5.859233098703953e-08
