year,son_DET are_NOUN,son_DET rare_ADJ
1800,1.5720821977538435e-08,2.4838898760037864e-07
1801,4.7623651688866175e-09,2.500241649272539e-07
1802,3.3567602031325805e-08,2.0811913259422e-07
1803,2.3404070459420723e-08,2.2818969003246536e-07
1804,9.887403784603066e-09,3.979679981114259e-07
1805,2.842877711017877e-08,3.6104546374815527e-07
1806,2.881669125542885e-09,3.313919449965397e-07
1807,2.2775641372874134e-08,3.8433893934097796e-07
1808,1.5862518409903714e-08,4.3282012995859986e-07
1809,2.259030518203531e-09,3.320774748516442e-07
1810,2.106114127542469e-08,2.878355918056741e-07
1811,1.2535383842049441e-08,4.537808884208516e-07
1812,1.600324850414836e-08,2.640536251874437e-07
1813,1.1502966579257645e-08,3.0195287092915635e-07
1814,9.440030979135372e-09,3.2725441201364447e-07
1815,1.3486117778072071e-08,1.8071398422137008e-07
1816,1.1588019432906549e-08,4.403447491085899e-07
1817,9.341240336802059e-09,4.265833055683288e-07
1818,9.536942124910297e-09,3.826698069531176e-07
1819,7.24573512300708e-09,3.1674213829546716e-07
1820,9.493184904840746e-09,3.476878971397923e-07
1821,1.2819934447350079e-08,3.569858888496924e-07
1822,1.303330066093622e-08,3.318478860592222e-07
1823,8.89441820195458e-09,3.3304654145638324e-07
1824,5.052667617633233e-09,3.1073905848444383e-07
1825,7.044354433105582e-09,2.9586289507221863e-07
1826,3.5231937367541377e-09,2.677627168878871e-07
1827,1.1060728055678481e-08,2.71909549987015e-07
1828,6.420610709767516e-09,2.4856936420292186e-07
1829,1.1145128819833872e-08,2.9491725861419127e-07
1830,1.2524203008013046e-08,2.3065407717126618e-07
1831,7.795603274018958e-09,1.7929887174972237e-07
1832,1.2176972541411146e-08,2.0024354363545882e-07
1833,2.432561940768352e-08,2.5368145273318987e-07
1834,1.4001796166951408e-08,2.4456470626432747e-07
1835,9.832014313815307e-09,2.8890995906749595e-07
1836,7.392825185359442e-09,2.0834325820118238e-07
1837,1.600314980532147e-08,2.2404408372977969e-07
1838,6.312161682231476e-09,2.695293019883138e-07
1839,1.5381244722334486e-08,2.104434084770901e-07
