year,mon_DET homme_NOUN,mon_DET rhum_NOUN
1800,7.105811619112501e-07,3.144164484325529e-09
1801,6.095827700391965e-07,0.0
1802,6.109303569701297e-07,0.0
1803,5.655983699170974e-07,0.0
1804,1.2285099302289382e-06,0.0
1805,8.727634508431947e-07,0.0
1806,3.9767032689042026e-07,2.881669125542885e-09
1807,6.007075441516463e-07,2.8469551160981155e-09
1808,4.668112438821481e-07,4.5321479902327155e-09
1809,9.081302891900123e-07,2.259030518203531e-09
1810,1.0858188232987231e-06,0.0
1811,6.744036511463491e-07,7.521229861140455e-09
1812,8.748443036665776e-07,0.0
1813,6.988052376755149e-07,0.0
1814,7.363224767686916e-07,0.0
1815,6.716086886626726e-07,0.0
1816,5.376840945814365e-07,0.0
1817,9.092140800248671e-07,0.0
1818,1.009723703759846e-06,0.0
1819,7.369947638835583e-07,0.0
1820,8.211605191377203e-07,0.0
1821,1.322425589478371e-06,1.0847637454958203e-08
1822,1.1018152150654714e-06,2.0051231786055723e-09
1823,1.1315676573531164e-06,6.917880934764753e-09
1824,1.013059844012787e-06,0.0
1825,8.787832044276911e-07,0.0
1826,8.191425422410248e-07,8.807984341885344e-10
1827,6.599567328180456e-07,0.0
1828,8.777892475109184e-07,0.0
1829,1.1333739280416921e-06,0.0
1830,1.0885620014278174e-06,0.0
1831,8.855804836116477e-07,1.5591206103948707e-09
1832,8.266811093449178e-07,8.117981842303834e-09
1833,9.44065703833985e-07,1.1583628500844156e-09
1834,7.822336840490607e-07,0.0
1835,9.378229108847336e-07,2.2689263801112247e-09
1836,9.341842357457608e-07,6.72075017860152e-09
1837,8.391216468339735e-07,9.045257876039159e-09
1838,7.21480091669946e-07,6.312161904276081e-10
1839,7.012449430021661e-07,2.0974426639952526e-09
1840,5.535259610667254e-07,5.095750932326837e-09
1841,6.98555695066716e-07,0.0
1842,6.151478935123578e-07,2.0124795163667386e-09
1843,1.0667881156223302e-06,2.3627644285539873e-09
1844,9.171386068373977e-07,5.488561272137815e-10
1845,7.711875014138059e-07,5.580227946389016e-10
1846,6.925875126739811e-07,5.854501328173001e-10
1847,4.3415450790007526e-07,3.235934187273415e-09
1848,5.720152458366101e-07,1.6090443422100975e-09
1849,6.049937475438583e-07,0.0
1850,4.874499239804209e-07,6.788996032014438e-10
1851,5.656157568978415e-07,0.0
1852,4.928482866262129e-07,0.0
1853,6.491490083249118e-07,1.7915795513800958e-09
