year,en_ADP hommes_NOUN,en_ADP rhum_NOUN
1800,2.0688603399321437e-06,1.5720821977538435e-08
1801,1.9573321878851857e-06,4.286128785224719e-08
1802,1.403125793331128e-06,3.1329761895904085e-08
1803,1.410095251230814e-06,3.510610468993036e-08
1804,1.5968157640600111e-06,1.730295728918918e-08
1805,2.1833300252183108e-06,1.7057265822018053e-08
1806,1.829859911595122e-06,1.729001475325731e-08
1807,1.7110199905800982e-06,0.0
1808,1.7108858401115867e-06,0.0
1809,1.8817723912434303e-06,0.0
1810,1.247287514161144e-06,1.3338723192646285e-07
1811,1.2359888614810188e-06,0.0
1812,1.2082452940376243e-06,5.3344164641089264e-09
1813,1.3659772548635374e-06,1.1502966579257645e-08
1814,2.6180352961091558e-06,2.8320094713762956e-08
1815,1.9959454675699817e-06,0.0
1816,1.6988036577458843e-06,0.0
1817,2.6638103918230627e-06,0.0
1818,2.2697922759107314e-06,4.768470951432846e-09
1819,2.1468076738528907e-06,2.070210003424222e-09
1820,2.417202267679386e-06,4.746592452420373e-09
1821,1.8312783822693746e-06,5.9168927535324656e-09
1822,1.8798029941535788e-06,2.2056354964661296e-08
1823,1.8984641201313934e-06,6.917880934764753e-09
1824,2.365490445299656e-06,1.1789557774477544e-08
1825,2.4267801563837565e-06,1.2327619813845558e-08
1826,2.0381676222314127e-06,8.80798456392995e-09
1827,1.910740593302762e-06,0.0
1828,1.8069433735945495e-06,3.668920500743411e-09
1829,2.3842003429308534e-06,2.571952872898464e-09
1830,2.355593778702314e-06,5.218417697960831e-09
1831,1.8600309203975485e-06,0.0
1832,2.15126510738628e-06,8.117981842303834e-09
1833,1.98890893443604e-06,1.1583628278799551e-08
1834,1.8585051293484867e-06,2.0535967593104942e-08
1835,1.9701844848896144e-06,7.563087933704082e-09
1836,1.940952643053606e-06,7.392825018825988e-09
1837,2.2251335849432508e-06,1.1828414692161004e-08
1838,1.8816554074874148e-06,7.574594285131298e-09
1839,1.8800076304614777e-06,2.1673573158409454e-08
1840,2.287355300722993e-06,4.458782232319436e-09
1841,1.822793706196535e-06,2.3113974734201292e-08
1842,1.8172689806306153e-06,1.609983613093391e-08
1843,1.678744069977256e-06,4.1939067330076796e-08
1844,1.8726971120486269e-06,2.7991662321369404e-08
1845,2.19526168621087e-06,1.0044410636567136e-08
1846,1.9114947917842073e-06,9.952652035849496e-09
1847,2.2123003873275593e-06,2.0494249852731627e-08
1848,1.8447693719281233e-06,8.045221711050488e-10
1849,1.700183247521636e-06,2.513824481908955e-09
1850,1.524129629615345e-06,4.752297222410107e-09
1851,1.7619867094254005e-06,1.805842941848823e-08
1852,1.4329710893434822e-06,5.859490670445666e-09
1853,1.5837563296372537e-06,1.0749477752369785e-08
1854,1.8990153876075055e-06,8.832629738719788e-09
1855,1.607471290299145e-06,3.1841622671890946e-09
1856,1.6561828033445636e-06,5.177189343896771e-09
1857,1.7876086531032342e-06,6.8341128311999455e-09
1858,1.8121281755156815e-06,8.31924928945682e-09
1859,1.746615453157574e-06,1.2221216039165483e-08
1860,1.7979178892346681e-06,6.865775947773045e-09
1861,1.7406622419002815e-06,2.6409397335669382e-08
1862,1.7041844557752484e-06,6.776979422085105e-09
1863,1.8589978481031721e-06,5.494082966350788e-09
1864,1.7452809970563976e-06,2.205574922697906e-08
1865,1.747180590427888e-06,2.3534221238463715e-09
1866,1.7462684809288476e-06,1.9462451650298362e-09
1867,1.688778411335079e-06,6.79393608038481e-09
1868,1.939888534252532e-06,3.951899252285784e-09
