year,certain_ADJ an_NOUN,certain_ADJ rang_NOUN
1800,0.0,4.181738688657788e-07
1801,0.0,2.690736380372982e-07
1802,4.475680270843441e-09,3.3343818017783633e-07
1803,0.0,3.179052896484791e-07
1804,0.0,4.152709607296856e-07
1805,0.0,2.1605870870189392e-07
1806,0.0,2.0748018414451508e-07
1807,8.540865792383556e-09,3.1316506010625744e-07
1808,2.2660739951163578e-09,3.5124148212162254e-07
1809,0.0,3.4563166195766826e-07
1810,0.0,3.884610464410798e-07
1811,0.0,2.6073598746734206e-07
1812,0.0,2.3738152776786592e-07
1813,0.0,3.6809493053624465e-07
1814,0.0,1.8250727862323401e-07
1815,2.697223555614414e-09,2.6163067445850174e-07
1816,0.0,2.804300720526953e-07
1817,3.113746815941454e-09,2.350878816059776e-07
1818,4.768470951432846e-09,1.9073883095188648e-07
1819,2.070210003424222e-09,1.604412744882211e-07
1820,0.0,2.8360889814393886e-07
1821,0.0,3.1753992857375124e-07
1822,0.0,2.8673261454059684e-07
1823,2.964806067318193e-09,2.0457162008824525e-07
1824,2.5263338088166165e-09,1.6758013998696697e-07
1825,8.805443041381977e-10,2.025251859549826e-07
1826,1.7615968683770689e-09,1.9201405621060985e-07
1827,1.8434546111834038e-09,1.456329101756637e-07
1828,1.8344602503717056e-09,2.357281374543163e-07
1829,4.286588084490006e-09,2.0489891028319107e-07
1830,1.0436835395921662e-08,2.327414421188223e-07
1831,0.0,1.8397622625343502e-07
1832,0.0,2.2189149717632972e-07
1833,2.3167257001688313e-09,3.4287540984223597e-07
1834,0.0,1.8855752159652184e-07
1835,0.0,2.775653342723672e-07
1836,2.0162250202737653e-09,2.3052172082316247e-07
1837,6.957890930081589e-10,2.2821882339485455e-07
1838,5.680945713848473e-09,1.5969769151524815e-07
1839,0.0,1.4612183463214024e-07
1840,6.369688665408546e-10,1.859949065874389e-07
1841,6.420548537278137e-10,2.073837208627083e-07
1842,2.0124795163667386e-09,1.7911067118348e-07
1843,2.3627644285539873e-09,1.66574892546123e-07
1844,2.744280691580059e-09,1.4325145514249016e-07
1845,2.7901139176833567e-09,1.7131300467099209e-07
1846,5.854501328173001e-10,1.6626783860829164e-07
1847,1.0786447290911383e-09,1.5047093882003537e-07
1848,3.218088684420195e-09,1.1665571264529717e-07
1849,0.0,1.8518507260978367e-07
1850,1.3577992064028876e-09,1.7855059297744447e-07
1851,3.8696632564949596e-09,1.3221350059211545e-07
1852,5.208436348880241e-09,9.830923630715915e-08
1853,5.971931837933653e-10,1.606449728797088e-07
1854,5.195664454227256e-10,2.1094398050536256e-07
1855,1.0613874223963649e-09,1.639843532075247e-07
1856,1.5531567143511893e-09,1.3564235246121825e-07
1857,4.881509085841174e-10,1.6255425805411505e-07
1858,2.9362056674919756e-09,1.7959790454824542e-07
1859,1.018434669930457e-09,1.6855094031598128e-07
1860,4.577183909670879e-10,1.588282856346268e-07
1861,1.8863854922557266e-09,1.4336529829961364e-07
1862,4.517986262886353e-10,1.4231656564334116e-07
1863,9.989241656072068e-10,1.5533271380263614e-07
1864,4.794727948009836e-10,1.4863657327168767e-07
1865,3.765475597994339e-09,1.4826559890934732e-07
1866,1.4596839292835284e-09,1.73702375150242e-07
1867,4.85281148598915e-10,1.3005535492993658e-07
1868,4.93987406535723e-10,1.4424432492887718e-07
1869,9.767038289254515e-10,1.5041239009860874e-07
1870,0.0,1.364703621220542e-07
1871,4.248470908407853e-09,9.877695106297324e-08
1872,6.047339295989218e-10,1.5360241434336785e-07
1873,8.380406146812902e-09,1.1612848993536318e-07
1874,1.7923826867161097e-09,1.4159823535919713e-07
1875,2.2886108008712824e-09,1.6992935059079173e-07
1876,1.209202959984168e-09,1.0520065529817657e-07
1877,1.2369631985365004e-09,1.564758491667817e-07
1878,1.2078177347163432e-09,1.8238047516661027e-07
1879,6.10932526790009e-10,1.4723474350830656e-07
1880,0.0,1.379836902515308e-07
1881,0.0,1.520006662758533e-07
1882,0.0,1.9100954773421108e-07
1883,2.5277355764075082e-09,1.5419186638609972e-07
1884,9.242375753615306e-09,1.5646021722659498e-07
1885,4.511945039809007e-09,1.2697901752289908e-07
1886,6.453463874400711e-10,1.903771789102393e-07
1887,6.528924623161458e-10,2.1219004509021033e-07
1888,6.340614699951175e-10,1.2617823585969745e-07
1889,2.506054641582267e-09,1.860745584281176e-07
