year,on_PRON renseigne_VERB
1922,5.902348276798364e-09
1923,7.431163684401554e-09
1924,7.734974771800296e-09
1925,4.399271169575059e-09
1926,1.7833821530643945e-08
1927,1.7838759802657478e-08
1928,1.2568645679778001e-08
1929,5.570202965543558e-09
1930,9.453243188239924e-09
1931,1.0264820993199919e-08
1932,2.9590748518160126e-08
1933,1.605892707701173e-08
1934,1.1981580172459871e-08
1935,2.393656828303392e-09
1936,8.487300195980652e-09
1937,1.636845392560815e-08
1938,1.2965214679638848e-08
1939,1.070583532936098e-08
1940,1.01431314458722e-08
1941,8.854508237732261e-09
1942,3.034211770724937e-08
1943,1.4516176038981143e-08
1944,1.2852744646352221e-08
1945,2.178504043826024e-09
1946,1.1136883415474585e-08
1947,1.1920870957027319e-08
1948,2.5005341797168512e-08
1949,2.4542521348536184e-08
1950,8.5082894063504e-09
1951,1.0661401983469432e-08
1952,1.1599284532870513e-08
1953,1.0773827274768166e-08
1954,1.3681550337096837e-08
1955,4.6928039232341234e-09
1956,7.849027205963921e-09
1957,5.3010225653515874e-09
1958,1.1581141212690937e-08
1959,1.4726420527466644e-08
1960,1.3149583422134015e-08
1961,4.863711433600315e-09
1962,3.170978146727066e-09
1963,1.0992290633282664e-08
1964,4.867174663303331e-09
1965,5.47204326295514e-09
1966,1.0524242366471981e-08
1967,4.930335473218861e-09
1968,2.245707925174756e-09
1969,7.720988071113766e-09
1970,5.058597457585634e-09
1971,9.24911525146399e-09
1972,6.15617617993891e-09
1973,4.410563025913916e-09
1974,5.063014563155832e-09
1975,4.569184142155791e-09
1976,3.9994687561772935e-09
1977,1.7630346071939584e-09
1978,4.752473081737207e-09
1979,1.7555920051037788e-09
1980,6.822180653731635e-09
1981,3.795329828193417e-09
1982,8.069752865935698e-09
1983,1.8314416649900522e-08
1984,4.059306057957457e-09
1985,2.4062232206745193e-09
1986,4.795588481876223e-09
1987,4.27757174126242e-09
1988,7.195864570874733e-09
1989,1.6464366536794728e-09
1990,1.0897302227252936e-08
1991,2.930732601047481e-09
1992,3.8569610283367695e-09
1993,7.754890618549837e-09
1994,3.164955852952289e-09
1995,3.253470548525428e-09
1996,3.736664533349199e-09
1997,2.876936688878118e-09
1998,8.582632826659164e-09
1999,5.484241422104574e-09
2000,4.418031385178267e-09
2001,8.762423314712109e-09
2002,2.6287327870022636e-09
2003,6.250384487760385e-09
2004,8.809582230373536e-09
2005,4.954124666056714e-09
2006,7.412201852297073e-09
2007,5.1928234212628155e-09
2008,8.51487946817997e-09
2009,7.629108011997232e-09
2010,7.085689812669216e-09
2011,1.7207874014601998e-08
2012,1.157445883581687e-08
2013,9.761937480590177e-09
2014,1.559120532679259e-08
2015,7.536356427806368e-09
2016,6.8354220061905835e-09
2017,8.301517473441322e-09
2018,7.744400232212456e-09
2019,8.673358475874693e-09
