year,en_ADP août_NOUN,en_ADP routes_NOUN
1800,3.229057028875104e-06,1.2576657937302116e-08
1801,1.5049074093553827e-06,5.476719877606229e-08
1802,1.996153372374465e-06,1.7902721083373763e-08
1803,1.7104474636653322e-06,2.574447819370107e-07
1804,1.3076091889274721e-06,4.943701981119375e-08
1805,1.2736091719034448e-06,1.9900143755080535e-08
1806,2.616555661916209e-06,1.729001475325731e-08
1807,1.3323749712412791e-06,7.402083213037258e-08
1808,1.8468503526491986e-06,1.8128592405020072e-08
1809,1.1746958179514877e-06,1.3554183553310395e-08
1810,1.2706887915214793e-06,1.6380887757350138e-08
1811,4.424990692086794e-06,2.757784489659798e-08
1812,1.2749255873245602e-06,1.093555379583222e-07
1813,1.2538233491454776e-06,3.4508900625951355e-08
1814,2.108273719159115e-06,4.090680150170556e-08
1815,1.6722786497780362e-06,2.1577788444915313e-08
1816,1.610734670975944e-06,3.476405829871965e-08
1817,1.7250157569037583e-06,1.2454987263765815e-08
1818,1.7464524759702726e-06,1.9073883805731384e-08
1819,1.4108480659302813e-06,3.415846450138815e-08
1820,1.4109246251337026e-06,3.678609061807947e-08
1821,1.8588905845717818e-06,1.4792232216898071e-08
1822,2.080315269381572e-06,3.8097340393505874e-08
1823,1.6444790915670637e-06,5.534304681198421e-08
1824,1.1781136777244683e-06,8.168479315173727e-08
1825,2.1414837760858063e-06,3.6982862550161144e-08
1826,2.0584259203815236e-06,6.253669226907732e-08
1827,2.2066152070010503e-06,8.756409641819118e-08
1828,1.4033620914233325e-06,3.668920439681145e-08
1829,1.4334350559863651e-06,4.0293926084622456e-08
1830,1.4768122404973383e-06,1.8264462808836868e-07
1831,2.106371908894289e-06,1.1537492694557727e-07
1832,1.6073603603672382e-06,1.1094574858816486e-07
1833,1.712060280212313e-06,4.980960410794211e-08
1834,1.9070446235502914e-06,1.2414926575665675e-07
1835,1.572365945889942e-06,1.1722786297241328e-07
1836,1.6492720149585693e-06,5.3765998930810355e-08
1837,1.7241653935684553e-06,8.697363895748822e-08
1838,1.4461162649581638e-06,8.205810320127682e-08
1839,1.8058980764124044e-06,5.4533506932408216e-08
1840,1.6026136968605442e-06,7.45253601053264e-08
1841,1.8253619415986577e-06,6.677370212315736e-08
1842,1.7783610477550837e-06,5.1653639143722785e-08
1843,1.8606769316420468e-06,5.729703916879103e-08
1844,1.798052654322646e-06,4.7201628439186294e-08
1845,2.0228325858795415e-06,1.0435026287503035e-07
1846,1.7586922140822026e-06,4.156695965207291e-08
1847,1.936167237204245e-06,8.575225507456707e-08
1848,1.563991084196914e-06,9.252004873339104e-08
1849,2.0973675063373776e-06,4.692472543865733e-08
1850,1.806551837901793e-06,5.974316330537022e-08
1851,2.226346261124945e-06,7.932809853450351e-08
1852,2.215538575711662e-06,6.77096707590863e-08
1853,2.3159151538720835e-06,5.613615861044252e-08
1854,2.0725506004737326e-06,6.442623823321725e-08
1855,2.072889685678092e-06,5.7845614520601885e-08
1856,2.195645937064228e-06,5.95376744572107e-08
1857,3.4492743026248718e-06,8.933161410595858e-08
1858,2.9264183609711836e-06,3.963877404089544e-08
1859,2.294533398838894e-06,3.360834455179429e-08
1860,2.0958925297520636e-06,4.4856404007864725e-08
1861,2.199997020113642e-06,5.4705177554570383e-08
1862,2.305528397528178e-06,6.099281793514599e-08
1863,2.513293267725203e-06,8.690640473929534e-08
1864,2.557987336615497e-06,4.219360716373188e-08
1865,2.573231697056144e-06,8.990073041559299e-08
1866,2.9140156314610977e-06,7.103794530394225e-08
1867,2.9267306160818407e-06,4.949867715708933e-08
1868,2.54304710267661e-06,4.198892966655876e-08
1869,2.6898424252408404e-06,5.909058131692291e-08
1870,3.3205875809017016e-06,5.3326655091723296e-08
1871,3.312745256778271e-06,2.9739295692721157e-08
1872,2.8144316388534207e-06,3.3260365017717675e-08
1873,3.301880042272387e-06,6.584605216630735e-08
1874,3.1862589793263396e-06,6.930546553318706e-08
1875,3.066738543111569e-06,5.092159111041994e-08
1876,3.477063167167671e-06,6.711076672161198e-08
1877,3.0837492701607516e-06,3.958282235316801e-08
1878,3.4579821388547316e-06,5.495570576385944e-08
1879,4.13906781204787e-06,4.215434401544371e-08
1880,3.513129129828485e-06,4.3641353641987735e-08
1881,3.663355354177611e-06,4.113779539238749e-08
1882,3.697731926877168e-06,3.460800113153084e-08
1883,3.993190361484267e-06,4.9922778799782463e-08
1884,3.805218184993464e-06,4.093051941822523e-08
1885,4.0381908519293574e-06,4.7053141827291256e-08
1886,4.026961384795413e-06,3.3558012257906e-08
1887,4.155660612070733e-06,4.113222473733913e-08
1888,5.000208865624245e-06,6.847864142400795e-08
1889,4.2201961640842e-06,3.383173863280575e-08
1890,4.396682410146013e-06,3.998175834851736e-08
