year,bien_ADV entré_VERB,bien_ADV rentré_VERB
1800,1.2576657937302116e-08,1.5720821977538435e-08
1801,3.095537337571841e-08,0.0
1802,1.1189200677108602e-08,2.9091921760482364e-08
1803,5.851017448321727e-09,1.950339223455444e-09
1804,4.943701892301533e-09,0.0
1805,2.842877755426798e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,5.693910232196231e-09,0.0
1808,6.798221985349073e-09,0.0
1809,4.51806094758922e-08,1.581321384946932e-08
1810,8.190443878675069e-08,9.360507036149102e-09
1811,2.0056614147279106e-08,0.0
1812,2.6672083208723052e-08,5.3344164641089264e-09
1813,1.4378708002027452e-08,0.0
1814,6.293354282149721e-09,0.0
1815,1.0788894222457657e-08,0.0
1816,4.4034472068688046e-08,0.0
1817,1.2454987263765815e-08,0.0
1818,2.5034472272977837e-08,0.0
1819,1.7596784473994376e-08,0.0
1820,9.493184904840746e-09,1.1866481131050932e-09
1821,2.7612166775270452e-08,1.97229765852569e-09
1822,4.110502516141423e-08,1.0025615893027862e-09
1823,5.5343047478118024e-08,8.499110748516614e-08
1824,2.105278085196005e-08,0.0
1825,6.075755720758025e-08,8.805443041381977e-10
1826,1.6735169694470642e-08,3.5231937367541377e-09
1827,3.594736597278825e-08,9.217273055917019e-10
1828,2.4765213879618386e-08,1.0089530988466322e-08
1829,2.6576845613135447e-08,8.57317605795771e-10
1830,2.1917355041978226e-08,3.1310507520032616e-09
1831,2.9623292263636358e-08,4.677361609140007e-09
1832,4.058990654698391e-08,1.3529969367098715e-09
1833,2.20088942626262e-08,2.3167257001688313e-09
1834,2.42697808516823e-08,0.0
1835,3.025235173481633e-08,1.5882484660778573e-08
1836,1.9490174807401672e-08,8.736974699274924e-09
1837,4.383471363667013e-08,1.6003149028165353e-08
1838,1.7042836475411605e-08,0.0
1839,3.355908262392404e-08,6.9914751765765e-10
1840,1.46502836528839e-08,2.5478754661634184e-09
1841,2.760835826620678e-08,7.704658244733764e-09
1842,2.4149754196400863e-08,6.708265054555795e-09
1843,4.252975926988256e-08,2.3627644285539873e-09
1844,2.8540519281250454e-08,4.939705144924034e-09
1845,5.5802278353667134e-08,2.7901139176833567e-09
1846,3.102885770545072e-08,0.0
1847,1.4022381478184798e-08,1.6179670936367074e-09
1848,2.654923214606697e-08,1.367687696429698e-08
1849,2.011059585527164e-08,1.256912263158938e-08
1850,3.530277936647508e-08,6.788996032014438e-09
1851,4.385618268543112e-08,4.514607354622058e-09
1852,3.2552726736412296e-08,3.2552727180501506e-09
1853,3.642878354526147e-08,5.3747386541402875e-09
1854,3.792835201466005e-08,7.27393034694046e-09
1855,1.5920811335945473e-08,6.368324534378189e-09
1856,2.847454005916461e-08,1.1389816201301528e-08
1857,6.83411300883563e-08,3.417056337884361e-08
1858,3.8170671956549995e-08,7.34051397444091e-09
1859,6.059686086246074e-08,2.036869339860914e-09
1860,2.1512764902809067e-08,9.154367819341758e-10
