year,un_DET ados_NOUN,un_DET radeau_NOUN
1800,0.0,2.546773161249405e-07
1801,0.0,3.000290007548756e-07
1802,2.2378401354217203e-09,2.842056971985585e-07
1803,3.705644502360883e-08,1.2092102852356845e-07
1804,4.943701803483691e-08,3.683057776537879e-07
1805,6.822906661874129e-08,1.6772978028711805e-07
1806,5.76333825108577e-09,2.881669205478943e-07
1807,2.2775640928784924e-08,2.8469549784304604e-07
1808,2.4926814390369145e-08,2.039466551195801e-07
1809,1.219876537561504e-07,2.349391774458809e-07
1810,2.3401266702194334e-08,1.9891076874500868e-07
1811,2.2563691359778204e-08,1.8552368663549146e-07
1812,0.0,1.5203086567439072e-07
1813,0.0,2.501895199902293e-07
1814,9.440030979135372e-09,1.4160046646338742e-07
1815,2.697223555614414e-09,2.3735567822313897e-07
1816,2.3176038865813098e-08,2.897004947044479e-07
1817,2.0239355080775567e-08,1.8215418950973117e-07
1818,7.152706427149269e-09,3.7074860625985195e-07
1819,1.035105001712111e-09,1.4698490358178162e-07
1820,1.6613073583471305e-08,3.761674545188498e-07
1821,1.1833786173198746e-08,2.4357876937664e-07
1822,2.2056354964661296e-08,1.9349438673543773e-07
1823,1.4824030225568663e-08,2.7375041933286326e-07
1824,1.6842225392110777e-09,3.494761706690497e-07
1825,8.805443485471187e-09,2.579994937690344e-07
1826,7.0463874735082754e-09,2.9242508592375316e-07
1827,1.2904182611350734e-08,1.8803236745412732e-07
1828,4.586150570418113e-09,1.8344602370490293e-07
1829,1.628903412154159e-08,2.4004892473783457e-07
1830,1.0436835395921662e-08,2.0664934563541237e-07
1831,4.677361609140007e-09,2.5101841627517274e-07
1832,1.6235963684607668e-08,2.81423363834854e-07
1833,1.2741991461950875e-08,4.865124054731496e-07
1834,2.8003592333902816e-08,3.397769239299464e-07
1835,7.563087933704082e-09,3.615156103364825e-07
1836,7.392825018825988e-09,1.949017520708196e-07
1837,6.262101948095733e-09,2.4491776029478274e-07
1838,1.5780404982734808e-08,2.0009552614830284e-07
1839,1.0487212875887053e-08,2.929428015718827e-07
1840,4.458782232319436e-09,3.0510808901595965e-07
1841,6.420548537278137e-10,3.1845919323814087e-07
1842,7.379091560011375e-09,2.978469630932068e-07
1843,4.134837805480629e-09,2.4927164155030823e-07
1844,3.2931368743049916e-09,2.1570045616314815e-07
1845,1.2834524554250493e-08,1.9419192920366868e-07
1846,1.8734404250153602e-08,1.7446414180000147e-07
1847,2.6966118227278457e-09,2.0709978265642803e-07
1848,8.04522137798358e-09,2.0756671581523278e-07
1849,1.0893239199560867e-08,1.9440242393642393e-07
1850,2.2403686017469226e-08,2.5526624547467236e-07
1851,6.449438760824933e-09,2.547528374918784e-07
1852,2.408901877970493e-08,2.0378007459243008e-07
1853,1.7318601663873778e-08,2.1439235275977353e-07
1854,8.313063126763609e-09,1.6781995837433783e-07
1855,2.4411910715116392e-08,2.542022841112157e-07
1856,1.7084723857863082e-08,1.9673318485402547e-07
1857,7.810414537345878e-09,2.606725857390302e-07
1858,3.817067173450539e-08,1.903639938460877e-07
1859,1.3748867822016564e-08,2.281293633998871e-07
1860,6.865775947773045e-09,2.384712791680954e-07
1861,4.715963619617014e-09,2.8201461876875555e-07
1862,2.710791813242963e-09,1.7303887056563383e-07
1863,2.5972028361298527e-08,2.40740726908939e-07
1864,1.4384183621984903e-08,2.5076426446446476e-07
1865,8.47231973466478e-09,1.9909951953778204e-07
1866,3.8924903300596725e-09,3.318348014147432e-07
1867,2.1837651686951176e-08,2.518609125701232e-07
1868,7.409810987013543e-09,2.4699370548830757e-07
1869,1.0743741896135361e-08,2.7396542989777117e-07
1870,1.7202147262196377e-08,2.586056044862062e-07
1871,2.1242354542039266e-09,4.0360474606870866e-07
1872,9.675742762560446e-09,2.9208649277023824e-07
1873,1.0176207432266438e-08,3.1426522251187805e-07
1874,1.3144139998644278e-08,2.46153900818058e-07
1875,1.0298748520654044e-08,2.8149912179031844e-07
1876,2.3579458385825092e-08,2.406313921454739e-07
1877,4.329371083855449e-09,2.9501571940926397e-07
1878,9.058632899350272e-09,3.140326174655428e-07
1879,3.665595160740054e-09,2.724758934036231e-07
1880,6.417846254436199e-09,2.9907162879538873e-07
1881,1.2550513517339823e-08,2.705332793340176e-07
1882,1.3310770263785798e-08,2.222898665138473e-07
1883,1.0742875922176154e-08,2.9132153755995205e-07
1884,7.922036360241691e-09,3.3800687848639654e-07
1885,9.023890079618013e-09,2.8038516042272477e-07
1886,5.808117542471791e-09,2.8266171847590726e-07
1887,1.3710741875172516e-08,3.068594511823619e-07
1888,1.7119659467823567e-08,2.7328048624042367e-07
1889,1.5662841412744655e-08,2.518585047184274e-07
1890,8.520702365899524e-09,2.5824282268160914e-07
1891,3.1871101313640793e-09,2.98313493019009e-07
1892,3.1342561879199593e-09,2.8897840653741014e-07
1893,5.542574843531156e-09,3.0915251247876085e-07
1894,1.2603078580752936e-09,2.40718798671935e-07
1895,3.611168697403855e-09,2.088459245541685e-07
1896,2.358811590497112e-09,2.1936947147693786e-07
1897,6.992056267307589e-09,2.8842232069337115e-07
1898,3.960848538042683e-09,2.5123096936141565e-07
1899,1.6029977345510815e-08,2.188921097712182e-07
1900,2.595526460424935e-09,2.6110997008998993e-07
1901,5.588738916095792e-10,2.7440708993964336e-07
1902,2.455141867585553e-09,2.450231582074025e-07
1903,3.7801539676252105e-09,1.9494794489816059e-07
1904,5.912087708281888e-09,2.0101098030522735e-07
1905,5.676835002077496e-09,1.9043200882862266e-07
1906,1.3374879870298173e-08,1.9547901564109793e-07
1907,1.2857108266928208e-08,1.7588523881784113e-07
1908,3.437972351250096e-09,1.5176192214028106e-07
1909,7.151278680339601e-09,1.6392930746178536e-07
1910,4.809735720812114e-09,1.7742580959989596e-07
1911,9.576673676292558e-09,2.3835276152794904e-07
1912,5.2094213387476884e-09,1.453428559727854e-07
1913,4.242391771214216e-09,2.216649721553665e-07
1914,1.3393487430235496e-09,1.8616947683458562e-07
1915,1.1780762143587253e-08,1.7082104963872524e-07
1916,1.2086208478478966e-08,3.08747683863686e-07
1917,5.483212106582869e-09,3.454423649351668e-07
1918,0.0,3.181726171419541e-07
1919,2.762354567309444e-09,3.2043313158425235e-07
1920,4.543339038320937e-09,1.6810354352969625e-07
1921,4.543648568500203e-09,1.8098865872673287e-07
1922,5.164555005876537e-09,2.0436880876495422e-07
1923,0.0,1.8790227462872622e-07
1924,5.156649773851996e-09,1.9466353484709487e-07
1925,7.698724324711748e-09,1.9356793057312416e-07
1926,1.1146138456652466e-09,2.2961044710001488e-07
1927,1.1149224876660924e-09,2.909947736107199e-07
1928,0.0,2.0109832465919908e-07
1929,4.4561625500705304e-09,2.606855113995721e-07
1930,0.0,2.6469079550395236e-07
1931,2.2810713318222042e-09,2.3266927140497273e-07
1932,2.1919073223131136e-09,2.674126950985567e-07
1933,4.588264879146209e-09,1.9500125203464336e-07
1934,7.188948103475923e-09,2.1806475913876966e-07
1935,1.196828414151696e-09,2.0465766414901054e-07
1936,6.0623572828433225e-09,2.1339497724426337e-07
1937,7.554670666820584e-09,1.8508944332751298e-07
1938,0.0,2.0096082908871438e-07
1939,0.0,2.1258729887563277e-07
1940,1.5214697057785997e-08,2.3836359108742045e-07
1941,1.7709016475464523e-08,1.8299315662773097e-07
1942,2.4273694165799498e-08,2.9128434198000264e-07
1943,0.0,3.251623472699805e-07
1944,1.6065930807940276e-08,2.795472084926587e-07
1945,0.0,3.1806159750402685e-07
1946,6.960552134671616e-09,2.7285363035645105e-07
1947,1.1920870957027319e-09,2.503382985352687e-07
1948,4.348755133776194e-09,2.40268724915893e-07
1949,5.890204768377316e-09,2.100839829877188e-07
1950,4.2541445921528975e-09,2.297238097526133e-07
1951,0.0,2.6653504825446817e-07
1952,4.217921456550755e-09,2.720559493241126e-07
1953,5.386913581872932e-09,2.7796475166042e-07
1954,1.856781906006688e-08,2.92198824469736e-07
1955,9.385607846468247e-10,2.947080979254224e-07
1956,9.593255967388359e-09,2.7733230734128256e-07
