year,on_PRON appelait_VERB,on_PRON rappelait_VERB
1800,1.2042149819535553e-06,6.917161776698322e-08
1801,1.3715611828502006e-06,5.000483582762172e-08
1802,1.1301092683879688e-06,4.699464284385613e-08
1803,1.5466189893231785e-06,3.900678358093046e-08
1804,3.0700389288540464e-06,9.393033373328308e-08
1805,1.955899847416731e-06,2.2743021466098412e-08
1806,2.1151450937395566e-06,4.034336864577881e-08
1807,2.4085239829219063e-06,5.4092146317685774e-08
1808,1.7516751427137933e-06,9.290903157932462e-08
1809,1.8162605215366057e-06,6.099382598989678e-08
1810,1.7410542341167456e-06,7.254392997424475e-08
1811,1.7900528348491207e-06,1.0028307073639553e-08
1812,1.8563769685897569e-06,6.934741492159446e-08
1813,1.6132910900523711e-06,4.601186631703058e-08
1814,1.37824454782276e-06,9.44003133440674e-08
1815,1.494261823609122e-06,4.045835400035003e-08
1816,1.5180306149886746e-06,1.1356259221884102e-07
1817,2.2777057893108577e-06,1.2299299712026368e-07
1818,3.5537029816623544e-06,1.0371423897481691e-07
1819,2.2627395424024144e-06,1.3249343666643654e-07
1820,2.5548533812980168e-06,1.5189095492473825e-07
1821,2.569903813309793e-06,8.973954379598581e-08
1822,2.7590494937612675e-06,1.0927921323400369e-07
1823,2.714774154810584e-06,1.1266263477693883e-07
1824,2.603808013645903e-06,1.650538123953993e-07
1825,3.44997272350156e-06,1.7698940979471445e-07
1826,2.8511444725154433e-06,1.6382850276386307e-07
1827,2.9071278504488873e-06,1.032334573380922e-07
1828,3.732209506779327e-06,1.4492236033447625e-07
1829,3.77562662379205e-06,6.858540757548326e-08
1830,3.4065832323904033e-06,1.7116411044071356e-07
1831,2.9716838980675675e-06,1.0290196428286436e-07
1832,3.6476797049544984e-06,1.2312272446024508e-07
1833,3.837656095129205e-06,1.1467792404573629e-07
1834,3.913035243385821e-06,1.5495320759839615e-07
1835,4.063647224938904e-06,1.5277437626082246e-07
1836,3.254187276979792e-06,1.0887615076171642e-07
1837,3.83310214147059e-06,1.6977253380900947e-07
1838,4.546650302472699e-06,1.9062728995322686e-07
1839,3.824336772595416e-06,1.9646045501531262e-07
1840,4.0708681581236306e-06,1.3885921390510703e-07
1841,4.463565346668474e-06,1.6243988198993975e-07
1842,4.167845077063248e-06,1.690482775984492e-07
1843,3.8341760273397085e-06,1.5476107506628978e-07
1844,4.45122327619174e-06,2.2228672946766892e-07
1845,3.953591544814117e-06,2.5390037450279124e-07
1846,4.841087047680048e-06,2.1661654869831182e-07
1847,3.729414174813428e-06,1.8175163063460786e-07
1848,3.946181323044584e-06,2.083712473677224e-07
1849,3.831068397630588e-06,1.8937478074576575e-07
1850,3.384993419786042e-06,1.3917441776811756e-07
1851,4.564267896967067e-06,1.457573119978406e-07
1852,3.7103598060639342e-06,1.1458560322807898e-07
1853,3.872200522891944e-06,1.1406389432977448e-07
1854,3.361075300745142e-06,1.1742201877495972e-07
1855,5.454470056065475e-06,1.5230909866659204e-07
1856,4.097745431863586e-06,1.6256374379963745e-07
1857,4.305002789806167e-06,1.6743575770306052e-07
1858,3.6516610180115094e-06,1.2234189838977727e-07
1859,4.082395321347576e-06,1.7415232989037577e-07
1860,3.689210188895231e-06,1.5791284369015557e-07
1861,3.567626549738634e-06,2.0231485109434288e-07
1862,4.408199174577021e-06,1.5361153415938134e-07
1863,3.716996843650122e-06,1.9678805784906217e-07
