year,bien_ADV amener_VERB,bien_ADV ramener_VERB
1800,3.144164484325529e-09,2.829747991484055e-08
1801,1.4287095950749062e-08,1.1905912700171939e-08
1802,1.7902721083373763e-08,2.2378401354217203e-09
1803,1.755305234496518e-08,1.3652374342143503e-08
1804,2.7190360185613827e-08,0.0
1805,1.1371510844071508e-08,2.842877711017877e-09
1806,6.051504897186533e-08,2.881669125542885e-09
1807,3.9857372513552036e-08,2.8469551160981155e-09
1808,4.985362878073829e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,4.680253518074551e-09,2.106114038724627e-08
1811,2.0056614147279106e-08,2.2563691359778204e-08
1812,6.668020802180763e-08,1.8670457180292033e-08
1813,1.1502966579257645e-08,1.7254450312975678e-08
1814,5.349351184236184e-08,6.293354282149721e-09
1815,7.282503844407984e-08,5.394447111228828e-09
1816,2.7811246638975717e-08,2.5493642752394408e-08
1817,6.227493543065066e-08,2.3353100786493997e-08
1818,5.960588467246453e-09,1.1921176934492905e-08
1819,4.140419918030602e-08,7.24573512300708e-09
1820,1.4239777357261119e-08,1.779972080839798e-08
1821,7.198886464721e-08,1.0847637454958203e-08
1822,6.115625694746996e-08,0.0
1823,5.0401702367253165e-08,4.348382276475604e-08
1824,2.4421225930382207e-08,1.9368560089105813e-08
1825,3.9624492131906663e-08,8.805443485471187e-09
1826,3.8755132436563144e-08,1.2331177856594877e-08
1827,3.410390903013649e-08,6.452091305675367e-09
1828,1.4675682002973645e-08,8.255071293206129e-09
1829,1.457439946506156e-08,2.571952872898464e-09
1830,3.965997663613052e-08,4.174734336004349e-09
1831,6.236482441579483e-09,2.0268567268999504e-08
1832,3.5177919244233635e-08,2.841293600397421e-08
1833,3.359252431778259e-08,1.7375443306377747e-08
1834,1.8669062740173104e-08,1.4001796166951408e-08
1835,3.6302822081779595e-08,1.9664028627630614e-08
1836,3.49478987970997e-08,1.8818100855355624e-08
1837,3.965997663613052e-08,9.045257876039159e-09
1838,5.7440672662778525e-08,1.64116205070286e-08
1839,2.7266752411492234e-08,1.6080392128969834e-08
1840,4.0766007458614695e-08,1.4013314952876499e-08
1841,2.632424944692957e-08,6.420548537278137e-09
1842,2.0124794275488966e-08,2.4149754196400863e-08
1843,5.2571508035725856e-08,2.008349753168659e-08
1844,3.896878553177885e-08,1.5367971784030487e-08
1845,5.1896119401817487e-08,1.897277535078956e-08
1846,4.507965911670908e-08,2.9272506196775794e-08
1847,5.8786138623645456e-08,2.480882876909618e-08
1848,5.470750608083108e-08,6.43617736884039e-09
1849,2.6814127807028854e-08,1.0893239199560867e-08
1850,4.820187271548093e-08,1.425689166723032e-08
1851,3.224719336003545e-08,1.4188765717904062e-08
1852,1.8229528109259263e-08,7.812654523320361e-09
1853,6.330247970254277e-08,1.1346670270029335e-08
1854,2.961528799971802e-08,1.7145692865483397e-08
1855,2.600399184871094e-08,1.2205955357558196e-08
1856,6.367942972929086e-08,4.659470143053568e-09
1857,4.1980978693345605e-08,7.810414537345878e-09
1858,3.8170671956549995e-08,2.936205589776364e-08
1859,3.4626779665813956e-08,1.629495471888731e-08
1860,6.133426211363258e-08,2.4716793944890014e-08
1861,4.95176202264247e-08,1.839225838295988e-08
1862,4.382446761042047e-08,1.8975542914745347e-08
1863,2.597202808374277e-08,2.6471489888990618e-08
1864,5.513937040291239e-08,2.4932585773740357e-08
1865,4.23615986733239e-08,2.5416959203994338e-08
1866,4.4277076227672296e-08,1.556996132023869e-08
1867,5.28956434209249e-08,2.0867089389753346e-08
1868,5.433861360870651e-08,2.222943251695142e-08
1869,4.932354258357918e-08,1.12320943657096e-08
1870,6.880858904878551e-08,2.5229814681893004e-08
1871,5.416800519242315e-08,2.2304472935275044e-08
1872,9.010535251263718e-08,3.1446163006876304e-08
1873,4.788803664723673e-08,2.095101514498765e-08
1874,3.764003864148435e-08,7.766991494406739e-09
1875,5.034943839632433e-08,1.602027666081085e-08
1876,6.590155976482492e-08,1.813804395567331e-08
1877,8.906135207098487e-08,1.36065949618569e-08
1878,6.099479321619583e-08,1.6305540029293297e-08
1879,2.3826368433788048e-08,2.504823370941267e-08
1880,3.914886193001621e-08,1.7969970400599777e-08
1881,5.159655458442103e-08,2.091752193678076e-08
1882,5.989846840748214e-08,2.5290463057103807e-08
1883,6.066565561013704e-08,2.338155447034751e-08
1884,7.459917839014452e-08,2.772712726084592e-08
1885,5.4787903991382336e-08,1.9981470700258797e-08
1886,4.7755634113855194e-08,2.774989482645651e-08
1887,4.1785117588233334e-08,6.528924512139156e-09
1888,5.896771781976895e-08,1.8387781963724592e-08
1889,5.7639258699282436e-08,2.0674951528576457e-08
1890,4.5880703680722945e-08,1.5075089621063853e-08
1891,3.952016314201501e-08,1.4023283867459213e-08
1892,4.764069316820496e-08,1.6298132621272998e-08
1893,5.850495554682311e-08,1.7243566574620672e-08
1894,8.255016581415475e-08,9.452309157609307e-09
1895,5.476939080040211e-08,1.2037228991346183e-08
1896,5.838058569906934e-08,2.0639602027472392e-08
1897,3.96216535136773e-08,1.2818770045441852e-08
1898,6.280773590106037e-08,2.0370077180587032e-08
1899,3.205995469102163e-08,7.738609753005221e-09
1900,4.360484595622438e-08,1.038210584169974e-08
1901,5.532851687917173e-08,1.2295225282343836e-08
1902,4.7629754362787935e-08,2.7988617645746672e-08
1903,5.022204874194358e-08,7.020286574288548e-09
1904,2.418581246388385e-08,1.0211787859759625e-08
1905,4.025391930895239e-08,1.186974607492175e-08
1906,3.446603713541663e-08,2.2634411678268407e-08
1907,4.4742737514980035e-08,2.1599941391059474e-08
1908,4.862275204686739e-08,1.1296195090437777e-08
1909,4.1807474815414025e-08,2.4204327431220918e-08
1910,3.847788576649691e-08,2.8858414324872683e-08
1911,6.171634225893285e-08,2.0217422402879492e-08
