year,en_PRON amenait_VERB,en_PRON ramenait_VERB
1800,1.8864987794131594e-08,3.144164484325529e-09
1801,1.4287095950749062e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,4.943701892301533e-09
1805,1.9900143755080535e-08,0.0
1806,5.4751712497136396e-08,2.881669125542885e-09
1807,9.11025637151397e-08,2.8469551160981155e-09
1808,1.8128591960930862e-08,1.1330369531492579e-08
1809,3.162642769893864e-08,6.7770917766551975e-09
1810,4.212228077449254e-08,0.0
1811,3.008491944456182e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,3.738464116054274e-08,0.0
1814,3.1466771410748606e-09,9.440030979135372e-09
1815,3.776112933451259e-08,2.697223555614414e-09
1816,2.7811246638975717e-08,0.0
1817,1.2454987263765815e-08,2.3353100786493997e-08
1818,4.2916237674717195e-08,1.3113295338484932e-08
1819,4.7614829412623294e-08,1.1386155129855524e-08
1820,7.357218123615894e-08,2.3732962262101864e-08
1821,2.3667571014129862e-08,1.3806083387635226e-08
1822,4.411270992932259e-08,0.0
1823,3.360113609574e-08,7.906149512848515e-09
1824,5.642145595174952e-08,4.210556348027694e-09
1825,1.937197424695114e-08,1.2327619813845558e-08
1826,4.051672775062798e-08,2.3781558056157337e-08
1827,6.636436467033491e-08,2.7651818612639545e-09
1828,8.6219628769868e-08,7.337841001486822e-09
1829,4.4580517055692326e-08,3.1720752247110795e-08
1830,2.6092090266160994e-08,5.218417697960831e-09
1831,2.0268567268999504e-08,1.7150327380477393e-08
1832,4.8707889277466165e-08,1.2176972319366541e-08
1833,3.938433579264711e-08,8.108539617524002e-09
1834,3.9205030333278046e-08,4.667265685043276e-09
1835,3.857174846189082e-08,1.5126175867408165e-08
1836,3.696412420595152e-08,2.016225053580456e-08
1837,1.0088941593267009e-07,1.0436836284100082e-08
1838,3.7241754569095065e-08,1.7042836475411605e-08
1839,5.5931799636255164e-08,1.677954131196202e-08
1840,6.942960339983983e-08,1.46502836528839e-08
1841,3.9165346521485844e-08,2.0545755319290038e-08
1842,4.024958855097793e-08,1.609983613093391e-08
1843,3.9576303123567413e-08,2.8353174030826267e-08
1844,3.3480223038395707e-08,2.7991662321369404e-08
1845,6.249855033502172e-08,2.0646844234306627e-08
1846,3.805426018743674e-08,2.2247105491146613e-08
1847,7.011190916728083e-08,2.3730184040005042e-08
1848,4.827133182061516e-08,1.609044275596716e-08
1849,7.960444037280467e-08,1.6758828991214614e-08
1850,5.5669765686161554e-08,1.0862393651223101e-08
1851,1.012561909874421e-07,5.8044946626978344e-09
1852,2.799534470909748e-08,2.408901877970493e-08
1853,3.2845626662947325e-08,1.6124216628554677e-08
1854,4.9358813924982314e-08,1.6626126253527218e-08
1855,5.3600064831016425e-08,9.552486801567284e-09
1856,4.866558001026533e-08,3.520488789376941e-08
1857,4.246912865824015e-08,2.2943092758964667e-08
1858,4.208561321661364e-08,1.1255455234504552e-08
1859,4.8884864156661934e-08,3.513599722282379e-08
1860,3.249800428761773e-08,5.950338888283113e-09
1861,2.4051415081771665e-08,1.9335450573976232e-08
1862,6.144461650592348e-08,7.228778020618165e-09
1863,2.4973104473247076e-08,5.9935452156878455e-09
1864,3.9796240969280916e-08,1.6302074357099627e-08
1865,4.989254875908955e-08,1.8827376990770972e-08
