year,un_DET are_NOUN,un_DET rare_ADJ
1800,2.3266816917555388e-07,5.785262402469016e-07
1801,1.9287579511306774e-07,5.786273504782002e-07
1802,2.215461734067503e-07,7.205845520275034e-07
1803,2.788984960755414e-07,6.299595680658854e-07
1804,1.7797326279378467e-07,6.130190128850188e-07
1805,7.675769686521505e-08,8.699205995554848e-07
1806,1.2391176706927354e-07,1.0518092175004767e-06
1807,9.679647661187119e-08,8.170761027770368e-07
1808,1.6768947030953996e-07,9.38154640195421e-07
1809,8.132509665692567e-08,9.149073483261105e-07
1810,7.254393041833396e-08,7.160787731663731e-07
1811,1.2033968266322859e-07,1.28863744919272e-06
1812,9.601949502169305e-08,1.2775927884511873e-06
1813,1.6966876126289776e-07,1.3314683400267313e-06
1814,7.237357690925705e-08,1.0824569756096025e-06
1815,9.170560133497929e-08,1.0033671742348815e-06
1816,9.965696534663948e-08,1.1240378920973626e-06
1817,1.0275364747958093e-07,1.3280130373161114e-06
1818,7.867977047659735e-08,1.263644769045058e-06
1819,4.761483052284632e-08,1.422234268133593e-06
1820,5.814575754214957e-08,1.552135731941462e-06
1821,5.522433432769702e-08,1.4072343867965742e-06
1822,4.210758675071702e-08,1.201068769773883e-06
1823,4.051901758561627e-08,1.6158193038018354e-06
1824,5.3895122142932905e-08,1.5772743680031454e-06
1825,4.6668849673636714e-08,1.7038532575952559e-06
1826,8.631824399696342e-08,1.3291248563973568e-06
1827,7.558163994669798e-08,1.7337690891849888e-06
1828,6.879225594724758e-08,1.3813485439939654e-06
1829,4.372319883927389e-08,1.4728716033474143e-06
1830,8.975679155476257e-08,1.4705501687473088e-06
1831,4.2096254482260065e-08,1.5170243352624624e-06
1832,1.3259370146290195e-07,1.5992424293731489e-06
1833,8.571884757557768e-08,1.527880651330804e-06
1834,7.747660801804557e-08,1.756758726934038e-06
1835,7.109302657681837e-08,1.353036424234233e-06
1836,9.677879853065008e-08,1.5081362718660785e-06
1837,7.86241648453867e-08,1.404798181781075e-06
1838,6.690891618532646e-08,1.275056648708528e-06
1839,8.45968473051073e-08,1.5933571715365247e-06
1840,7.771020305025189e-08,1.5586627828412247e-06
1841,6.292137255670127e-08,1.6288932065400274e-06
1842,9.391570809924588e-08,1.620046028438793e-06
1843,7.265500523434554e-08,1.8193286410728149e-06
1844,1.5971713107632013e-07,1.6805974771827437e-06
1845,1.2332303644946307e-07,1.6662561082014804e-06
1846,1.176754762521881e-07,1.584228067841309e-06
1847,9.384208876639377e-08,1.7134271175223148e-06
1848,1.3274615284775138e-07,1.5446825685216936e-06
1849,1.6339858888159142e-07,1.5501917940419219e-06
1850,1.3442211965752904e-07,1.4677809740959447e-06
1851,1.0125618654655e-07,1.5130383261841018e-06
1852,1.2825774886593422e-07,1.4948212756493717e-06
1853,1.1406389655022053e-07,1.8751865544786028e-06
1854,8.988499344830814e-08,1.827834706702447e-06
1855,1.1091498564042013e-07,1.9837331315386564e-06
1856,1.0199063016358423e-07,1.7405710144302589e-06
1857,9.226052422039999e-08,1.9369827981563503e-06
1858,9.102237541469549e-08,1.8879802254900824e-06
1859,1.1202781236008263e-07,2.174867182347384e-06
1860,9.245911714028665e-08,1.7516883357160395e-06
1861,9.290448810261864e-08,1.9000617896836047e-06
1862,1.418647754825031e-07,2.036256511850354e-06
1863,1.683187182965895e-07,1.85799896179617e-06
1864,1.4096500455806904e-07,1.915014300024609e-06
1865,1.0637468372820535e-07,1.8300210680166629e-06
1866,8.417510199976164e-08,1.6197625862801601e-06
1867,1.640250335555038e-07,1.7494385620153707e-06
1868,1.353525531655464e-07,1.794162249879605e-06
1869,9.962379388106513e-08,1.6794422172949908e-06
1870,9.28915917519646e-08,1.7672338898933049e-06
1871,1.2108142133371302e-07,1.2108142541933375e-06
1872,1.1066630656308973e-07,1.64971419858162e-06
1873,6.644465111449449e-08,1.5862912290387499e-06
1874,7.946230157207523e-08,1.4834954082942886e-06
1875,9.440519954662108e-08,1.727329031808722e-06
1876,9.371322651219316e-08,1.4637401504202785e-06
1877,8.102109150254222e-08,1.669900342449182e-06
1878,8.213160263004227e-08,1.809914898842635e-06
1879,1.2646303693131244e-07,1.6067524910567954e-06
1880,9.370055242818864e-08,1.8560411803036914e-06
1881,9.203710221727945e-08,1.6301722292055842e-06
1882,1.1513815967312269e-07,1.761014882362133e-06
1883,1.4471285614270357e-07,1.4382815489710765e-06
1884,9.242376020068832e-08,1.5606412127056046e-06
1885,1.6371914757229433e-07,1.3638965148388138e-06
1886,1.2777858227064343e-07,1.5391511158924231e-06
1887,1.2404956895029073e-07,1.374338586934698e-06
1888,1.0905857417142784e-07,1.506530075801038e-06
1889,1.2655575876152625e-07,1.4234390990353063e-06
1890,1.5075088288796223e-07,1.5035762759296745e-06
1891,1.3832057632612305e-07,1.3653579014061279e-06
1892,1.1095266749805432e-07,1.2687469517214112e-06
1893,1.114673375823827e-07,1.3850278723914755e-06
1894,1.0586585896810163e-07,1.4140653696870231e-06
1895,9.509410947572405e-08,1.4613195506996135e-06
1896,7.135404911373655e-08,1.3439329107356457e-06
1897,1.1303824309916166e-07,1.3803484790742004e-06
1898,1.216546299254162e-07,1.2459697016353743e-06
1899,1.1055156967643143e-07,1.3045084603646728e-06
1900,1.225088535061758e-07,1.3138554972869088e-06
1901,1.2798212334352854e-07,1.1786649989353748e-06
1902,1.0164287767011615e-07,9.687990214501951e-07
1903,9.34238104655094e-08,1.1453867241328908e-06
1904,9.835564274141007e-08,1.122759252680794e-06
1905,1.0115087789586141e-07,1.1317544466038498e-06
1906,1.1471531824458481e-07,1.1620712809801148e-06
1907,8.948547225440251e-08,1.1581683416750366e-06
1908,9.478980600441389e-08,1.1256903347245384e-06
1909,1.2102164137495208e-07,1.178310695237883e-06
1910,1.1810572808634845e-07,1.214725504183889e-06
1911,1.3354139472010473e-07,1.1071698233777738e-06
1912,1.224213976858124e-07,1.118462717997204e-06
1913,1.4477161336401423e-07,1.188399963325537e-06
1914,1.151839890134454e-07,1.1732695330834986e-06
1915,9.778032228346945e-08,8.859132938354719e-07
1916,1.109733647197686e-07,1.1152273735604012e-06
1917,1.0966424524028184e-07,1.1130920448687576e-06
1918,1.7344428826504554e-07,1.1842453959687305e-06
1919,1.390385036548203e-07,1.283574116328623e-06
