year,rien_PRON entrer_VERB,rien_PRON rentrer_VERB
1800,4.4018303668735825e-08,2.2009151834367913e-08
1801,3.333655484993869e-08,0.0
1802,4.0281122437590966e-08,0.0
1803,1.950339267864365e-08,0.0
1804,1.9774807569206132e-08,0.0
1805,3.695740957709859e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,2.8469550272802735e-08,0.0
1808,4.985362878073829e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,2.106114038724627e-08,4.680253518074551e-09
1811,2.5070768572277302e-08,0.0
1812,3.7340914360584065e-08,5.3344164641089264e-09
1813,1.7254450312975678e-08,0.0
1814,4.72001566720337e-08,0.0
1815,2.697223555614414e-09,0.0
1816,4.8669683394564345e-08,0.0
1817,2.1796227045456362e-08,0.0
1818,1.4305412854298538e-08,0.0
1819,3.8298885840504227e-08,0.0
1820,5.102586797534059e-08,0.0
1821,4.832129363308013e-08,0.0
1822,5.012807946513931e-08,0.0
1823,5.0401702367253165e-08,9.882686891060644e-10
1824,1.51580028528997e-08,0.0
1825,3.874394849390228e-08,0.0
1826,2.906634755106552e-08,0.0
1827,4.885154680778214e-08,0.0
1828,3.8523666034961934e-08,0.0
1829,2.0575622983187714e-08,0.0
1830,2.0873670791843324e-08,4.174734336004349e-09
1831,9.354723218280014e-09,0.0
1832,2.0294953273491956e-08,0.0
1833,1.3900354645102198e-08,0.0
1834,3.827157613045529e-08,9.334530925997342e-10
1835,4.386591001548368e-08,7.563087933704082e-10
1836,3.8980349614803345e-08,0.0
1837,2.1569462660409044e-08,1.3915781860163179e-09
1838,5.302215910774066e-08,0.0
1839,2.027527834513876e-08,0.0
1840,1.2739377552861697e-08,0.0
1841,1.7977535904378783e-08,0.0
1842,2.1466448174578545e-08,2.0124795163667386e-09
1843,1.7130041385371442e-08,0.0
1844,1.4819115712327857e-08,1.6465684371524958e-09
1845,1.2834524554250493e-08,2.7901139176833567e-09
1846,2.3418005312692003e-08,0.0
1847,1.4022381478184798e-08,0.0
1848,5.229394162142853e-08,0.0
1849,1.1731181359664333e-08,0.0
1850,1.6293590476834652e-08,0.0
1851,2.1283147688677673e-08,3.8696632564949596e-09
1852,2.278690836021724e-08,0.0
1853,2.149895550473957e-08,1.7915795513800958e-09
1854,6.182840905921694e-08,0.0
1855,3.6087172361476405e-08,2.1227748447927297e-09
1856,2.2261913201759853e-08,5.177189232874468e-10
1857,2.880090299584026e-08,0.0
1858,3.8170671956549995e-08,1.468102750479261e-09
1859,2.2914779407301467e-08,0.0
1860,2.9293977021893625e-08,4.577183909670879e-10
1861,1.5091083938045813e-08,2.357981809808507e-09
1862,2.1234535907410645e-08,0.0
1863,1.0988165932701577e-08,5.494082966350788e-09
1864,3.068625886726295e-08,2.3973640850272204e-09
1865,1.553258677233771e-08,0.0
1866,3.795178216137174e-08,0.0
1867,3.4454963326879806e-08,0.0
1868,4.44588676984381e-09,0.0
1869,1.12320943657096e-08,9.767038289254515e-10
1870,1.3188312664169644e-08,1.7202146374017957e-09
1871,4.248470908407853e-09,3.18635318130589e-09
1872,2.1770421909650395e-08,6.047339295989218e-10
1873,1.0176207432266438e-08,0.0
1874,1.0156835372754358e-08,0.0
1875,3.3757011408397375e-08,0.0
1876,1.269663130187837e-08,0.0
1877,1.0514186854493346e-08,0.0
1878,2.0532901601200138e-08,6.039088673581716e-10
1879,1.7717043832021773e-08,0.0
1880,6.417846254436199e-09,5.776061406947974e-09
1881,9.064259565150223e-09,2.091752326904839e-09
1882,1.1979693681496428e-08,0.0
1883,8.847074184359371e-09,0.0
1884,1.3203393933736152e-08,0.0
1885,1.0313017106966527e-08,0.0
1886,1.355227396970804e-08,0.0
1887,1.1752064210668323e-08,6.528924623161458e-10
1888,1.3315291091942072e-08,0.0
1889,2.380751951136517e-08,1.2530273485467092e-09
1890,6.554386366985909e-09,0.0
1891,1.0836173736095134e-08,1.2748440081367107e-09
1892,6.8953633913793055e-09,6.268512375839919e-10
1893,1.847524977449666e-08,0.0
1894,5.671385139294216e-09,0.0
1895,2.467631965430428e-08,0.0
1896,1.1204354777305525e-08,5.89702897624278e-10
1897,6.992056267307589e-09,0.0
1898,1.867257104493092e-08,5.6583548957434e-10
1899,1.7688250864011934e-08,4.4220627160029835e-09
1900,1.1939421895590385e-08,0.0
1901,1.1177477832191585e-09,0.0
1902,5.4013122863239005e-09,0.0
1903,9.1803746826713e-09,2.1600881083827517e-09
1904,1.1824175416563776e-08,2.6873125946735854e-09
1905,7.741138396966107e-09,0.0
1906,1.2346042410626978e-08,2.0576738091193647e-09
1907,5.65712765521198e-09,0.0
1908,1.3751889405000384e-08,0.0
1909,1.6502950117569526e-08,0.0
1910,6.947395991829808e-09,0.0
1911,8.51259862599818e-09,0.0
1912,1.2502610502451716e-08,5.209421227725386e-10
1913,8.484783542428431e-09,0.0
1914,7.366418142140674e-09,2.678697486047099e-09
1915,1.5314990164938536e-08,0.0
1916,1.0987462051303964e-09,0.0
1917,1.864292187292449e-08,0.0
1918,1.4932290071101306e-08,0.0
1919,1.1049418269237776e-08,1.8415696745321952e-09
1920,3.028892692213958e-09,0.0
1921,1.060184651180407e-08,0.0
1922,1.3280283539529592e-08,7.377935484775833e-10
1923,1.1677542488541803e-08,4.246379248229459e-09
1924,2.1915761649893284e-08,5.156649773851996e-09
1925,8.798542339150117e-09,0.0
1926,1.5604593173179637e-08,0.0
1927,6.689535148041159e-09,0.0
1928,3.4278122562625413e-09,1.1426041224282812e-09
1929,1.1140406375176326e-09,0.0
1930,8.402882833991043e-09,0.0
1931,1.9389105432310316e-08,1.1405356659111021e-09
1932,1.3151444377967891e-08,0.0
1933,9.176529758292418e-09,2.2941324395731044e-09
1934,7.188948103475923e-09,0.0
1935,0.0,0.0
1936,7.274828739411987e-09,0.0
1937,6.295559185076627e-09,0.0
1938,5.186085783037697e-09,0.0
1939,6.117620188206274e-09,0.0
1940,1.2678914806940611e-08,0.0
1941,2.9515025978810172e-09,0.0
1942,1.2136847082899749e-08,0.0
1943,1.4516175816936538e-08,0.0
1944,6.4263723231761105e-09,0.0
1945,0.0,0.0
