year,en_ADP onde_NOUN,en_ADP rondes_NOUN
1800,3.144164395507687e-08,1.5720821977538435e-08
1801,1.1905912700171939e-08,1.6668277424969347e-08
1802,2.4616241489638924e-08,2.2378401354217203e-09
1803,1.3652374342143503e-08,0.0
1804,2.4718509905596875e-08,2.4718509461507665e-09
1805,2.842877711017877e-09,2.842877711017877e-09
1806,5.4751712497136396e-08,1.729001475325731e-08
1807,1.1387820464392462e-08,8.540865792383556e-09
1808,2.039466551195801e-08,4.5321479902327155e-09
1809,1.3554183553310395e-08,6.7770917766551975e-09
1810,3.510190182964834e-08,1.1700633351097167e-08
1811,2.757784400841956e-08,5.0141535368197765e-09
1812,0.0,0.0
1813,2.8757416004054903e-08,0.0
1814,2.2026739543434815e-08,0.0
1815,2.697223555614414e-09,5.394447111228828e-09
1816,2.3176038865813098e-08,4.6352077731626196e-09
1817,7.784366928831332e-09,6.227493631882908e-09
1818,7.152706427149269e-09,0.0
1819,2.3807414706311647e-08,1.035105001712111e-09
1820,1.779972080839798e-08,7.119888678630559e-09
1821,5.9168927535324656e-09,1.0847637454958203e-08
1822,2.7069162911175226e-08,7.017931125119503e-09
1823,2.7671523739059012e-08,1.9765373782121287e-09
1824,8.421112696055388e-10,0.0
1825,2.641632912414593e-09,2.641632912414593e-09
1826,1.145037931138404e-08,1.4092774947016551e-08
1827,1.1982455028203276e-08,0.0
1828,6.420610709767516e-09,9.172301140836225e-09
1829,4.115124596637543e-08,2.571952872898464e-09
1830,8.349468672008697e-09,1.1480519646056564e-08
1831,1.5591206548037917e-08,0.0
1832,1.7588959622116818e-08,2.3000948701223933e-08
1833,2.3167257001688313e-09,1.0425265983826648e-08
1834,8.401078055442213e-09,8.401078055442213e-09
1835,1.4369867074037757e-08,3.025235173481633e-09
1836,3.024337402735e-08,6.048674894287842e-09
1837,2.0177884252348122e-08,6.262101948095733e-09
1838,2.9667161172142187e-08,1.0730675015224733e-08
1839,1.1885507689157748e-08,3.0063343814390464e-08
1840,1.0191501864653674e-08,2.5478754661634184e-09
1841,7.0626033910059505e-09,1.2841097074556274e-09
1842,7.379091560011375e-09,6.037438549100216e-09
1843,8.269675610961258e-09,2.008349753168659e-08
1844,6.586273748609983e-09,2.195424508855126e-09
1845,6.138250796539069e-09,1.1718478631905782e-08
1846,5.269050973311096e-09,2.9272506640865004e-09
1847,1.4561703842730367e-08,8.629157832729106e-09
1848,1.206783295515379e-08,1.126331028444838e-08
1849,1.256912263158938e-08,3.3517659758786067e-09
1850,1.6972489191857676e-08,6.1100964288129944e-09
1851,2.0638204034639784e-08,3.8696632564949596e-09
1852,6.510545436100301e-09,5.859490670445666e-09
