year,mon_DET art_NOUN,mon_DET rare_ADJ
1800,4.62192190298083e-07,0.0
1801,4.857612598829775e-07,4.7623651688866175e-09
1802,5.616978739908518e-07,0.0
1803,8.132914706138195e-07,1.950339223455444e-09
1804,9.318878211317383e-07,0.0
1805,5.628897792320231e-07,0.0
1806,6.570205428602094e-07,0.0
1807,4.5551283189837477e-07,0.0
1808,4.6454516855476413e-07,0.0
1809,5.512034491061968e-07,0.0
1810,7.511806749960215e-07,9.360507036149102e-09
1811,6.317833203262069e-07,0.0
1812,6.267939367532449e-07,0.0
1813,8.109591576044295e-07,0.0
1814,8.05549368543268e-07,3.1466771410748606e-09
1815,3.452446240004292e-07,0.0
1816,2.294427776661223e-07,0.0
1817,6.414318249881035e-07,1.71256075987003e-08
1818,3.385614242290558e-07,0.0
1819,4.771834039019041e-07,3.1053151161586356e-09
1820,6.312968103827643e-07,1.1866481131050932e-08
1821,6.95234909642295e-07,0.0
1822,5.81485721795616e-07,4.010246357211145e-09
1823,5.761606370890959e-07,0.0
1824,5.709514461216258e-07,0.0
1825,5.529818380978213e-07,8.805443041381977e-10
1826,4.6065758851909777e-07,4.403992281964975e-09
1827,4.027948388163338e-07,2.7651818612639545e-09
1828,4.29263693035864e-07,2.7516904310687096e-09
1829,4.115124605519327e-07,8.57317605795771e-10
1830,5.458465146546132e-07,1.0436835840010872e-09
1831,4.646179385670024e-07,0.0
1832,4.0995807548682706e-07,0.0
1833,6.150906965984859e-07,0.0
1834,3.957841023805031e-07,1.8669061851994684e-09
1835,5.279035306671176e-07,3.781543966852041e-09
1836,5.094328638932666e-07,6.720750067579218e-10
1837,3.3954507294708947e-07,6.957890930081589e-10
1838,4.267021349591005e-07,0.0
1839,2.684726539969873e-07,6.9914751765765e-10
1840,3.78996487526706e-07,5.095750932326837e-09
1841,3.781703159511096e-07,3.2102742686390684e-09
1842,4.5414954419342735e-07,6.708265054555795e-10
1843,3.6091227784140756e-07,2.953455480181333e-09
1844,2.755257848541248e-07,5.488561272137815e-10
1845,3.4430005602104075e-07,3.9061593959388574e-09
1846,2.968232255540215e-07,1.7563503984519002e-09
1847,2.3891980394097345e-07,5.393223645455691e-10
1848,2.308978608311918e-07,8.045221711050488e-10
1849,1.6172270367320607e-07,5.865590679832167e-09
1850,2.600185489143314e-07,6.788996032014438e-10
1851,2.405640655567254e-07,0.0
1852,3.05995646820989e-07,6.510545436100301e-10
1853,2.4425201505806626e-07,1.1943863675867306e-09
1854,3.0394637207109554e-07,2.0782657816909023e-09
1855,4.0279652679942046e-07,7.960405667972736e-09
1856,2.842276991543713e-07,0.0
1857,3.3194262449853795e-07,9.763018171682347e-10
1858,3.513659239118283e-07,9.787352039936081e-10
1859,3.8293143322931655e-07,5.092173349652285e-10
1860,3.240646293534155e-07,4.119465657481669e-09
1861,3.070092322587925e-07,1.4147891747029462e-09
1862,3.406561730479041e-07,4.517986262886353e-10
1863,3.4313044583456076e-07,0.0
1864,2.881631520068595e-07,1.4384183844029508e-09
1865,2.913536594206789e-07,4.23615986733239e-09
1866,2.6031029065620714e-07,4.865612912574591e-10
1867,2.5234619549507897e-07,2.426405742994575e-09
1868,2.2772820074123956e-07,0.0
1869,3.7944943098722206e-07,9.767038289254515e-10
1870,2.4713749802174334e-07,0.0
1871,2.1985836617943733e-07,1.0621177271019633e-09
1872,2.2435628199701796e-07,6.047339295989218e-10
1873,2.5859539132255804e-07,0.0
1874,2.437640485020154e-07,5.974609140757536e-10
1875,3.2212196821035377e-07,5.721527140956084e-10
1876,3.343446195458455e-07,6.04601479992084e-10
1877,2.4677415888518794e-07,0.0
1878,2.451869975939047e-07,6.039088673581716e-10
1879,2.5170419426512325e-07,0.0
1880,3.2281767747832646e-07,7.059631101924424e-09
1881,2.3776251412144234e-07,6.9725074602899895e-09
1882,3.281104981045502e-07,6.655385131892899e-10
1883,3.2797369975412494e-07,0.0
1884,2.0531277389324032e-07,1.3203393933736152e-09
1885,1.8756799446961736e-07,0.0
1886,2.749175616045818e-07,6.453463874400711e-10
1887,2.141487260853836e-07,2.6115698492645834e-09
1888,2.098743472345177e-07,1.268122939990235e-09
1889,1.7918291117524632e-07,0.0
1890,2.038414184113435e-07,0.0
1891,2.473197344698974e-07,2.5496880162734215e-09
1892,2.59516411027505e-07,6.268512375839919e-10
1893,1.601188315270008e-07,6.158416554491453e-10
1894,2.444997271311422e-07,0.0
1895,2.3773527324522092e-07,6.018614495673091e-10
1896,2.8895442749643507e-07,3.5382172747233653e-09
