year,en_PRON apportez_VERB,en_PRON rapportez_VERB
1800,9.432493897065797e-09,7.231578535993322e-08
1801,1.1905912700171939e-08,7.857902772911984e-08
1802,8.951360541686881e-09,6.937304419807333e-08
1803,1.950339223455444e-09,2.3404069793286908e-08
1804,7.4155526164076946e-09,7.909923027682453e-08
1805,2.842877711017877e-09,1.9900143755080535e-08
1806,0.0,1.729001475325731e-08
1807,1.9928686256776018e-08,3.9857372513552036e-08
1808,2.2660739951163578e-09,7.024829073998262e-08
1809,0.0,3.840352036377226e-08
1810,1.8721014072298203e-08,4.680253340438867e-08
1811,2.5070767684098882e-09,2.2563691359778204e-08
1812,0.0,4.800974906515876e-08
1813,2.8757416448144113e-09,7.476928232108548e-08
1814,6.293354282149721e-09,9.440030979135372e-09
1815,8.091670444798638e-09,4.5852800667489646e-08
1816,0.0,5.0987285504788815e-08
1817,1.8682481339737933e-08,7.472992535895173e-08
1818,1.5497530370112145e-08,4.2916237674717195e-08
1819,4.140420006848444e-09,1.0868602373648173e-07
1820,8.306536791735653e-09,5.814575843032799e-08
1821,3.155676253641104e-08,9.565643921405353e-08
1822,2.606660132187244e-08,9.724847416237026e-08
1823,7.906149512848515e-09,5.929612001409623e-08
1824,2.4421225930382207e-08,4.5474010335055937e-08
1825,5.283265824829186e-09,5.547429182684027e-08
1826,1.4973572604048968e-08,4.7563116112314674e-08
1827,6.452091305675367e-09,9.493790997794349e-08
1828,5.503380862137419e-09,9.172300963200541e-08
1829,8.57317605795771e-10,8.744639501401252e-08
1830,3.861629238599562e-08,4.383471008395645e-08
1831,2.0268567268999504e-08,1.0446107978623331e-07
1832,2.3000948701223933e-08,7.306183391619925e-08
1833,6.950177322551099e-09,1.158362863407092e-07
1834,1.3068342852307069e-08,5.0406466556296436e-08
1835,2.2689263801112247e-09,5.899208588289184e-08
1836,6.048674894287842e-09,4.2340726480460944e-08
1837,1.530736071231331e-08,8.697363540477454e-08
1838,2.9667161172142187e-08,3.850418650586107e-08
1839,1.4682098203877558e-08,6.222413162504381e-08
1840,1.9109065441114126e-09,5.350538501147639e-08
1841,1.5409316489467528e-08,2.43980835534785e-08
1842,4.024959032733477e-09,6.507016792056675e-08
1843,7.678984559333912e-09,7.324569395450453e-08
1844,6.037417232818143e-09,3.677336124496833e-08
1845,1.5066614622583074e-08,3.013322924516615e-08
1846,8.196302303531411e-09,5.21050615986951e-08
1847,4.314578916364553e-09,3.613459753637471e-08
1848,2.011305433313737e-08,4.585776380849893e-08
1849,1.6758829879393033e-09,1.9272654583346593e-08
1850,6.1100964288129944e-09,3.530277936647508e-08
1851,6.449438760824933e-10,2.7732586005413395e-08
1852,8.463708844885787e-09,3.2552726736412296e-08
1853,7.763511611358354e-09,6.449686651421871e-08
1854,1.0391328686409906e-08,7.273930435758302e-08
1855,2.1227748447927297e-09,4.8823821430232783e-08
1856,4.141751386299575e-09,5.021873406008126e-08
1857,7.810414537345878e-09,3.661131842136456e-08
1858,1.4191660291373864e-08,4.4532452392331834e-08
1859,4.582956236731661e-09,4.8884864156661934e-08
1860,8.238931314963338e-09,4.7144993686742964e-08
1861,1.0375120318428799e-08,4.8574428035408346e-08
1862,1.0391368654438793e-08,3.4788495639759276e-08
1863,1.4983863039219614e-09,6.193329937786984e-08
1864,7.671564716815737e-09,4.650886253898534e-08
1865,1.1296426905005319e-08,4.706844336510585e-08
1866,3.8924903300596725e-09,3.405929049904444e-08
1867,3.88224918879132e-09,2.717574432153924e-08
1868,3.457911734727759e-09,6.86642493974432e-08
1869,5.860222973552709e-09,3.662639258550371e-08
1870,5.734048791339319e-09,5.447346396181274e-08
1871,1.0621177271019633e-09,1.911811864374613e-08
1872,4.8378714367913744e-09,4.8378716144270584e-08
1873,2.9930022904522957e-09,2.5141218884527916e-08
1874,0.0,1.7326366119618797e-08
1875,1.1443054281912168e-09,4.062284375550007e-08
1876,4.836811839936672e-09,4.232210315535667e-08
1877,1.36065949618569e-08,3.216104360603822e-08
1878,2.4156354694326865e-09,4.9520526346213956e-08
1879,4.887460214320072e-09,4.7041805117942204e-08
1880,1.9895322722618403e-08,3.9790645445236805e-08
1881,6.972507571312292e-10,2.7890029841159958e-08
1882,1.3310770263785798e-09,3.394246306243076e-08
1883,3.159669414998234e-09,3.791603475633565e-08
1884,3.300848483434038e-09,3.564916539744445e-08
1885,3.86738152613475e-09,2.4493415295978593e-08
1886,8.38950331427668e-09,2.3232470169887165e-08
1887,1.3057849246322917e-09,2.3504128421336645e-08
1888,8.242799331981132e-09,3.6775563927449184e-08
