year,rien_PRON emporté_VERB,rien_PRON remporté_VERB
1800,9.432493897065797e-09,0.0
1801,3.809892135109294e-08,0.0
1802,8.951360541686881e-09,0.0
1803,3.1205427575287104e-08,0.0
1804,1.730295728918918e-08,0.0
1805,0.0,0.0
1806,8.645007376628655e-09,0.0
1807,7.402083213037258e-08,0.0
1808,2.4926814390369145e-08,0.0
1809,9.036122072814123e-09,2.259030518203531e-09
1810,7.020380277111826e-09,0.0
1811,2.0056614147279106e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,6.326631307729258e-08,2.8757416448144113e-09
1814,0.0,0.0
1815,1.0788894222457657e-08,0.0
1816,1.622322720606917e-08,0.0
1817,3.113746815941454e-09,0.0
1818,8.344824387052086e-09,1.1921177378582115e-09
1819,4.140420006848444e-09,0.0
1820,2.3732962262101864e-08,2.610625848831205e-08
1821,2.1695274909916407e-08,0.0
1822,2.0051231786055723e-09,0.0
1823,3.063632902922109e-08,9.882686891060644e-10
1824,1.0105335235266466e-08,0.0
1825,7.924898959288385e-09,8.805443041381977e-10
1826,3.5231937367541377e-09,0.0
1827,2.5808365222701468e-08,0.0
1828,4.494427585655103e-08,0.0
1829,1.800366966620004e-08,0.0
1830,2.817945699007396e-08,0.0
1831,2.6505050598757407e-08,0.0
1832,1.488296597074168e-08,0.0
1833,1.7375443306377747e-08,0.0
1834,2.9870498963191494e-08,0.0
1835,1.9664028627630614e-08,0.0
1836,1.68018754465038e-08,0.0
1837,1.6003149028165353e-08,0.0
1838,2.5248647617104325e-08,0.0
1839,3.076248944466897e-08,0.0
1840,1.0828470564661075e-08,0.0
1841,1.0914932957462042e-08,1.2841097074556274e-09
1842,2.2137275124123335e-08,1.341653010911159e-09
1843,2.7171790151214736e-08,0.0
1844,1.0977122322231025e-08,0.0
1845,2.7343116215661212e-08,0.0
1846,2.6930706553685013e-08,5.854501328173001e-10
1847,1.833696039454935e-08,1.6179670936367074e-09
1848,2.735375304041554e-08,1.6090443422100975e-09
1849,5.027649052635752e-08,0.0
1850,2.4440385715251978e-08,0.0
1851,1.3543821175687754e-08,6.449438760824933e-10
1852,4.296959943417278e-08,0.0
1853,3.1054046445433414e-08,0.0
1854,2.0782657372819813e-08,0.0
1855,1.5920811335945473e-08,0.0
1856,2.692138423299184e-08,0.0
1857,2.6848299583548396e-08,0.0
1858,1.8106600663259087e-08,0.0
1859,3.7172863898149444e-08,0.0
1860,5.2179895959625355e-08,0.0
1861,1.8863854478468056e-08,0.0
1862,2.5752521892741242e-08,0.0
1863,3.446288232566985e-08,0.0
1864,2.8768367243969806e-08,0.0
1865,1.7415324293779122e-08,0.0
1866,3.259960479340407e-08,0.0
1867,2.8631587767335986e-08,0.0
1868,2.1241458370013788e-08,0.0
1869,1.5627261262807224e-08,0.0
1870,3.956493799250893e-08,0.0
1871,2.973929724703339e-08,0.0
1872,1.3304146229131675e-08,6.047339295989218e-10
1873,1.7359413462259e-08,4.190203295451056e-09
1874,3.525019565131515e-08,5.377148060148329e-09
1875,1.830888685105947e-08,0.0
1876,2.1161051577678336e-08,0.0
1877,2.9068635498674666e-08,0.0
1878,1.7513357875031943e-08,0.0
