year,on_PRON éveille_VERB,on_PRON réveille_VERB
1800,3.144164395507687e-08,9.118076960135113e-08
1801,2.1430643037945174e-08,9.762848840466631e-08
1802,3.1329761895904085e-08,5.370816325012129e-08
1803,2.1453731902099094e-08,2.5354410126965377e-08
1804,2.4718509905596875e-08,2.719036085174764e-08
1805,2.842877711017877e-09,3.4114531644036106e-08
1806,5.76333825108577e-09,7.492339904047185e-08
1807,4.270432718556094e-08,4.555128185756985e-08
1808,3.172503504345059e-08,6.798222074166915e-08
1809,4.743964154840796e-08,3.8403518809460024e-08
1810,3.510190094146992e-08,8.424456154898508e-08
1811,3.259199754523934e-08,3.259199843341776e-08
1812,1.0668832928217853e-08,7.201462359773814e-08
1813,1.1502966579257645e-08,5.751483289628823e-09
1814,0.0,6.293354459785405e-08
1815,5.394447111228828e-09,2.4275011334395913e-08
1816,2.7811246638975717e-08,7.879853392012137e-08
1817,1.556873407970727e-08,2.1796228155679387e-08
1818,3.695565053973837e-08,1.5497530814201355e-08
1819,4.7614829412623294e-08,3.312336116501058e-08
1820,3.678608972990105e-08,3.085285271708926e-08
1821,1.577838082411631e-08,4.930744079700844e-08
1822,1.9048670196752937e-08,4.511527151862538e-08
1823,1.9765373782121287e-09,5.040170203418626e-08
1824,2.189489300974401e-08,3.8737119290033206e-08
1825,7.924898959288385e-09,3.78634048558979e-08
1826,2.9066349105377753e-08,2.3781557056956615e-08
1827,1.7512819638909605e-08,7.373818311506852e-08
1828,1.2841221419535032e-08,4.677873488567741e-08
1829,2.0575622095009294e-08,3.600733933240008e-08
1830,1.878630451201957e-08,3.965997752430894e-08
1831,2.494592976631793e-08,3.274153215215847e-08
1832,2.8412935226818092e-08,5.4119878578617886e-08
1833,2.89590715851773e-08,3.01174338801502e-08
1834,3.4537765314368585e-08,4.107193540825449e-08
1835,1.4369867074037757e-08,3.7059130875150004e-08
1836,3.1587525484155776e-08,4.8389401263726484e-08
1837,1.87863058442872e-08,4.313892487672888e-08
1838,1.641162095111781e-08,3.3454458314707836e-08
1839,2.1673573602498664e-08,5.8029242744339626e-08
1840,2.6752691617559776e-08,5.5416290223320175e-08
1841,3.0818632978935057e-08,4.6227950356581005e-08
1842,3.085801969504587e-08,1.34165305532008e-08
1843,2.539971788451112e-08,4.725528701676751e-08
1844,4.061535285870832e-08,5.59833241986496e-08
1845,3.738752596404993e-08,5.245414191890063e-08
1846,2.2247104602968193e-08,5.5032313817093836e-08
1847,1.3483059113639229e-08,7.011190561456715e-08
1848,2.8962798603870965e-08,6.355725090667619e-08
1849,1.1731180471485914e-08,5.027648875000068e-08
1850,2.5798184921654865e-08,6.042206557310692e-08
1851,4.2566295377355345e-08,4.7725847052149106e-08
1852,3.711010743145948e-08,4.817803667123144e-08
1853,2.6276500530997282e-08,3.881755805679177e-08
1854,2.961528844380723e-08,3.429138556443334e-08
1855,3.767925349507095e-08,4.0332722051061864e-08
1856,3.1063136063380625e-08,3.054541641844821e-08
1857,3.221795985552944e-08,4.4421731182353597e-08
1858,1.3212925420447164e-08,4.99154948485625e-08
1859,3.6154431448665036e-08,4.8884864156661934e-08
1860,2.746310379109218e-08,5.401077096678364e-08
1861,3.867090159204167e-08,5.611997000443125e-08
1862,2.0330938765855677e-08,5.0601447032505575e-08
1863,3.646073309937492e-08,4.3453202203114216e-08
1864,2.7329949414678367e-08,3.3083621397977936e-08
1865,1.3649848362717876e-08,3.1065172656497e-08
1866,5.352174170525359e-08,4.135770881319445e-08
1867,1.455843445796745e-08,4.998395830568825e-08
1868,3.0627219094192526e-08,5.186867735318401e-08
1869,2.2952539868725808e-08,6.73925661942576e-08
1870,3.096386436141074e-08,5.447346573816958e-08
1871,1.4869648623516696e-08,4.885741589077952e-08
1872,2.53988243770209e-08,3.507456769469286e-08
1873,3.831042949542507e-08,3.591602837360597e-08
1874,1.6131444624534197e-08,4.600448910707655e-08
1875,2.2313956460351392e-08,7.380769950771082e-08
1876,4.594971136917536e-08,4.6554312405078235e-08
1877,4.08197848855707e-08,5.566334415618712e-08
1878,4.1065804534667905e-08,5.7975252154562895e-08
1879,3.1157559643446575e-08,8.003215867802282e-08
1880,3.016387850607316e-08,5.711883233061599e-08
1881,4.322954616498009e-08,6.48443219120054e-08
1882,4.192892655296987e-08,2.5956001792337702e-08
1883,3.6020232130340446e-08,4.61311753241489e-08
1884,2.8387297845711146e-08,4.687205024112018e-08
1885,3.996293984620536e-08,6.510092021017044e-08
1886,2.9685934488377086e-08,5.679047987428021e-08
1887,3.32975160777238e-08,9.466941008895446e-08
1888,3.2337135635884806e-08,4.818867083145051e-08
1889,3.8843846972280716e-08,5.513320378014441e-08
1890,5.440140871115773e-08,6.030035670789857e-08
1891,3.697047534778619e-08,5.8005403147376455e-08
1892,2.7581453565517222e-08,5.014809989489777e-08
1893,3.571881657116194e-08,4.618812399215244e-08
1894,1.8904618315218613e-08,5.293293092734075e-08
1895,4.213030191380085e-08,4.694519439851774e-08
1896,3.4792471126365854e-08,4.7765936095345296e-08
1897,3.2046926223827654e-08,6.35111794267118e-08
