year,aucun_DET établissement_NOUN,aucun_DET etablissement_NOUN,aucun_DET rétablissement_NOUN
1800,3.615789267996661e-07,3.144164484325529e-09,3.144164484325529e-09
1801,3.095537426389683e-07,0.0,0.0
1802,3.8938418356337934e-07,2.2378401354217203e-09,0.0
1803,2.9645156018887064e-07,0.0,0.0
1804,6.229064481999558e-07,1.2359254730753833e-08,2.2246657849223084e-08
1805,4.2643166509037655e-07,0.0,0.0
1806,2.593502106407186e-07,8.645007376628655e-09,0.0
1807,4.5551281324662796e-07,8.540865792383556e-09,0.0
1808,6.684918361088421e-07,0.0,0.0
1809,6.16715324142092e-07,9.036122072814123e-09,0.0
1810,4.048419368629652e-07,9.360507036149102e-09,0.0
1811,4.5628796740970756e-07,1.2535384286138651e-08,0.0
1812,4.427565567510783e-07,1.3336041604361526e-08,0.0
1813,4.313612387285559e-07,1.1502966579257645e-08,0.0
1814,4.908816393367488e-07,2.2026739543434815e-08,0.0
1815,4.5043634600006044e-07,5.394447111228828e-09,0.0
1816,3.499581779919936e-07,0.0,0.0
1817,3.5341027038171546e-07,0.0,0.0
1818,4.4823625611201123e-07,5.9605886892910576e-09,0.0
1819,4.357792064979549e-07,0.0,0.0
1820,3.9278053343139163e-07,0.0,2.3732962262101864e-09
1821,5.078666571733947e-07,2.9584464877885353e-09,0.0
1822,3.1480432483022014e-07,2.0051231786055723e-09,0.0
1823,3.804834545206859e-07,9.882686891060644e-10,0.0
1824,3.46949843077482e-07,8.421112696055388e-10,2.5263338088166165e-09
1825,4.3674997840525975e-07,1.7610886082763955e-09,0.0
1826,5.822077504546996e-07,2.6423953025656033e-09,2.642395191543301e-09
1827,4.5256811986860157e-07,9.217273055917019e-10,0.0
1828,4.356843135155941e-07,5.503380862137419e-09,0.0
1829,5.709735289016749e-07,0.0,8.57317605795771e-10
1830,3.381534838808875e-07,1.0436835840010872e-09,0.0
1831,3.1650148812900625e-07,1.5591206103948707e-09,0.0
1832,4.2754703866165755e-07,4.058990921151917e-09,1.3529969367098715e-09
1833,4.1585226107088147e-07,0.0,1.1583628278799551e-08
1834,4.6766000849629563e-07,2.8003592777992026e-09,0.0
1835,4.6134837816680374e-07,7.563087933704082e-10,0.0
1836,4.596992972949465e-07,2.0162250202737653e-09,2.688300027031687e-09
1837,4.905313097935959e-07,6.262101948095733e-09,0.0
1838,3.989286447847462e-07,1.2624323808552163e-09,1.8936485712828244e-09
1839,4.069038670451164e-07,6.9914751765765e-10,0.0
1840,4.2039944680993813e-07,1.9109065441114126e-09,0.0
1841,4.3467113641781907e-07,0.0,1.926164561183441e-09
1842,4.2127904897881763e-07,1.341653010911159e-09,4.024959032733477e-09
1843,4.749156445882363e-07,0.0,0.0
1844,4.5555057681667677e-07,5.488561272137815e-10,5.488561272137815e-10
1845,5.32353727322743e-07,5.580227946389016e-10,5.580227946389016e-10
1846,4.443566616885164e-07,2.9272506640865004e-09,3.5127007969038004e-09
1847,4.7136774838918427e-07,5.393223645455691e-10,5.393223645455691e-10
1848,5.116760952716959e-07,1.6090443422100975e-09,0.0
1849,6.016419931142991e-07,7.54147322368226e-09,5.865590679832167e-09
1850,4.2363333818684623e-07,1.3577992064028876e-09,6.788996032014438e-10
1851,4.2888768270188393e-07,6.449438760824933e-10,0.0
1852,4.082112035064256e-07,3.906327261660181e-09,1.9531636308300904e-09
1853,3.21887112519903e-07,5.971931837933653e-10,9.555090940693844e-09
1854,3.2213119638413446e-07,2.0782657816909023e-09,0.0
1855,3.0461819733318407e-07,1.0613874223963649e-09,5.306937111981824e-10
1856,5.410162557950571e-07,2.0708756931497874e-09,0.0
1857,4.525158985302369e-07,0.0,4.881509085841174e-10
