year,mon_DET enseignement_NOUN,mon_DET renseignement_NOUN
1800,4.087413785214267e-08,3.144164484325529e-09
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,1.1189200677108602e-08,4.475680270843441e-09
1803,1.755305234496518e-08,0.0
1804,3.9549615138412264e-08,0.0
1805,5.401467628729506e-08,2.842877711017877e-09
1806,5.76333825108577e-09,0.0
1807,5.693910232196231e-09,0.0
1808,2.2660739062985158e-08,0.0
1809,9.036122294858728e-09,0.0
1810,2.574139479349924e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,3.738464116054274e-08,0.0
1814,6.293354459785405e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,1.5568733857662664e-08,9.341240669868967e-09
1818,1.4305412854298538e-08,0.0
1819,3.829888639561574e-08,5.175524897538253e-09
1820,1.3053129244156025e-08,0.0
1821,3.94459531705138e-09,1.97229765852569e-09
1822,9.023054303725075e-09,2.0051231786055723e-09
1823,1.7788837070042973e-08,1.9765373782121287e-09
1824,2.6105450245950124e-08,2.4421225930382207e-08
1825,3.169959583715354e-08,3.522177216552791e-09
1826,5.460950447400137e-08,6.1655889282974385e-09
1827,1.566936447261469e-08,4.608636583469661e-09
1828,1.2566052021156793e-07,0.0
1829,6.515613454327607e-08,0.0
1830,8.55820516676431e-08,1.0436835840010872e-09
1831,6.080570358335535e-08,3.1182412207897414e-09
1832,7.306183391619925e-08,9.470978667991403e-09
1833,1.0077757117699093e-07,1.1583628500844156e-09
1834,7.094243303917835e-08,9.334530925997342e-10
1835,8.621920244422654e-08,1.5126175867408165e-09
1836,7.93048524627693e-08,2.016224964762614e-09
1837,5.98378591121218e-08,1.3915781860163179e-09
1838,1.0099458980228349e-07,6.312161904276081e-10
1839,9.578320903091964e-08,3.4957374772659477e-09
1840,1.4713981499880902e-07,6.369688665408546e-10
1841,1.5280905918402254e-07,0.0
1842,1.059905891942492e-07,0.0
1843,1.140033818458619e-07,5.906911071384968e-10
1844,1.2239492197529955e-07,5.488561161115513e-09
1845,8.537748447112747e-08,0.0
1846,6.38140642550411e-08,2.3418005312692003e-09
1847,1.8876283025548446e-07,1.6179670936367074e-09
1848,8.769291681698377e-08,0.0
1849,8.463209155706863e-08,0.0
1850,8.350464941742075e-08,0.0
1851,8.70674234931812e-08,1.2898877521649865e-09
1852,1.6081047249372205e-07,6.510545436100301e-10
1853,6.151089593231518e-08,2.388772735173461e-09
1854,1.3352857308746025e-07,0.0
1855,1.3214273053563375e-07,0.0
1856,1.1803991273318104e-07,1.0354378465748937e-09
1857,1.8208029506361356e-07,2.4407544874094356e-09
1858,1.7959790898913752e-07,5.872411001917044e-09
1859,1.461453813522695e-07,9.165912473463322e-09
1860,1.3548464136703409e-07,4.119465518703791e-09
1861,1.5609840531283226e-07,4.715963730639317e-10
1862,1.1114246234456004e-07,2.7107918409985388e-09
1863,1.5882894199847897e-07,1.4983863039219614e-09
1864,2.550795281663909e-07,1.9178911792039344e-09
1865,2.0051157578748757e-07,2.8241067262513297e-09
1866,1.7467549939809146e-07,3.892490441081975e-09
1867,2.1158258078912695e-07,1.455843445796745e-09
1868,1.8919718192123014e-07,4.44588676984381e-09
1869,1.782484537748985e-07,1.4650557433881772e-09
1870,2.2936195609446486e-07,0.0
1871,1.1895718809995515e-07,1.3807530230280918e-08
1872,2.2375155150911041e-07,1.3908880158730597e-08
1873,1.3707950774488609e-07,7.183205141814142e-09
1874,1.7147127717720423e-07,5.377148060148329e-09
1875,1.6592428647710378e-07,3.432916173551348e-09
1876,1.7049761624754467e-07,1.813804439976252e-09
1877,2.2203489047356584e-07,1.8554447978047506e-09
1878,1.3285995570377906e-07,1.0266450800600069e-08
1879,2.614791236865699e-07,1.221865053580018e-09
1880,1.732818497579558e-07,5.776061628992579e-09
1881,1.3805564402780135e-07,1.045876096839038e-08
1882,1.6971231753259985e-07,7.320923645082189e-09
1883,1.6619861153976956e-07,8.847074461915128e-09
1884,1.584407218757633e-07,1.3203393933736152e-08
1885,1.5662894181645015e-07,5.156508553483263e-09
1886,1.5294709609925405e-07,5.162771099520569e-09
1887,1.6844625694290016e-07,9.140494583448344e-09
1888,1.394935256193719e-07,3.1703073499755874e-09
1889,1.403390665899451e-07,6.891650361495749e-09
1890,1.3829754819116857e-07,6.554386478008212e-10
1891,1.7210394531730344e-07,6.374220151705856e-09
1892,1.8304056759177456e-07,6.8953633913793055e-09
1893,1.5827130550594148e-07,1.4164357797774585e-08
1894,1.3989417513293745e-07,1.2603078580752936e-09
1895,1.703267913377715e-07,7.22233739480771e-09
1896,1.2678612315575322e-07,2.94851448812139e-09
1897,1.8645483246260142e-07,9.905413045352418e-09
1898,1.640922873136219e-07,1.0750874190890158e-08
1899,2.0783694942849706e-07,8.844125432005967e-09
1900,1.910307569907843e-07,8.30568502863116e-09
1901,2.2131406796077613e-07,8.941982265753268e-09
1902,1.3355972400264093e-07,7.856453987376e-09
1903,1.701069438642122e-07,6.48026410310365e-09
1904,1.6930069612897114e-07,8.061937784020756e-09
1905,1.7082113079602834e-07,2.2191263771009773e-08
1906,2.0010878287735068e-07,1.2346042410626978e-08
1907,1.8308521809728973e-07,1.1828539925318182e-08
1908,2.106985945715678e-07,1.1787333775714615e-08
1909,2.1233796054787035e-07,4.950885035270858e-09
1910,1.6620309128967392e-07,1.5498036631811374e-08
1911,2.0696254821039872e-07,1.0108711201439746e-08
1912,2.0056272376223205e-07,4.167536982180309e-09
1913,2.274982557892713e-07,1.0605979205990934e-08
1914,1.5000706454770807e-07,1.0045115850232378e-08
1915,1.272322291967498e-07,3.180805752123206e-08
1916,1.1317086068274307e-07,1.8678685265172135e-08
1917,1.6449636675019974e-07,1.6449636319748606e-08
1918,1.814847472303427e-07,2.1824115847834946e-08
1919,1.4640478962490988e-07,5.524709134618888e-09
1920,1.3630016404420076e-07,7.572231730534895e-09
1921,1.2873670929280934e-07,9.844571380313027e-09
1922,1.2173593333386634e-07,3.098732948014771e-08
1923,1.8047112027019807e-07,1.0615948120573648e-09
