year,on_PRON ajoute_VERB,on_PRON rajoute_VERB
1800,9.228122621607326e-06,0.0
1801,8.760370633353887e-06,2.3811825844433088e-09
1802,9.168431006401079e-06,0.0
1803,1.0241231620966573e-05,0.0
1804,8.58473845255503e-06,2.4718509461507665e-09
1805,9.134166248259135e-06,5.685755422035754e-09
1806,8.126307193379034e-06,0.0
1807,1.1063267265853938e-05,0.0
1808,8.62920956024027e-06,9.064295980465431e-09
1809,1.1435212172727915e-05,2.259030518203531e-09
1810,1.0593753586363164e-05,2.3401267590372754e-09
1811,1.1439790796430316e-05,0.0
1812,1.0970226981044107e-05,0.0
1813,9.990326361730695e-06,0.0
1814,1.0777369652714697e-05,0.0
1815,7.910956469459052e-06,2.697223555614414e-09
1816,8.431443006884365e-06,0.0
1817,7.796821932970488e-06,0.0
1818,7.81313951847551e-06,0.0
1819,9.608879963707295e-06,2.070210003424222e-09
1820,7.122262104530819e-06,0.0
1821,9.207671610056423e-06,0.0
1822,8.776424238021718e-06,0.0
1823,7.366554882537457e-06,2.9648061783404955e-09
1824,7.248051701935765e-06,0.0
1825,7.918735036582802e-06,1.7610886082763955e-09
1826,6.70463759888662e-06,0.0
1827,9.692884304968175e-06,9.217273055917019e-10
1828,1.0150986099688453e-05,9.172301251858528e-10
1829,9.667970516602509e-06,1.714635211591542e-09
1830,1.0338729680370307e-05,1.3567886592014133e-08
1831,1.2951614507983322e-05,4.053713453799901e-08
1832,1.1183872857145616e-05,0.0
1833,1.0301320912731171e-05,1.9692168340412763e-08
1834,7.568437581539911e-06,4.573919998307474e-08
1835,7.858804906391015e-06,3.403389570166837e-08
1836,7.697275123064173e-06,4.032449929525228e-09
1837,7.284215826075524e-06,2.7831562610103333e-09
1838,7.168091087805806e-06,1.8936485712828244e-09
1839,8.898749797481287e-06,0.0
1840,7.892681196608464e-06,0.0
1841,7.411239266730263e-06,5.778493683550323e-09
1842,7.4562365171004785e-06,2.0795621225033756e-08
1843,1.0308150876880973e-05,1.594865928211675e-08
1844,8.900250918486563e-06,3.787107338837359e-08
1845,7.454626484104665e-06,3.9061593959388574e-09
1846,1.0802140536725346e-05,4.625055893825447e-08
1847,9.047672051565314e-06,2.7505440591824026e-08
1848,9.115236025536433e-06,1.8504010546038785e-08
1849,7.933630058687413e-06,4.1897072478036534e-09
1850,9.144098726210359e-06,0.0
1851,8.741569217818324e-06,0.0
1852,7.5561392804956995e-06,1.9531636308300904e-09
1853,1.0172588645218639e-05,5.971931837933653e-10
1854,9.08409981548175e-06,5.715230788627679e-09
1855,8.19178808342258e-06,0.0
1856,8.308353130814794e-06,2.0708756931497874e-09
1857,8.724232998247317e-06,1.9526036343364694e-09
1858,8.101480489131063e-06,9.787352039936081e-10
1859,1.0750596288744418e-05,3.055304009791371e-09
1860,8.409202337134047e-06,1.4646988510946812e-08
1861,9.906825198413571e-06,6.602349167383892e-09
1862,9.684755696071079e-06,9.035972525772706e-10
1863,7.952435339575459e-06,1.9978483312144135e-09
1864,8.788256877778622e-06,1.4384183621984903e-08
1865,9.963919183064718e-06,2.824106559717876e-09
1866,8.77999832482601e-06,4.379051787850585e-09
1867,9.973497753890115e-06,1.1161466417775046e-08
1868,9.232624961441616e-06,1.531360938056281e-08
1869,8.161825689967372e-06,1.904572499711321e-08
1870,9.183079328067834e-06,1.777555125315189e-08
