year,en_ADP appels_NOUN,en_ADP rappel_NOUN
1800,0.0,2.0751485729775254e-07
1801,7.143547975374531e-09,1.4287095284615248e-08
1802,8.951360541686881e-09,4.2518962573012686e-08
1803,7.801356893821776e-09,7.801356893821776e-09
1804,0.0,9.887403784603066e-09
1805,0.0,5.685755422035754e-09
1806,2.881669125542885e-09,5.76333825108577e-09
1807,0.0,5.693910232196231e-09
1808,0.0,1.5862518409903714e-08
1809,0.0,1.3554183553310395e-08
1810,9.360507036149102e-09,9.360507036149102e-09
1811,2.5070767684098882e-09,3.8859690221215715e-07
1812,0.0,0.0
1813,2.8757416448144113e-09,1.1502966579257645e-08
1814,0.0,0.0
1815,0.0,1.8880564667256294e-08
1816,0.0,4.6352077731626196e-09
1817,0.0,1.0119676829845048e-07
1818,2.384235475716423e-09,3.588274353205634e-07
1819,1.1386155129855524e-08,6.624672010957511e-08
1820,4.746592452420373e-09,1.0679833017945839e-08
1821,0.0,1.8638212395671871e-07
1822,5.012807946513931e-09,5.012807946513931e-09
1823,5.929612356680991e-09,8.894418535021487e-09
1824,1.6842225392110777e-09,1.0105335235266466e-08
1825,0.0,2.034057302591208e-07
1826,0.0,4.403992281964975e-09
1827,2.7651818612639545e-09,1.566936447261469e-08
1828,9.172301251858528e-10,2.659967357487858e-08
1829,8.57317605795771e-10,3.8579290873030914e-08
1830,1.0436835840010872e-09,2.817945699007396e-08
1831,1.5591206103948707e-09,4.677361609140007e-09
1832,2.705993873419743e-09,1.3529969367098715e-09
1833,8.108539617524002e-09,6.602667923516492e-08
1834,9.334531370086552e-09,2.6136685704614138e-08
1835,6.050470346963266e-09,3.53196213609408e-07
1836,3.36037508930076e-09,5.645430078971003e-08
1837,6.957891152126194e-09,1.8786304845086477e-08
1838,1.0730675015224733e-08,6.9433778726590845e-09
1839,1.4682098203877558e-08,9.997809513606626e-08
1840,1.2739377330817092e-09,1.1592833715212691e-07
1841,6.420548537278137e-09,8.988767952189392e-09
1842,4.024959032733477e-09,2.884553929050071e-08
1843,3.5441467538532834e-09,7.265500556741245e-08
1844,1.097712254427563e-09,2.305195678786731e-08
1845,5.580227946389016e-10,5.9150416120701266e-08
1846,5.854501328173001e-10,1.0538101946622191e-08
1847,9.168480197274675e-09,5.3932236454556914e-09
1848,3.218088684420195e-09,2.654923214606697e-08
1849,1.508294644736452e-08,1.3407063903514427e-08
1850,4.752297222410107e-09,8.82569484161877e-09
1851,3.2247193804124663e-09,6.38494468407913e-08
1852,3.2552727180501506e-09,4.4401920717973553e-07
1853,1.0749477752369785e-08,8.719020172520686e-08
1854,2.5978321716024766e-09,5.507404310378661e-08
1855,4.2455496895854594e-09,1.8043586180738203e-08
1856,6.73034605824796e-09,9.318940286107136e-09
1857,1.1715622250108026e-08,6.345961978126979e-09
1858,9.297984604472731e-09,6.361778659424999e-09
1859,4.073738679721828e-09,3.6154432336843456e-08
1860,1.6477862629926676e-08,3.661747127736703e-09
1861,2.8295783494058924e-09,3.1125360067107977e-08
1862,9.487771457372673e-09,1.7168348520613108e-08
1863,1.0988165932701577e-08,1.9978482868054925e-08
1864,9.589456340108882e-09,4.315255264231155e-09
1865,1.882737743486018e-09,1.2708479601997169e-08
1866,7.784980660119345e-09,4.865612801552288e-09
1867,1.6984840200962026e-08,1.164674756637396e-08
1868,4.939874287401835e-09,9.87974857480367e-09
