year,mon_DET an_NOUN,mon_DET rang_NOUN
1800,1.8864986461863964e-08,4.4961552170263985e-07
1801,1.6668278313147766e-08,1.0548638345042605e-06
1802,1.3427040812530322e-08,4.072869046467531e-07
1803,4.290746247193056e-08,7.157745081087796e-07
1804,7.4155528384522995e-09,6.476249225784159e-07
1805,1.1371510844071508e-08,5.373039149159098e-07
1806,1.152667650217154e-08,6.051505234694332e-07
1807,2.562259604488304e-08,6.234831744222902e-07
1808,1.5862517521725295e-08,5.053345137895349e-07
1809,1.129515236897305e-08,4.6761931926653233e-07
1810,2.3401267590372754e-09,8.120239627373849e-07
1811,1.7549537378869218e-08,6.493328736922876e-07
1812,1.0668832928217853e-08,3.7607635405834117e-07
1813,1.4378708224072057e-08,9.777521841058956e-07
1814,2.5173417128598885e-08,6.136020225255834e-07
1815,3.236668266737297e-08,4.2885854423246883e-07
1816,1.1588019432906549e-08,4.1485110102712497e-07
1817,4.670620334934483e-09,9.69932109740057e-07
1818,1.4305412632253933e-08,5.686401696181065e-07
1819,6.210630232317271e-09,5.993258049841188e-07
1820,2.254631414899677e-08,8.638798085769395e-07
1821,2.7612166775270452e-08,9.131737979117815e-07
1822,7.017931125119503e-09,8.802490611969915e-07
1823,5.929612023614084e-09,7.580020664477161e-07
1824,1.1789557774477544e-08,9.035853842931374e-07
1825,1.8491430164857547e-08,5.371320463964935e-07
1826,1.0569581432307018e-08,5.355254701910894e-07
1827,3.6869092223668076e-09,4.221511114010923e-07
1828,1.0089531266022078e-08,4.77876904270147e-07
1829,1.5431717126368483e-08,6.635638314378411e-07
1830,1.8786305178153384e-08,6.637827558719778e-07
1831,7.795602829929749e-09,5.082732972283566e-07
1832,1.894195755802741e-08,6.061426098824541e-07
1833,1.3900354645102198e-08,4.841956720014196e-07
1834,1.0267984462686286e-08,4.881959743130437e-07
1835,1.5126175867408165e-08,4.840376135462066e-07
1836,1.6129799718100912e-08,4.885985243063828e-07
1837,3.478945576063097e-09,4.293018638357182e-07
1838,3.1560809521380406e-09,3.9324767797666027e-07
1839,2.9364194964465185e-08,3.3908655350245454e-07
1840,9.554533331179726e-09,4.369606525500558e-07
1841,2.0545755763379248e-08,3.51846047408344e-07
1842,1.0062398025922903e-08,3.374257189214802e-07
1843,2.953455535692484e-09,3.5146120902496136e-07
1844,4.939705144924034e-09,3.9243212635042823e-07
1845,8.370341586516616e-09,2.728731414158858e-07
1846,1.0538102390711401e-08,3.249248230474677e-07
1847,4.853901280910122e-09,1.887628320318413e-07
1848,1.3676876908785829e-08,2.9043249938354165e-07
1849,1.6758829879393033e-09,2.731689292545525e-07
1850,8.146795238417326e-09,2.145322772761915e-07
1851,7.094382858952031e-09,2.5668767378306256e-07
1852,1.2370036328590572e-08,3.001361461585361e-07
1853,1.4332636411040767e-08,2.496267428320209e-07
1854,1.1950028522278444e-08,3.366790672920672e-07
1855,1.3798036491152743e-08,3.205390122218432e-07
1856,1.7602442614617075e-08,2.3815070893107304e-07
1857,9.763018116171196e-09,3.5732646352926167e-07
1858,1.2723557929472662e-08,3.728981092798733e-07
1859,6.110607797538137e-09,3.045119658651174e-07
1860,5.950339110327718e-09,3.1170621195286685e-07
1861,1.3676294874365169e-08,3.0370807380109e-07
1862,1.084316739174973e-08,3.650532890420166e-07
1863,9.989241878116673e-09,2.8569232490838203e-07
1864,7.192092033037056e-09,3.15013629403893e-07
1865,9.884373208812747e-09,3.115930882202633e-07
1866,9.244664256335966e-09,2.0192293614940127e-07
1867,6.308654931785895e-09,1.9411245588685233e-07
1868,4.445886658821507e-09,2.657652116155873e-07
1869,1.2697149998075474e-08,3.149869884921941e-07
1870,1.0321287824410774e-08,2.368162204113844e-07
1871,7.434823867669138e-09,2.6871577873954777e-07
1872,5.442605366390296e-09,2.551977127396299e-07
1873,8.380406202324053e-09,2.2507377206437695e-07
1874,9.559374403167453e-09,2.718447227323395e-07
1875,1.544812294751452e-08,3.621726634150946e-07
1876,9.67362345782874e-09,2.1584272502650492e-07
1877,1.6080521580974505e-08,3.7727377311114196e-07
1878,1.0870359612447089e-08,2.3552445460595095e-07
1879,1.2829583284634793e-08,1.83279762921984e-07
1880,2.0537108014195837e-08,2.2141569466782585e-07
1881,2.2312023950643578e-08,2.5728553421089373e-07
1882,1.1979693681496428e-08,2.4691479705296615e-07
1883,6.951273001654101e-09,2.6920382634187945e-07
1884,5.281357573494461e-09,1.90128873533979e-07
1885,1.2246707870033902e-08,1.7532129037434174e-07
1886,1.0325542199041138e-08,1.8005164903467374e-07
1887,6.528924623161458e-09,1.4494213318450022e-07
