year,bien_ADV approcher_VERB,bien_ADV rapprocher_VERB
1800,0.0,1.2576657937302116e-08
1801,0.0,2.3811825844433088e-09
1802,0.0,2.4616241489638924e-08
1803,7.801356893821776e-09,3.900678446910888e-09
1804,0.0,4.943701892301533e-09
1805,1.7057265822018053e-08,2.842877711017877e-09
1806,5.76333825108577e-09,1.729001475325731e-08
1807,2.8469551160981155e-09,0.0
1808,1.3596443970698147e-08,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,2.8081521108447305e-08
1811,2.5070768572277302e-08,1.504245972228091e-08
1812,0.0,1.0668832928217853e-08
1813,0.0,0.0
1814,0.0,9.440030979135372e-09
1815,1.6183340889597275e-08,0.0
1816,3.7081662185300956e-08,2.3176038865813098e-09
1817,1.556873407970727e-09,0.0
1818,0.0,5.960588467246453e-09
1819,1.5526575580793178e-08,5.175524897538253e-09
1820,0.0,2.3732962262101864e-09
1821,1.676452932031225e-08,1.577838126820552e-08
1822,6.015369535816717e-09,1.0025615893027862e-09
1823,8.894418535021487e-09,3.063632902922109e-08
1824,1.6000115010683658e-08,8.421112696055388e-09
1825,2.641632912414593e-09,1.0566531649658373e-08
1826,9.688783109140786e-09,7.927186018719112e-09
1827,6.452091305675367e-09,4.608636583469661e-09
1828,9.172301251858528e-10,2.7516904310687096e-09
1829,4.286587973467704e-09,2.0575622983187714e-08
1830,7.305785310052215e-09,1.982998831806526e-08
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,0.0,8.117981842303834e-09
1833,6.950177322551099e-09,2.3167257001688313e-09
1834,1.4001796166951408e-08,1.213489042584115e-08
1835,9.075705520444899e-09,7.563087933704082e-09
1836,2.016224964762614e-09,8.736974699274924e-09
1837,5.5663127440652715e-09,1.461157062010443e-08
1838,7.574594285131298e-09,1.7042836475411605e-08
1839,6.9914751765765e-10,8.38977065598101e-09
1840,1.52872523528913e-08,4.458782232319436e-09
1841,1.3483152372373297e-08,1.4125206782011901e-08
1842,4.695785538189057e-09,8.720745015011744e-09
1843,2.953455480181333e-09,1.063243981747064e-08
1844,4.390849017710252e-09,1.0428266250528395e-08
1845,8.928364714222425e-09,6.138250796539069e-09
1846,9.367202125076801e-09,1.4050803187615202e-08
1847,1.0786447290911383e-09,2.0494249852731627e-08
1848,9.65426583121598e-09,1.850401076808339e-08
1849,2.513824481908955e-09,3.1841775438579134e-08
1850,1.3577992064028876e-09,1.2899092460827433e-08
1851,1.2898877521649865e-09,5.8044946626978344e-09
1852,6.510545436100301e-10,1.3021090872200602e-09
1853,5.971931837933653e-10,1.791579506971175e-08
1854,3.63696517347023e-09,1.8704392701351935e-08
1855,6.8990182455763716e-09,1.0613874223963649e-08
1856,1.1907535402144731e-08,5.177189343896771e-09
1857,6.8341128311999455e-09,3.0753508184488965e-08
1858,4.404308473482388e-09,1.9574704523961373e-08
1859,3.5645213447565993e-09,1.5785737161877478e-08
1860,4.57718396518203e-09,1.2816115280145368e-08
1861,4.2443675241088386e-09,2.0278644541349422e-08
1862,6.325180823552046e-09,1.671654992208005e-08
1863,4.495158911765884e-09,1.9978482868054925e-08
1864,5.274200631788517e-09,1.6302074357099627e-08
1865,1.882737743486018e-09,1.3649848362717876e-08
1866,5.838735717134114e-09,2.6760870852626795e-08
1867,1.358787216076962e-08,3.299911810472622e-08
1868,3.457911734727759e-09,1.0867722721741302e-08
1869,5.371870948067681e-09,1.70923168951731e-08
1870,8.027668307875047e-09,2.8096838633473453e-08
1871,0.0,2.2304472935275044e-08
1872,9.675742873582749e-09,1.4513614310374123e-08
1873,8.380406590902112e-09,2.8134220286801792e-08
1874,1.1949218281515073e-09,1.5533982988813477e-08
1875,8.58229043387837e-09,1.4303817685856757e-08
1876,4.836811839936672e-09,2.1765654167893445e-08
1877,3.0924081073635534e-09,3.958282235316801e-08
1878,6.039088673581716e-10,2.536417298415472e-08
1879,6.720257683667796e-09,2.3215436684154156e-08
1880,6.417846254436199e-10,1.2193908105473383e-08
1881,0.0,1.8128519130300447e-08
1882,1.0648616211028639e-08,1.1314154946262533e-08
1883,1.2638677882037541e-09,2.401348808689363e-08
1884,4.621187876807653e-09,1.9805090900604227e-08
1885,0.0,1.740321664556177e-08
1886,7.744156427236248e-09,2.5168509054651622e-08
1887,1.0446279397058333e-08,4.374379614091595e-08
1888,6.340614699951175e-09,1.6485598663962264e-08
1889,4.385595886446936e-09,1.566284169030041e-08
1890,3.2771931834929546e-09,1.7696843102044113e-08
1891,6.3742202627281586e-09,3.1871099537283953e-08
1892,9.402768341715273e-09,2.6954603882245465e-08
1893,7.390100087434348e-09,2.771287377356657e-08
1894,6.9316934414587195e-09,1.7014155417882648e-08
1895,1.2037228991346183e-08,3.1296796265678495e-08
1896,1.0024948871034667e-08,1.8870492723976895e-08
1897,2.9133566670225264e-09,4.0204323425996336e-08
1898,5.092519295146758e-09,2.319925584970406e-08
1899,2.2110313580014918e-09,2.266307141951529e-08
1900,1.142031713641245e-08,3.633737222230593e-08
1901,2.794369402536745e-09,2.2913829056392387e-08
1902,9.820567692386817e-10,1.718599307309887e-08
1903,3.2401321625741275e-09,1.3500550899436803e-08
1904,5.374625189347171e-09,8.599400302955473e-09
1905,2.0643036169332163e-09,2.631987072732045e-08
1906,1.5432553013283723e-09,2.2634411678268407e-08
1907,3.599990305858114e-09,1.8514235478050978e-08
1908,4.911389073214423e-10,2.9468335327464956e-08
1909,3.300590023513905e-09,2.7504917454734823e-08
1910,2.67207544979442e-09,2.2445432179551972e-08
1911,4.788336838146279e-09,2.074945903984826e-08
1912,2.6047106693738442e-09,2.135862686714063e-08
1913,2.121195885607108e-09,3.6590627416899224e-08
1914,4.68772043404897e-09,1.6072185360371805e-08
1915,7.068456930880984e-09,1.8849219074468238e-08
1916,7.69122365795738e-09,1.3184954461564757e-08
1917,4.386569774084137e-09,2.3029491202919417e-08
1918,3.44591288836682e-09,1.4932290071101306e-08
1919,2.762354567309444e-09,2.2098836538475553e-08
1920,6.057785384427916e-09,1.817335615328375e-08
1921,6.815472630705699e-09,1.2873671018098776e-08
1922,1.2542490601674672e-08,2.5084981203349344e-08
1923,7.431163684401554e-09,1.1677542488541803e-08
1924,1.0313299547703991e-08,1.2891624656674594e-08
1925,1.5397448649423495e-08,1.6497267552040284e-08
1926,7.802296586589819e-09,3.1209186346359274e-08
1927,7.804457524684949e-09,1.5608915049369898e-08
1928,3.4278122562625413e-09,2.6279895593006586e-08
1929,6.684243825105796e-09,1.7824650200282122e-08
1930,1.0503603542488804e-09,1.05036033204442e-08
1931,9.124285327288817e-09,2.6232321204133768e-08
1932,6.575722188983946e-09,1.8631212128639163e-08
1933,8.02946331646126e-09,3.555905436769535e-08
1934,4.7926320689839486e-09,2.516131836216573e-08
1935,7.180970484910176e-09,1.555876849579363e-08
1936,9.699771652549316e-09,2.3036957230715416e-08
1937,1.3850230295986421e-08,3.399602022113868e-08
1938,9.075650453382877e-09,7.779128452511941e-09
1939,1.6823456405745674e-08,1.5294050470515685e-08
1940,2.5357829169792012e-09,3.296517903095264e-08
1941,8.854508237732261e-09,4.132103725851266e-08
1942,6.068423541449874e-09,4.5513175450651033e-08
1943,5.806470415592457e-09,2.6129116648121453e-08
1944,3.2131861615880553e-09,1.6065930807940276e-08
1945,6.535512131478072e-09,1.9606536838523425e-08
1946,5.568441707737293e-09,3.3410650246423756e-08
1947,5.960435700558264e-09,2.1457568166738383e-08
1948,4.348755133776194e-09,1.9569398546082084e-08
1949,5.890204768377316e-09,1.1780409536754632e-08
1950,8.508289184305795e-09,2.7651939404904624e-08
1951,1.5992101864981123e-08,1.7058242818279723e-08
1952,8.435843135146115e-09,2.5307528517259925e-08
1953,5.386913581872932e-09,1.0773827163745864e-08
1954,4.886268278880834e-09,1.9545073115523337e-08
1955,2.815682353940474e-09,1.3139850985055546e-08
1956,9.593255967388359e-09,6.976913269340912e-09
1957,3.534015080575159e-09,1.0602045463770082e-08
1958,4.1361216673863055e-09,1.2408365002158916e-08
1959,3.100299128533379e-09,1.1626121398933265e-08
1960,7.612916519406099e-09,1.5225833038812198e-08
1961,1.181187059273725e-08,1.111705483225478e-08
1962,7.610347907416326e-09,1.331810839388936e-08
1963,1.0345685197421517e-08,1.5518526907953856e-08
1964,7.909158661334459e-09,2.1293889318485526e-08
1965,4.924839203113152e-09,1.1491291473930687e-08
1966,1.163205709531212e-08,1.9940669560014612e-08
1967,1.1832804958089582e-08,1.4791006641701188e-08
1968,7.635406973349745e-09,9.431973424511852e-09
1969,2.7250546263957176e-09,1.725867981861029e-08
1970,7.3579600190498695e-09,1.0117195081704722e-08
1971,4.624557625731995e-09,9.24911525146399e-09
1972,7.69522046084603e-09,1.0773308467548759e-08
1973,5.513203671370093e-09,9.37244681864513e-09
1974,6.750686232237513e-09,7.875800456247362e-09
1975,3.4268881066168433e-09,9.709516746170266e-09
1976,7.998937512354587e-09,1.314111219841152e-08
1977,2.938390863960194e-09,9.402850942308305e-09
1978,1.0693064211864112e-08,8.910887139279566e-09
1979,5.851973128301324e-09,8.192762912528906e-09
1980,5.6851505725319385e-09,9.664756106531058e-09
1981,4.427884725544118e-09,1.2018544381930951e-08
1982,1.3035754697909852e-08,5.586751949948621e-09
1983,5.052252838311233e-09,1.0104505676622466e-08
1984,1.3917620833581168e-08,1.0438215625185876e-08
1985,9.624892882698077e-09,1.0828004270990732e-08
1986,5.994485352545098e-09,1.0790073723399018e-08
1987,9.777306964053878e-09,1.099947066762752e-08
1988,6.596209356501959e-09,9.594486094499644e-09
1989,9.329808037250586e-09,1.4269117443177493e-08
1990,6.538381391862913e-09,4.90378582185258e-09
1991,7.6199047072123e-09,9.96449056600568e-09
1992,3.856960972825618e-09,1.1019888113139586e-08
1993,8.308811416668505e-09,1.0524494165053966e-08
1994,5.802419433820205e-09,3.6924485691258724e-09
1995,9.760411145975922e-09,1.2471637056421514e-08
