year,en_PRON appelez_VERB,en_PRON rappelez_VERB
1800,3.144164484325529e-09,1.8864987794131594e-08
1801,3.5717739876872656e-08,2.3811825400343878e-08
1802,4.2518962573012686e-08,1.1189200677108602e-08
1803,2.7304748684287006e-08,1.3652374342143503e-08
1804,4.943701892301533e-09,5.438072037122765e-08
1805,1.1371510844071508e-08,0.0
1806,0.0,0.0
1807,1.7081731584767113e-08,5.693910232196231e-09
1808,1.3596443970698147e-08,4.5321479902327155e-09
1809,1.3554183553310395e-08,2.9367397402779716e-08
1810,3.042164919975221e-08,3.2761775514700275e-08
1811,5.0141535368197765e-09,5.0141535368197765e-09
1812,1.3336041604361526e-08,1.8670457180292033e-08
1813,8.627225156487839e-09,0.0
1814,3.1466772298927026e-08,3.1466771410748606e-09
1815,3.236668177919455e-08,2.697223555614414e-09
1816,5.0987285504788815e-08,2.3176038865813098e-09
1817,3.42512151974006e-08,1.556873407970727e-09
1818,1.1921176934492905e-08,1.4305412854298538e-08
1819,1.9666995143552413e-08,3.1053151161586356e-09
1820,2.7292905713238724e-08,4.746592452420373e-09
1821,1.0847637454958203e-08,8.875339574387908e-09
1822,3.208197085768916e-08,1.303330066093622e-08
1823,3.755420863171821e-08,2.9648061783404955e-09
1824,8.421112696055388e-09,1.6842225392110777e-09
1825,2.1133063299316746e-08,2.641632912414593e-09
1826,3.699353356978463e-08,4.403992281964975e-09
1827,2.949527377893446e-08,2.7651818612639545e-09
1828,3.5771975603893225e-08,5.503380862137419e-09
1829,2.1432940755516938e-08,3.429270423183084e-09
1830,2.817945699007396e-08,2.0873671680021744e-09
1831,6.704218691311326e-08,1.091384405071949e-08
1832,6.764984572527055e-09,6.764984572527055e-09
1833,1.1583628278799551e-08,1.853380560135065e-08
1834,5.1339920759119195e-08,3.733812370398937e-09
1835,4.0084366048631637e-08,3.781543966852041e-09
1836,4.166864897570122e-08,6.720750067579218e-10
1837,3.478945442836334e-08,1.2524203896191466e-08
1838,3.59793246307305e-08,1.8936485712828244e-09
1839,3.915226209905143e-08,4.894032734625853e-09
1840,6.815566688800345e-08,8.917564464638872e-09
1841,4.751206006403663e-08,1.2841097074556274e-09
1842,2.95163662400455e-08,7.379091560011375e-09
1843,1.8902115428431898e-08,6.497602011990011e-09
1844,2.7442806305177925e-08,3.841992946007622e-09
1845,4.2409730838244286e-08,7.254296274794569e-09
1846,5.21050615986951e-08,1.1709002656346001e-09
1847,4.368511241636952e-08,3.235934187273415e-09
1848,1.0619692658586644e-07,4.02261068899179e-09
1849,8.044238342108656e-08,8.379414495607307e-09
1850,4.616517301769818e-08,4.073397619208663e-09
1851,5.159551097477788e-08,1.5478653025979838e-08
1852,2.669323695414505e-08,5.859490670445666e-09
1853,4.359510086260343e-08,3.5831591027601917e-09
1854,3.89674849055055e-08,7.27393034694046e-09
1855,2.4411910715116392e-08,6.8990182455763716e-09
1856,3.7793480345271746e-08,3.6240324075009767e-09
1857,2.6848300027637606e-08,3.905207268672939e-09
1858,4.208561321661364e-08,1.468102750479261e-09
1859,2.8516170758052795e-08,1.5276520048956854e-09
1860,4.7144993686742964e-08,4.57718396518203e-09
1861,5.659156343540417e-08,7.073945429425521e-09
1862,3.34330998441601e-08,1.8071945051545413e-09
1863,2.6471489888990618e-08,7.991393324857654e-09
1864,2.349416661218129e-08,4.315255264231155e-09
1865,3.718406915709238e-08,6.589582213223366e-09
1866,1.9949013108089275e-08,4.865612801552288e-09
1867,3.736664666575962e-08,4.85281148598915e-09
1868,2.4699369660652337e-08,4.44588676984381e-09
1869,3.662639258550371e-08,4.395167341186834e-09
1870,6.192772561419702e-08,1.3188312664169644e-08
1871,1.0621176826930423e-08,1.3807530230280918e-08
1872,3.507456813878207e-08,1.0280476914203973e-08
1873,1.855661402316855e-08,1.1972009161809183e-08
1874,1.5533982988813477e-08,2.0313670745508716e-08
1875,2.1741803024610817e-08,3.432916173551348e-09
1876,1.753344314181504e-08,3.02300739996042e-09
1877,5.071549225021954e-08,3.710889595609501e-09
1878,1.3285995414946683e-08,3.0195443923020093e-09
1879,2.932476128592043e-08,9.163987790827832e-09
1880,1.0910338854586143e-08,8.343199908722454e-09
1881,1.1156012114099667e-08,4.8807553554297556e-09
1882,1.6638463051776853e-08,9.317538740560849e-09
1883,1.2006744043446815e-08,6.319338829996468e-09
1884,2.706695667598069e-08,5.281357573494461e-09
1885,2.6427105892512515e-08,1.4180398189012067e-08
1886,8.38950331427668e-09,7.744156427236248e-09
1887,1.8933882017790893e-08,9.793386546164129e-09
1888,1.014498351992188e-08,1.9021844099853524e-09
1889,1.8168895721260014e-08,5.6386229019267375e-09
1890,1.0487018364813139e-08,6.554386366985909e-09
1891,1.0836173736095134e-08,3.824531802365527e-09
1892,1.56712811616444e-08,6.8953633913793055e-09
1893,1.7859408174558666e-08,1.1700991287000306e-08
1894,1.7014155417882648e-08,5.671385139294216e-09
1895,1.2037228769301578e-08,4.814891596538473e-09
1896,9.435246361988447e-09,8.255840455717589e-09
1897,4.078699600285063e-09,9.905413378419325e-09
1898,5.092519295146758e-09,5.6583546736987955e-09
1899,2.1557555740514545e-08,2.2110313580014918e-09
1900,8.30568502863116e-09,6.748368974740515e-09
1901,5.58873880507349e-09,2.235495566438317e-09
