year,bien_ADV assurer_VERB,bien_ADV rassurer_VERB
1800,2.5467733166806283e-07,1.2576657937302116e-08
1801,2.214499801311831e-07,2.8574191901498125e-08
1802,2.551137754380761e-07,3.8043282302169246e-08
1803,1.2677205063482688e-07,5.851017448321727e-09
1804,3.6089022614760324e-07,1.730295728918918e-08
1805,3.496739680031169e-07,1.9900143755080535e-08
1806,3.169836020333605e-07,4.034336598124355e-08
1807,3.245528716888657e-07,5.693910232196231e-09
1808,2.515342032438639e-07,2.2660739951163578e-09
1809,2.394572220509872e-07,3.388545621874073e-08
1810,1.1700633706368535e-07,2.3401267590372754e-09
1811,2.983421438784717e-07,1.0028307073639553e-08
1812,2.0804223765935603e-07,0.0
1813,1.9555042740648787e-07,8.627225156487839e-09
1814,1.8250727862323401e-07,1.8880061958270744e-08
1815,1.8341120266995858e-07,0.0
1816,2.989708889344911e-07,0.0
1817,3.222727968932304e-07,0.0
1818,3.576353151402145e-07,3.5763532135746345e-09
1819,3.219176676338975e-07,5.175524897538253e-09
1820,2.97848686159341e-07,1.898636980968149e-08
1821,3.609304712881567e-07,4.930744257336528e-09
1822,4.862423566009966e-07,1.804610860745015e-08
1823,2.6584427814668743e-07,8.894418535021487e-09
1824,2.576860538283654e-07,0.0
1825,1.9548083685094753e-07,7.044354433105582e-09
1826,2.748091105786443e-07,0.0
1827,3.152307499476592e-07,1.7512819638909605e-08
1828,2.604933513339347e-07,5.503380862137419e-09
1829,3.480709551695327e-07,2.3147574523818548e-08
1830,1.9934356032536016e-07,5.218417697960831e-09
1831,1.3564348932959547e-07,1.5591206103948707e-09
1832,2.516574397759541e-07,5.411987746839486e-09
1833,1.308950032807843e-07,2.3167257001688313e-09
1834,1.8389026479326276e-07,9.334530925997342e-10
1835,2.7680903258442413e-07,1.5126175867408165e-08
1836,3.4410240346005594e-07,3.36037508930076e-09
1837,2.623124828460277e-07,4.87052354003481e-09
1838,2.8909701654811215e-07,6.943378316748294e-09
1839,2.272229409072679e-07,4.194885327990505e-09
1840,3.1657353360969864e-07,2.7389662093924017e-08
1841,2.600322090984264e-07,1.0272877659645019e-08
1842,2.0795621935576492e-07,1.7441490030023488e-08
1843,2.285974574078864e-07,1.8902115428431898e-08
1844,2.3491041645229416e-07,3.841992946007622e-09
1845,2.003301773356725e-07,1.4508592549589139e-08
1846,2.4705994405849196e-07,5.854501328173001e-10
1847,1.7905502147641528e-07,4.314578916364553e-09
