year,ait_VERB eu_VERB,ait_VERB chu_VERB
1800,7.168694992287783e-06,0.0
1801,6.9173352130746935e-06,0.0
1802,8.550787242711522e-06,2.2378401354217203e-09
1803,7.360580184467835e-06,0.0
1804,1.0811875654326286e-05,0.0
1805,8.804392564343289e-06,0.0
1806,7.581671525258571e-06,0.0
1807,1.0436937373015098e-05,0.0
1808,9.567364031681791e-06,0.0
1809,9.293651601183228e-06,0.0
1810,8.87142050487455e-06,0.0
1811,8.579217137594242e-06,0.0
1812,9.951353604265023e-06,0.0
1813,9.596349627827294e-06,0.0
1814,8.184507350961212e-06,0.0
1815,8.304751645482611e-06,0.0
1816,7.801054380252026e-06,0.0
1817,8.460049684799742e-06,0.0
1818,8.406814231420867e-06,0.0
1819,9.881112418952398e-06,0.0
1820,8.422828614129685e-06,1.1866481131050932e-09
1821,9.136669177678414e-06,0.0
1822,8.544832780899014e-06,0.0
1823,7.736167390248738e-06,0.0
1824,8.135636562656146e-06,0.0
1825,8.215478374040686e-06,0.0
1826,7.460362667188747e-06,0.0
1827,9.523286280455068e-06,0.0
1828,9.241093721357174e-06,1.8344602503717056e-09
1829,9.407345714862458e-06,0.0
1830,1.0187395673710853e-05,0.0
1831,9.518431397737004e-06,0.0
1832,9.77134368440602e-06,0.0
1833,7.853700481064152e-06,0.0
1834,8.939679901232012e-06,0.0
1835,8.488053936162032e-06,0.0
1836,8.428492947132327e-06,6.720750067579218e-10
1837,8.50950073072454e-06,0.0
1838,9.004298590298276e-06,0.0
1839,8.649153642181773e-06,6.9914751765765e-10
1840,8.313080797961447e-06,0.0
1841,9.380421033711173e-06,0.0
1842,8.332335710292682e-06,0.0
1843,8.844417607178912e-06,0.0
1844,8.237781912612263e-06,0.0
1845,8.42056397232227e-06,5.580227946389016e-10
1846,8.502492164552677e-06,0.0
1847,8.429608897131402e-06,0.0
1848,8.62447723193327e-06,0.0
1849,8.87380065250909e-06,0.0
1850,8.547345714760013e-06,0.0
1851,9.307829714089166e-06,0.0
1852,9.215676982421428e-06,0.0
1853,8.517169590049889e-06,0.0
1854,7.781027306918986e-06,0.0
1855,8.204524419852532e-06,0.0
1856,8.459009222860914e-06,0.0
1857,8.300517947645858e-06,0.0
1858,8.307504685944878e-06,0.0
1859,8.220804375014268e-06,0.0
1860,7.855820513213985e-06,0.0
1861,8.150600478984416e-06,0.0
1862,8.036142389755696e-06,0.0
1863,8.426924068771768e-06,0.0
1864,8.583042472309899e-06,1.4384183844029508e-09
1865,8.312757927342318e-06,0.0
1866,8.398047611990478e-06,0.0
1867,8.341982720594388e-06,0.0
1868,8.068296665442176e-06,0.0
1869,8.295145562442485e-06,0.0
1870,8.36655090097338e-06,0.0
1871,7.494302735722158e-06,0.0
1872,8.566660653741565e-06,0.0
1873,8.701255865162238e-06,0.0
1874,8.23002392280614e-06,0.0
1875,8.489029823977035e-06,0.0
1876,8.442654689133633e-06,0.0
1877,8.070566764217801e-06,0.0
1878,8.413054274569731e-06,0.0
1879,8.369164788746275e-06,0.0
1880,7.870205081417225e-06,0.0
1881,8.113210242299829e-06,0.0
1882,8.176140909199603e-06,0.0
1883,8.59619649418164e-06,0.0
1884,7.81178823672235e-06,0.0
1885,7.832091796444729e-06,0.0
1886,7.824824933777563e-06,0.0
1887,8.3237264334457e-06,0.0
1888,8.231386345869396e-06,0.0
1889,8.121496648527682e-06,0.0
1890,7.900657692516688e-06,0.0
1891,8.08633558335714e-06,0.0
1892,7.98420387582155e-06,0.0
1893,8.17652926343726e-06,0.0
1894,8.180658369383309e-06,0.0
1895,7.69359485275345e-06,0.0
1896,7.833024028514046e-06,0.0
1897,7.804300366842654e-06,0.0
1898,8.244788659794722e-06,0.0
1899,8.057550985540729e-06,0.0
1900,7.57322732169996e-06,0.0
1901,7.830381946405396e-06,0.0
1902,7.012376499915263e-06,0.0
1903,7.723395356151741e-06,5.400220270956879e-10
1904,7.667978024983313e-06,0.0
1905,8.151419024216011e-06,0.0
1906,8.034186976146884e-06,0.0
1907,8.132377843139693e-06,5.142843373384665e-10
1908,7.933857887110207e-06,0.0
1909,7.829549758753274e-06,1.1001967115120692e-09
1910,7.858573553676251e-06,0.0
1911,7.935869689390529e-06,2.128149656499545e-09
1912,7.968851605255622e-06,0.0
1913,7.606608505739132e-06,2.121195885607108e-09
1914,7.896130227891263e-06,0.0
1915,7.742316483927425e-06,2.3561523843085297e-09
1916,7.531905339419609e-06,0.0
1917,7.3650508056744e-06,0.0
1918,6.88723139319336e-06,1.033773866510046e-08
1919,7.509000170102809e-06,1.8415696745321952e-09
1920,7.20346406524186e-06,0.0
1921,7.075975190673489e-06,2.2718242842501013e-09
