year,pourrait_VERB armer_VERB,pourrait_VERB charmer_VERB
1800,0.0,9.432493897065797e-09
1801,9.524730337773235e-09,0.0
1802,0.0,0.0
1803,3.900678446910888e-09,0.0
1804,3.460591457837836e-08,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,8.645007376628655e-09
1807,5.693910232196231e-09,0.0
1808,1.5862518409903714e-08,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,7.020380277111826e-09
1811,6.518399686683551e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,0.0,1.1502966579257645e-08
1814,0.0,0.0
1815,1.6183340889597275e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,1.556873407970727e-09,3.113746815941454e-09
1818,3.5763532135746345e-09,0.0
1819,2.070210003424222e-09,0.0
1820,2.7292905713238724e-08,0.0
1821,0.0,9.86148829262845e-10
1822,6.015369535816717e-09,0.0
1823,0.0,8.894418535021487e-09
1824,2.947389532437228e-08,0.0
1825,6.163809906922779e-09,0.0
1826,1.145037931138404e-08,0.0
1827,1.8434546111834038e-09,0.0
1828,8.255071293206129e-09,0.0
1829,2.571952872898464e-09,0.0
1830,3.444155893816969e-08,2.0873671680021744e-09
1831,3.1182413096075834e-08,1.5591206103948707e-09
1832,6.764984572527055e-09,0.0
1833,9.266902800675325e-09,0.0
1834,1.120143711119681e-08,0.0
1835,6.806779140333674e-09,0.0
1836,1.0753200108126748e-08,0.0
1837,1.530736071231331e-08,0.0
1838,1.9567702125300457e-08,2.5248647617104325e-09
1839,5.5931801412612e-09,6.9914751765765e-10
1840,9.554533164646273e-09,1.9109065441114126e-09
1841,8.346713542550788e-09,1.0914932957462042e-08
1842,3.3541325272778977e-09,2.683306021822318e-09
1843,8.269675610961258e-09,5.906911071384968e-10
1844,1.2074834465636286e-08,0.0
1845,1.785672942844485e-08,7.254296274794569e-09
1846,9.952652035849496e-09,4.6836010625384006e-09
1847,1.5101026207275936e-08,3.775256551818984e-09
1848,1.448139919091318e-08,0.0
1849,5.865590679832167e-09,0.0
1850,1.968808760466345e-08,1.2220192857625989e-08
1851,9.674158363282004e-09,0.0
1852,3.906327261660181e-09,8.463708844885787e-09
1853,2.9859659189668264e-09,0.0
1854,7.27393034694046e-09,4.1565315633818045e-09
1855,1.0083180512765466e-08,1.0613874223963649e-09
1856,8.801221973442352e-09,5.177189232874468e-10
1857,6.8341128311999455e-09,2.4407544874094356e-09
1858,1.6149130033227266e-08,9.787352039936081e-10
1859,1.018434669930457e-08,5.092173349652285e-10
1860,1.327383358784573e-08,9.154367819341758e-10
1861,8.017138064531082e-09,0.0
1862,4.066187830886747e-09,3.6143890103090826e-09
1863,1.548332484446746e-08,4.994620828036034e-10
1864,1.0068928801842958e-08,4.794727948009836e-10
1865,5.6482134525026595e-09,4.706844358715045e-10
1866,1.702964524952222e-08,1.9462451650298362e-09
1867,1.164674756637396e-08,0.0
1868,1.1855697756857353e-08,5.9278488784286765e-09
1869,7.813630631403612e-09,0.0
1870,6.880858549607183e-09,2.8670243956696595e-09
1871,3.18635318130589e-09,1.0621177271019633e-09
1872,4.8378714367913744e-09,1.2094678591978436e-09
1873,0.0,6.584604861359367e-09
1874,1.3741600746186577e-08,5.974609140757536e-10
1875,4.005069165202713e-09,1.0870901512305409e-08
1876,6.04601479992084e-09,0.0
1877,0.0,1.8554447978047506e-09
1878,1.8117265465633636e-09,0.0
1879,2.443730107160036e-09,2.443730107160036e-09
1880,1.0268554007097919e-08,1.2835692508872398e-09
1881,5.5780060570498335e-09,9.761510710859511e-09
1882,5.324308105514319e-09,1.9966155395678697e-09
1883,1.2638677659992936e-08,0.0
1884,7.922036360241691e-09,0.0
1885,5.80107206715752e-09,0.0
1886,5.162771099520569e-09,0.0
1887,4.570247291724172e-09,5.223139698529167e-09
1888,1.3315291091942072e-08,6.340614699951175e-10
1889,5.6386229019267375e-09,3.132568426877924e-09
1890,1.1797895993481688e-08,0.0
1891,1.2748440081367107e-09,0.0
1892,9.402768341715273e-09,6.268512375839919e-10
1893,1.3548516086814288e-08,6.158416554491453e-10
