year,doivent_VERB armer_VERB,doivent_VERB charmer_VERB
1800,0.0,0.0
1801,0.0,2.3811825400343878e-08
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,2.145373123596528e-08
1804,2.4718509461507665e-09,9.887403784603066e-09
1805,5.685755422035754e-09,2.842877711017877e-09
1806,1.152667650217154e-08,0.0
1807,0.0,3.131650672116848e-08
1808,0.0,9.064295980465431e-09
1809,0.0,4.518061036407062e-09
1810,0.0,1.8721014072298203e-08
1811,7.521229861140455e-09,5.0141535368197765e-09
1812,2.6672082320544632e-09,2.400487453257938e-08
1813,2.8757416448144113e-09,1.4378708002027452e-08
1814,1.8880061958270744e-08,3.1466771410748606e-09
1815,2.4275012222574333e-08,1.6183340889597275e-08
1816,0.0,1.8540831092650478e-08
1817,6.227493631882908e-09,1.8682481339737933e-08
1818,1.1921177378582115e-09,8.344824387052086e-09
1819,3.001804671498576e-08,1.0351049795076506e-08
1820,0.0,4.50926265216367e-08
1821,1.2819934447350079e-08,7.88919063410276e-09
1822,8.02049271442229e-09,1.0025615893027862e-08
1823,3.755420863171821e-08,2.9648061783404955e-09
1824,1.6842225392110777e-09,1.3473780313688621e-08
1825,6.163809906922779e-09,1.4969252504215547e-08
1826,3.5231937367541377e-09,1.5854372037438225e-08
1827,3.6869092223668076e-09,6.452091305675367e-09
1828,5.503380862137419e-09,9.172301251858528e-10
1829,8.57317605795771e-10,3.429270423183084e-09
1830,1.3567886369969528e-08,3.1310507520032616e-09
1831,9.354723218280014e-09,4.677361609140007e-09
1832,6.764984572527055e-09,2.705993873419743e-09
1833,3.4750886612755494e-09,2.3167257001688313e-09
1834,8.401078055442213e-09,6.534171426153534e-09
1835,7.563087933704082e-10,1.2100940693926532e-08
1836,6.048674894287842e-09,8.064899859050456e-09
1837,1.6003149028165353e-08,3.478945576063097e-09
1838,1.830527018853445e-08,5.049729523420865e-09
1839,5.5931801412612e-09,3.4957374772659477e-09
1840,1.1465439264668476e-08,3.821813088222825e-09
1841,7.704658244733764e-09,7.0626033910059505e-09
1842,1.475818312002275e-08,6.708265054555795e-09
1843,1.2995204023980023e-08,1.7720733769266417e-09
1844,8.232841963717874e-09,1.1525978393933656e-08
1845,2.2320911341466854e-08,5.580227835366713e-09
1846,7.610851504580296e-09,2.3418005312692003e-09
1847,3.775256551818984e-09,5.3932236454556914e-09
1848,9.65426583121598e-09,7.24069959545659e-09
1849,5.865590679832167e-09,4.1897072478036534e-09
1850,8.82569484161877e-09,1.3577992064028876e-09
1851,3.8696632564949596e-09,1.1608989325395669e-08
1852,1.5625309046640723e-08,5.208436348880241e-09
1853,1.4332636411040767e-08,8.957897534855874e-09
1854,5.7152309551611324e-09,1.558699391779328e-09
1855,5.837630823180007e-09,1.5920811335945473e-08
1856,5.177189343896771e-09,6.212626857404757e-09
1857,1.4644527812635033e-09,1.9526036343364694e-09
1858,4.404308473482388e-09,6.361778659424999e-09
1859,4.073738679721828e-09,6.619825576592575e-09
1860,2.3801355553132453e-08,1.2358396972445007e-08
1861,1.226150558863992e-08,1.8863854922557266e-09
1862,6.325180823552046e-09,9.035972525772706e-10
1863,4.495158911765884e-09,2.4973103585068657e-09
1864,6.233146443435089e-09,6.712618905169165e-09
1865,2.118079933666195e-08,1.882737743486018e-09
1866,6.3252967308358166e-09,3.4059290943133647e-09
1867,1.552899675516528e-08,7.279217228983725e-09
