year,tout_DET an_NOUN,tout_DET chant_NOUN
1800,9.432493186523061e-08,3.144164484325529e-09
1801,9.048494087338099e-08,1.1905913144261149e-08
1802,8.056224487518193e-08,2.2378401354217203e-09
1803,6.241085537261881e-08,4.6808141362930655e-08
1804,6.426812215742927e-08,0.0
1805,8.528633421711618e-08,0.0
1806,7.20417272503937e-08,2.881669125542885e-09
1807,6.832692633906845e-08,8.540865792383556e-09
1808,8.38447360429484e-08,1.1330369975581789e-08
1809,7.454800399209205e-08,6.7770915546105925e-09
1810,8.658468830802235e-08,2.8081521108447305e-08
1811,7.521230127593981e-08,1.504246105454854e-08
1812,5.601137331723294e-08,3.467370524035118e-08
1813,9.489947139229571e-08,2.8757416448144113e-09
1814,1.0069367162302001e-07,6.293354282149721e-09
1815,1.4565007488975823e-07,0.0
1816,9.270415723960923e-08,2.0858434979231788e-08
1817,8.874178414330913e-08,4.0478709273372715e-08
1818,6.795070950360582e-08,8.34482416500748e-09
1819,8.073819235399071e-08,2.794783604542772e-08
1820,7.119888678630559e-08,9.493184904840746e-09
1821,6.804427155060466e-08,3.155676253641104e-08
1822,7.920236555492011e-08,9.023054303725075e-09
1823,6.324919477052049e-08,4.941343556552624e-09
1824,8.757956937444078e-08,2.189489300974401e-08
1825,7.660735379388939e-08,3.6982861217893515e-08
1826,5.989429308073113e-08,2.6423952803611428e-08
1827,6.359918347520477e-08,2.4886637972620917e-08
1828,7.246118116643885e-08,3.393751502045461e-08
1829,5.486832571621747e-08,1.3717081526198882e-08
1830,7.827626746781391e-08,1.0436835617966267e-08
1831,9.510636012066698e-08,2.3386808045700036e-08
1832,6.359085902296613e-08,1.352996914505411e-08
1833,6.023486687212198e-08,1.6217080123226424e-08
1834,8.961149400299462e-08,8.401077833397608e-09
1835,6.277362984974388e-08,1.5126175867408165e-08
1836,4.838940070861497e-08,1.1425275392440426e-08
1837,5.21841809764112e-08,9.741046969047318e-09
1838,5.807189129569679e-08,1.8936485268739034e-08
1839,7.90036712716713e-08,2.027527745696034e-08
1840,5.5416291111498595e-08,1.4013314952876499e-08
1841,6.292137655350416e-08,8.988768396278601e-09
1842,7.043678440510348e-08,4.695785538189057e-09
