year,eut_VERB armé_VERB,eut_VERB charmé_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,4.475680270843441e-09,0.0
1803,7.801356893821776e-09,0.0
1804,0.0,0.0
1805,1.9900143755080535e-08,0.0
1806,1.152667650217154e-08,0.0
1807,2.562259560079383e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,0.0,0.0
1810,2.8081521108447305e-08,0.0
1811,0.0,0.0
1812,2.6672083208723052e-08,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,5.664169577812572e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,2.9580593974287694e-08,0.0
1818,3.5763532135746345e-09,0.0
1819,3.001804671498576e-08,1.035105001712111e-09
1820,1.0679833017945839e-08,0.0
1821,1.97229765852569e-09,0.0
1822,2.0051231786055723e-09,0.0
1823,4.941343334508019e-09,0.0
1824,3.3684450784221553e-09,8.421112696055388e-10
1825,0.0,0.0
1826,6.1655889282974385e-09,6.1655889282974385e-09
1827,1.8434546111834038e-09,9.217273055917019e-10
1828,6.420610709767516e-09,0.0
1829,5.143905745796928e-09,0.0
1830,0.0,1.0436835840010872e-09
1831,1.5591206548037917e-08,2.3386808933878456e-08
1832,6.764984572527055e-09,1.3529969367098715e-09
1833,6.950177322551099e-09,0.0
1834,0.0,7.467624740797874e-09
1835,3.781543966852041e-09,0.0
1836,7.392825018825988e-09,0.0
1837,1.2524203896191466e-08,0.0
1838,2.5248647617104325e-09,0.0
1839,9.088918062616358e-09,0.0
1840,1.9109065441114126e-09,0.0
1841,5.778493683550323e-09,0.0
1842,6.708265054555795e-10,7.379091560011375e-09
1843,1.1813821920725331e-08,5.906911071384968e-10
1844,5.488561272137815e-10,0.0
1845,1.1160455892778032e-09,5.580227946389016e-10
1846,4.0981511517657054e-09,0.0
1847,1.1865092020002521e-08,5.393223645455691e-10
1848,1.689496542667257e-08,0.0
1849,8.379414495607307e-09,8.379414939696517e-10
1850,1.2899092460827433e-08,0.0
1851,6.449438760824933e-10,2.579775504329973e-09
1852,4.557382027314816e-09,0.0
1853,2.388772735173461e-09,0.0
1854,1.558699391779328e-09,3.63696517347023e-09
1855,3.714855978387277e-09,0.0
1856,4.659470143053568e-09,0.0
1857,4.881509085841174e-10,2.4407544874094356e-09
1858,1.468102750479261e-09,0.0
1859,5.092173349652285e-10,0.0
1860,3.661747127736703e-09,9.154367819341758e-10
1861,7.545541969022906e-09,5.187560159214399e-09
1862,8.132375661773494e-09,0.0
1863,7.491931519609807e-09,0.0
1864,1.9178911792039344e-09,0.0
1865,0.0,4.706844358715045e-10
1866,2.432806400776144e-09,9.731225825149181e-10
1867,3.88224918879132e-09,9.7056229719783e-10
1868,1.975949626142892e-09,2.4699371437009177e-09
1869,4.395167341186834e-09,0.0
1870,1.1468097582678638e-09,8.027668307875047e-09
1871,3.18635318130589e-09,3.18635318130589e-09
1872,1.8142017887967654e-09,1.8142017887967654e-09
1873,2.9930022904522957e-09,0.0
1874,2.9873046258899194e-09,3.5847653734322193e-09
1875,1.1443054281912168e-09,5.721527140956084e-10
1876,2.418405919968336e-09,0.0
1877,4.9478527941460015e-09,0.0
1878,6.6429977074733415e-09,6.039088673581716e-10
1879,1.221865053580018e-09,0.0
1880,5.776061406947974e-09,6.417846254436199e-10
1881,1.3945015142624584e-09,0.0
1882,6.655385131892899e-10,6.655385131892899e-10
1883,6.319338941018771e-10,0.0
1884,1.9805090900604227e-09,2.6406787867472303e-09
1885,0.0,0.0
1886,4.5174246565693466e-09,0.0
1887,1.3057849246322917e-09,0.0
1888,1.268122939990235e-09,0.0
1889,0.0,0.0
1890,3.2771931834929546e-09,0.0
1891,0.0,0.0
1892,2.5074049503359674e-09,0.0
1893,6.158416554491453e-10,0.0
1894,2.520615716150587e-09,0.0
1895,3.611168697403855e-09,0.0
1896,1.7691086373616827e-09,5.89702897624278e-10
1897,5.826713556089658e-10,5.826713556089658e-10
1898,0.0,5.6583548957434e-10
1899,0.0,0.0
