year,petit_ADJ art_NOUN,petit_ADJ char_NOUN
1800,6.288328657788611e-08,2.2009151834367913e-08
1801,1.6668277424969347e-08,1.1905912700171939e-08
1802,1.1189200677108602e-08,2.2378401354217203e-09
1803,4.095712213825209e-08,1.3652374342143503e-08
1804,2.4718509905596875e-08,9.640218934237055e-08
1805,3.980028751016107e-08,8.52863308864471e-08
1806,0.0,8.06867319624871e-08
1807,1.4234775136401367e-08,4.839823830593559e-08
1808,2.039466551195801e-08,6.345007053099039e-08
1809,3.840352036377226e-08,3.162642769893864e-08
1810,7.020380277111826e-09,4.212228077449254e-08
1811,3.760615285841595e-08,7.270522672797597e-08
1812,3.7340914360584065e-08,3.467370746079723e-08
1813,2.013019195779009e-08,4.3136125782439194e-08
1814,2.2026739543434815e-08,6.293354459785405e-08
1815,2.6972236000233352e-08,5.394447111228828e-09
1816,0.0,1.622322720606917e-08
1817,4.670620334934483e-09,2.80237220096069e-08
1818,3.4571415286066554e-08,3.5763530803478716e-08
1819,1.2421260464634543e-08,3.3123360054787554e-08
1820,5.933240565525466e-09,6.645229433388522e-08
1821,2.465372084259343e-08,4.6348993976153e-08
1822,2.4061478143266868e-08,5.514088741165324e-08
1823,1.087095569118901e-08,4.0519015698237126e-08
1824,8.421112696055388e-09,5.642145595174952e-08
1825,1.144707639788578e-08,2.4655239627691117e-08
1826,1.0569580766173203e-08,3.787433300317389e-08
1827,1.566936447261469e-08,2.9495274389557125e-08
1828,2.2930752408001354e-08,5.77854990524429e-08
1829,2.0575622650120806e-08,7.544394975411706e-08
1830,1.0436835840010872e-09,2.6092090266160994e-08
1831,3.1182412207897414e-09,3.4300654760954785e-08
1832,2.0294953273491956e-08,4.058990654698391e-08
1833,1.9692167896323554e-08,3.01174338801502e-08
1834,6.534171426153534e-09,4.1071935186209885e-08
1835,2.4958190181223472e-08,2.2689263801112247e-08
1836,8.736974699274924e-09,4.771732520225669e-08
1837,8.349468672008697e-09,3.6181031504156635e-08
1838,1.3886756633496589e-08,5.680945847075236e-08
1839,1.11863602825224e-08,2.866504900111977e-08
1840,1.0191501864653674e-08,4.2039946634986336e-08
1841,6.420548537278137e-09,6.548959419205858e-08
1842,6.708265054555795e-10,3.957876515414682e-08
1843,1.358589563071888e-08,3.7804230856863796e-08
1844,2.140538946093784e-08,2.4698525891153622e-08
1845,7.812318791877715e-09,2.5669049108500985e-08
1846,1.1709002656346001e-09,4.5665111247927825e-08
1847,5.3932236454556914e-09,3.020205241455187e-08
1848,1.609044403272364e-08,1.930853166243196e-08
1849,1.6758829879393033e-09,3.77073661184113e-08
1850,8.146795238417326e-09,2.308258650884909e-08
1851,1.2898877521649865e-09,4.9660677348128957e-08
1852,3.906327261660181e-09,2.539112742283578e-08
1853,2.6873693936835252e-08,3.1054046445433414e-08
1854,1.506742686174789e-08,3.065441944727354e-08
1855,1.6982198758341838e-08,3.343370380548549e-08
1856,3.5204886728035234e-08,2.2779632402603056e-08
1857,2.1966791052818735e-08,2.001418764052687e-08
1858,1.468102794888182e-08,3.4745100907507265e-08
1859,2.7497735644033128e-08,3.208069188076479e-08
1860,2.8378540406492903e-08,3.4328881071132855e-08
1861,2.263662679524714e-08,5.94211435611669e-08
1862,2.304173052358749e-08,1.762014723016847e-08
1863,1.448440001272644e-08,2.447364177982081e-08
1864,3.691940475558653e-08,1.726102105692462e-08
1865,4.706844425328427e-08,4.1890913848874334e-08
1866,2.530118803356629e-08,3.843834051053818e-08
1867,4.173418055586353e-08,2.620518202434141e-08
1868,2.0253483223875435e-08,5.285665238830006e-08
1869,3.4672985371742016e-08,2.783605879130846e-08
1870,3.1537267464187835e-08,3.555110428266062e-08
1871,2.230447138096281e-08,1.805600113868877e-08
1872,2.53988243770209e-08,2.6003559305820545e-08
1873,2.0951015311521104e-08,5.6268440573603584e-08
1874,5.3174020908652864e-08,2.2106053876314036e-08
1875,4.634436967521083e-08,1.830888685105947e-08
1876,1.5054576962825195e-07,1.5115036333668286e-08
1877,3.401648751566455e-08,4.638611983409646e-08
1878,5.3747890527144904e-08,5.857915885698617e-08
1879,4.1543410711497586e-08,2.871382953628654e-08
1880,4.620849325398524e-08,3.144744553651435e-08
1881,3.974329437772539e-08,3.5559789779426865e-08
1882,3.593907815790942e-08,5.590523599607877e-08
1883,4.99227781891598e-08,2.4013488642005143e-08
1884,2.6406787867472303e-08,4.951272902786741e-08
1885,2.964992407150646e-08,2.707166935067562e-08
1886,2.2587124282047455e-08,3.743009102663564e-08
1887,4.1132226735740574e-08,4.309090329002174e-08
1888,3.23371354138402e-08,5.199304098368884e-08
1889,2.0674951528576457e-08,3.947036120166558e-08
1890,1.0487018642368895e-08,5.046877760150892e-08
1891,2.2947192146460793e-08,4.398211927991724e-08
1892,1.2537024529635232e-08,3.3223116258085383e-08
1893,1.23168328869383e-08,1.6627724974682678e-08
1894,3.213785193523222e-08,5.5453547531669756e-08
1895,2.106515073485582e-08,6.740847879882494e-08
1896,1.2383760572554081e-08,4.599682768002822e-08
1897,2.913356778044829e-08,5.0109736138281846e-08
1898,2.7160104165702137e-08,4.583267454449924e-08
1899,1.326618814800895e-08,2.5426860617017155e-08
1900,2.5955264937316258e-08,2.5436159845071415e-08
1901,2.1237207714630557e-08,2.2913829056392387e-08
1902,2.1605249256317904e-08,2.6515532880466708e-08
1903,2.5381035939631147e-08,4.6981917023458664e-08
1904,2.2573424907079698e-08,2.8485512615361586e-08
1905,1.5998353308788182e-08,3.251278357652154e-08
1906,2.2634412566446827e-08,3.189394348623864e-08
1907,1.3885677219160897e-08,3.291419758966185e-08
1908,2.013669497813453e-08,2.6030361865991836e-08
1909,1.3752459060434319e-08,2.4754425509421196e-08
1910,1.870452726038252e-08,4.8097355209719694e-08
1911,7.980560989828689e-09,1.915334713054051e-08
1912,1.9795801164956828e-08,3.854971808436858e-08
1913,2.75755464018701e-08,5.1439001613751145e-08
1914,1.808120764223986e-08,6.227971738326232e-08
1915,1.7671142660269368e-08,2.473960047932877e-08
1916,1.3184954461564757e-08,2.8567400889301098e-08
1917,2.1932848426331475e-08,7.676496771580332e-09
1918,1.1486376294556067e-08,1.722956355365568e-08
1919,1.1970203273037328e-08,2.025726608678724e-08
1920,1.2872793941909322e-08,2.0445025228355007e-08
1921,1.0601846234248313e-08,3.483463828501954e-08
1922,1.3280284150152255e-08,4.426761179843197e-08
1923,6.369568872344189e-09,3.3971033985835675e-08
1924,3.351822430719409e-08,2.0626599095407983e-08
1925,2.3096174084358267e-08,3.079489729884699e-08
1926,4.01260994431496e-08,2.8979959765251806e-08
1927,3.01029075000514e-08,3.6792440649691116e-08
1928,1.942427008128078e-08,2.2852082892654835e-08
1929,2.6736974856333973e-08,1.5596569369336066e-08
1930,5.2518018822667045e-09,1.575540586884472e-08
1931,2.0529641986399838e-08,2.8513390759599133e-08
1932,6.575722188983946e-09,5.589363827329663e-08
1933,3.555905370156154e-08,2.1794258842078307e-08
1934,1.0783422155213884e-08,2.995395220750652e-08
1935,3.8298508364675854e-08,3.829851102921111e-08
1936,2.0612015205756506e-08,2.9099314957647948e-08
1937,2.8959571851672194e-08,3.1477796369472344e-08
1938,1.037217134403079e-08,1.6854778350783306e-08
